,nctId,phase,recruitment,therapies,title,Drug_id
0,NCT02099058,Phase I,Recruiting,"[{'id': 1743, 'therapyName': 'ABBV-399 + Carboplatin'}, {'id': 1364, 'therapyName': 'ABBV-399 + Erlotinib'}, {'id': 1363, 'therapyName': 'ABBV-399'}, {'id': 1366, 'therapyName': 'ABBV-399 + Bevacizumab'}, {'id': 1365, 'therapyName': 'ABBV-399 + Cetuximab'}]","A Phase 1/1b Study With ABBV-399, an Antibody Drug Conjugate, in Subjects With Advanced Solid Cancer Tumors",7247
0,NCT02955251,Phase I,Recruiting,"[{'id': 5051, 'therapyName': 'ABBV-428 + Nivolumab'}, {'id': 5050, 'therapyName': 'ABBV-428'}]","A Study Evaluating Safety and Pharmacokinetics, and the Recommended Phase 2 Dose (RPTD) of ABBV-428 in Participants With Advanced Solid Tumors",8601
0,NCT03082209,Phase I,Recruiting,"[{'id': 5756, 'therapyName': 'ABBV-621'}]",A Study of the Safety and Tolerability of ABBV-621 in Participants With Previously Treated Solid Tumors and Hematologic Malignancies,8777
0,NCT02988960,Phase I,Recruiting,"[{'id': 5143, 'therapyName': 'ABBV-927 + Nivolumab'}, {'id': 5142, 'therapyName': 'ABBV-927'}]","A Study of ABBV-927, an Immunotherapy, in Participants With Advanced Solid Tumors",8619
0,NCT02939807,Phase II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",A Phase II Study of ABC294640 as Second-Line Monotherapy in Patients With Advanced Hepatocellular Carcinoma,8021
1,NCT02229981,Phase Ib/II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",An Early-Phase Clinical Trial Evaluating ABC294640 in Patients With Refractory/Relapsed Diffuse Large B-cell Lymphoma,8021
2,NCT02757326,Phase Ib/II,Recruiting,"[{'id': 3301, 'therapyName': 'ABC294640'}]",ABC294640 in Refractory / Relapsed Multiple Myeloma,8021
0,NCT02450539,Phase II,"Active, not recruiting","[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 720, 'therapyName': 'Docetaxel'}]",A Study of Abemaciclib (LY2835219) in Participants With Stage IV Squamous Non-small Cell Lung Cancer,6942
1,NCT02688088,Phase I,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 3729, 'therapyName': 'Caffeine + Dextromethorphan + Midazolam + Warfarin'}]",A Study of Abemaciclib in Participants With Cancer That is Advanced or Has Spread to Another Part(s) of the Body,6942
2,NCT02981342,Phase II,Recruiting,"[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 5175, 'therapyName': 'Abemaciclib + LY3023414'}, {'id': 5176, 'therapyName': 'Abemaciclib + Galunisertib'}]",A Study of Abemaciclib (LY2835219) Alone or in Combination With Other Agents in Participants With Previously Treated Pancreatic Ductal Adenocarcinoma,6942
3,NCT02644460,Phase I,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Abemaciclib in Children With DIPG or Recurrent/Refractory Solid Tumors,6942
4,NCT02675231,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 947, 'therapyName': 'Trastuzumab'}, {'id': 744, 'therapyName': 'Fulvestrant'}]","A Study of Abemaciclib (LY2835219) in Women With HR+, HER2+ Locally Advanced or Metastatic Breast Cancer",6942
5,NCT03130439,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]","Abemaciclib for Patients With Retinoblastoma-Positive, Triple Negative Metastatic Breast Cancer",6942
6,NCT02152631,Phase III,"Active, not recruiting","[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of LY2835219 in Participants With Previously Treated Lung Cancer,6942
7,NCT03155997,Phase III,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study to Compare Treatment After Surgery of Abemaciclib (LY2835219) Combined With Standard Endocrine Therapy Versus Endocrine Therapy Alone in Participants With Breast Cancer,6942
8,NCT02117648,,Completed,"[{'id': 1690, 'therapyName': 'Abemaciclib + Clarithromycin'}, {'id': 802, 'therapyName': 'Abemaciclib'}]", A Study of LY2835219 in Participants With Cancer,6942
9,NCT02747004,Phase II,Recruiting,"[{'id': 4387, 'therapyName': 'Abemaciclib + Loperamide'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}]",A Study of Abemaciclib (LY2835219) Plus Tamoxifen or Abemaciclib Alone in Women With Metastatic Breast Cancer (nextMONARCH 1),6942
10,NCT03220646,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",The Purpose of This Study is to Test Any Good and Bad Effects of a Study Drug Called Abemaciclib (LY2835219) in Patients With Recurrent Brain Tumors.,6942
11,NCT02107703,Phase III,"Active, not recruiting","[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 744, 'therapyName': 'Fulvestrant'}]",A Study of Abemaciclib (LY2835219) Combined With Fulvestrant in Women With Hormone Receptor Positive HER2 Negative Breast Cancer,6942
12,NCT02846987,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Study of Abemaciclib in Dedifferentiated Liposarcoma,6942
13,NCT02308020,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of Abemaciclib (LY2835219) in Participants With Breast Cancer That Has Spread to the Brain,6942
14,NCT02981940,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of Abemaciclib in Recurrent Glioblastoma,6942
15,NCT02441946,Phase II,Completed,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2700, 'therapyName': 'Loperamide'}, {'id': 633, 'therapyName': 'Anastrozole'}]","A Phase 2 Neoadjuvant Study of Abemaciclib (LY2835219) in Postmenopausal Women With Hormone Receptor Positive, HER2 Negative Breast Cancer",6942
16,NCT02079636,Phase I,Recruiting,"[{'id': 1069, 'therapyName': 'LY3023414'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 886, 'therapyName': 'Ramucirumab'}]",A Study of LY2835219 in Combination With Another Anti-cancer Drug in Participants With Lung Cancer (NSCLC),6942
17,NCT02792725,Expanded access,Available,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Expanded Access Program to Provide Abemaciclib (LY2835219) for the Treatment of Metastatic Breast Cancer,6942
18,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,6942
19,NCT02246621,Phase III,"Active, not recruiting","[{'id': 1854, 'therapyName': 'Abemaciclib + Anastrozole + Letrozole'}, {'id': 1853, 'therapyName': 'Anastrozole + Letrozole'}]",A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Postmenopausal Women With Breast Cancer,6942
20,NCT03099174,Phase I,Recruiting,"[{'id': 5514, 'therapyName': 'Abemaciclib + Xentuzumab'}, {'id': 5515, 'therapyName': 'Abemaciclib + Letrozole + Xentuzumab'}, {'id': 5516, 'therapyName': 'Abemaciclib + Anastrozole + Xentuzumab'}, {'id': 5517, 'therapyName': 'Abemaciclib + Fulvestrant + Xentuzumab'}]",This Study in Patients With Different Types of Cancer (Solid Tumours) Aims to Find a Safe Dose of Xentuzumab in Combination With Abemaciclib With or Without Hormonal Therapies. The Study Also Tests How Effective These Medicines Are in Patients With Lung and Breast Cancer.,6942
21,NCT02784795,Phase I,Recruiting,"[{'id': 4374, 'therapyName': 'Cisplatin + Gemcitabine + LY3039478'}, {'id': 4375, 'therapyName': 'Carboplatin + Gemcitabine + LY3039478'}, {'id': 4372, 'therapyName': 'LY3039478 + LY3023414'}, {'id': 4373, 'therapyName': 'Abemaciclib + LY3039478'}, {'id': 4371, 'therapyName': 'LY3039478 + Taladegib'}, {'id': 2958, 'therapyName': 'LY3039478'}, {'id': 1069, 'therapyName': 'LY3023414'}]",A Study of LY3039478 in Participants With Advanced or Metastatic Solid Tumors,6942
22,NCT02779751,Phase II,Recruiting,"[{'id': 4242, 'therapyName': 'Abemaciclib + Pembrolizumab'}]",A Study of Abemaciclib (LY2835219) in Participants With Non-Small Cell Lung Cancer or Breast Cancer,6942
23,NCT02745769,Phase I,Recruiting,"[{'id': 4208, 'therapyName': 'LY2801653 + Ramucirumab'}, {'id': 4209, 'therapyName': 'Abemaciclib + Ramucirumab'}]",A Study in Advanced Cancers Using Ramucirumab (LY3009806) and Other Targeted Agents,6942
24,NCT02977780,Phase II,Recruiting,"[{'id': 1000, 'therapyName': 'CC-115'}, {'id': 5028, 'therapyName': 'Abemaciclib + Temozolomide'}, {'id': 1141, 'therapyName': 'Temozolomide'}, {'id': 5029, 'therapyName': 'Neratinib + Temozolomide'}]",INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT),6942
25,NCT02857270,Phase I,Recruiting,"[{'id': 4588, 'therapyName': 'LY3214996'}, {'id': 4590, 'therapyName': 'LY3214996 + nab-paclitaxel + Gemcitabine'}, {'id': 4589, 'therapyName': 'LY3214996 + Midazolam'}, {'id': 4591, 'therapyName': 'LY3214996 + Abemaciclib'}]",A Study of LY3214996 Administered Alone or in Combination With Other Agents in Participants With Advanced/Metastatic Cancer,6942
0,NCT02254785,Phase II,Recruiting,"[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1571, 'therapyName': 'Cabazitaxel'}]",Cabazitaxel vs Abiraterone or Enzalutamide in Patients With Poor Prognosis Metastatic Castration-resistant Prostate Cancer,4697
1,NCT01685125,Phase II,"Active, not recruiting","[{'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",Abiraterone Acetate and Prednisone With or Without Dasatinib in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,4697
2,NCT02257736,Phase III,"Active, not recruiting","[{'id': 1948, 'therapyName': 'ARN-509 + Abiraterone'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",An Efficacy and Safety Study of JNJ56021927 in Participants With Chemotherapy-naive Metastatic Castration-resistant Prostate Cancer (mCRPC),4697
3,NCT02987543,Phase III,Recruiting,"[{'id': 837, 'therapyName': 'Olaparib'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",Study of Olaparib (Lynparza) Versus Enzalutamide or Abiraterone Acetate in Men With Metastatic Castration-Resistant Prostate Cancer (PROfound Study),4697
4,NCT02034552,Phase II,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 2001, 'therapyName': 'radium Ra 223 dichloride'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",A Randomized Phase IIa Efficacy and Safety Study of Radium-223 Dichloride With Abiraterone Acetate or Enzalutamide in Metastatic Castration-resistant Prostate Cancer (CRPC),4697
5,NCT01576172,Phase II,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 954, 'therapyName': 'Veliparib'}]",Abiraterone Acetate and Prednisone With or Without Veliparib in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,4697
6,NCT01949337,Phase III,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1262, 'therapyName': 'Enzalutamide'}]",Enzalutamide With or Without Abiraterone and Prednisone in Treating Patients With Castration-Resistant Metastatic Prostate Cancer,4697
7,NCT02268175,Phase II,"Active, not recruiting","[{'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 795, 'therapyName': 'Leuprolide'}]",Enzalutamide/Leuprolide +/- Abiraterone/Pred in Prostate,4697
8,NCT01848067,Phase Ib/II,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 626, 'therapyName': 'Alisertib'}]","Alisertib, Abiraterone Acetate and Prednisone in Treating Patients With Hormone-Resistant Prostate Cancer",4697
9,NCT01717053,Phase II,"Active, not recruiting","[{'id': 795, 'therapyName': 'Leuprolide'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 759, 'therapyName': 'Goserelin'}]","Abiraterone, Radiotherapy and Short-Term Androgen Deprivation in Unfavorable Localized Prostate Cancer",4697
10,NCT01485861,Phase II,"Active, not recruiting","[{'id': 750, 'therapyName': 'GDC-0980'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 747, 'therapyName': 'Ipatasertib'}]",Study of GDC-0068 Or GDC-0980 With Abiraterone Acetate Versus Abiraterone Acetate in Patients With Castration-Resistant Prostate Cancer Previously Treated With Docetaxel Chemotherapy,4697
11,NCT01681433,Phase II,Terminated,"[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 1807, 'therapyName': 'OGX-427'}]",OGX-427 in Metastatic Castrate-Resistant Prostate Cancer With Prostate-Specific Antigen Progression While Receiving Abiraterone,4697
12,NCT01751451,Phase II,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 1814, 'therapyName': 'Degarelix'}]","3-arm Study of Abiraterone Acetate Alone, Abiraterone Acetate Plus Degarelix, a GnRH Antagonist, and Degarelix Alone for Patients With Prostate Cancer With a Rising PSA or a Rising PSA and Nodal Disease Following Definitive Radical Prostatectomy",4697
13,NCT02217566,Phase II,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}]","Study of Abiraterone Acetate in Participants With Metastatic Castration-Resistant Prostate Cancer (mCRPC), Chemo-Naive, Who Received a Prior Diethylstilbestrol Therapy",4697
14,NCT01972217,Phase II,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 837, 'therapyName': 'Olaparib'}]",Ph II Study to Evaluate Olaparib With Abiraterone in Treating Metastatic Castration Resistant Prostate Cancer,4697
15,NCT03072238,Phase III,Recruiting,"[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 5438, 'therapyName': 'Abiraterone + Ipatasertib'}]","Ipatasertib Plus Abiraterone Plus Prednisone/Prednisolone, Relative to Placebo Plus Abiraterone Plus Prednisone/Prednisolone in Adult Male Patients With Metastatic Castrate-Resistant Prostate Cancer",4697
16,NCT02403505,Phase II,"Active, not recruiting","[{'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1814, 'therapyName': 'Degarelix'}]",Discovery Stage Clinical Study About Oncology Drugs and Single Nucleotide Polymorphisms,4697
17,NCT01517802,Phase III,Recruiting,"[{'id': 1805, 'therapyName': 'Abiraterone'}]",A Study That Provides Long-term Safety Follow-up and Examines Long-term Exposure to Abiraterone Acetate,4697
18,NCT02043678,Phase III,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2001, 'therapyName': 'radium Ra 223 dichloride'}]","Radium-223 Dichloride and Abiraterone Acetate Compared to Placebo and Abiraterone Acetate for Men With Cancer of the Prostate When Medical or Surgical Castration Does Not Work and When the Cancer Has Spread to the Bone, Has Not Been Treated With Chemotherapy and is Causing no or Only Mild Symptoms",4697
19,NCT01786265,Phase II,"Active, not recruiting","[{'id': 759, 'therapyName': 'Goserelin'}, {'id': 1814, 'therapyName': 'Degarelix'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 795, 'therapyName': 'Leuprolide'}]",Finite Androgen Ablation vs. Finite Androgen Ablation in Combination With Abiraterone Acetate and Prednisone,4697
20,NCT02788201,Phase II,Recruiting,"[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 1154, 'therapyName': 'Dacarbazine'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1133, 'therapyName': 'Mitomycin C'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1013, 'therapyName': 'epirubicin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1137, 'therapyName': 'Bleomycin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1441, 'therapyName': 'Ifosfamide'}, {'id': 2206, 'therapyName': 'Asparaginase'}, {'id': 781, 'therapyName': 'Ixabepilone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 2950, 'therapyName': 'Estramustine'}, {'id': 1941, 'therapyName': 'Floxuridine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 956, 'therapyName': 'Vismodegib'}, {'id': 953, 'therapyName': 'Vandetanib'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 4419, 'therapyName': 'Toremifine'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 2601, 'therapyName': 'Dactinomycin'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1456, 'therapyName': 'Tamoxifen'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 3035, 'therapyName': 'Chlorambucil'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 728, 'therapyName': 'Eribulin'}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 738, 'therapyName': 'Exemestane'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 2635, 'therapyName': 'Vinblastine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 4305, 'therapyName': 'Teniposide'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1104, 'therapyName': 'Oxaliplatin'}, {'id': 4304, 'therapyName': 'Streptozocin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1231, 'therapyName': 'Bendamustine'}, {'id': 4303, 'therapyName': 'Mechlorethamine'}, {'id': 4302, 'therapyName': 'Mitotane'}]",Genomic Based Assignment of Therapy in Advanced Urothelial Carcinoma,4697
21,NCT01503229,Phase II,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",Abiraterone Acetate in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,4697
22,NCT02353715,Phase I,Recruiting,"[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 2648, 'therapyName': 'Sipuleucel-T'}]","Men With Metastatic Castrate-Resistant Prostate Cancer Treated With Either Sipuleucel-T (Provenge), Abiraterone Acetate (Zytiga) or Enzalutamide (Xtandi) Undergoing Cardiopulmonary EXercise Testing",4697
