,nctId,phase,recruitment,therapies,title,Therapies_id
2,NCT02981342,Phase II,Recruiting,"[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 5175, 'therapyName': 'Abemaciclib + LY3023414'}, {'id': 5176, 'therapyName': 'Abemaciclib + Galunisertib'}]",A Study of Abemaciclib (LY2835219) Alone or in Combination With Other Agents in Participants With Previously Treated Pancreatic Ductal Adenocarcinoma,802
3,NCT02644460,Phase I,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Abemaciclib in Children With DIPG or Recurrent/Refractory Solid Tumors,802
4,NCT02675231,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 947, 'therapyName': 'Trastuzumab'}, {'id': 744, 'therapyName': 'Fulvestrant'}]","A Study of Abemaciclib (LY2835219) in Women With HR+, HER2+ Locally Advanced or Metastatic Breast Cancer",802
5,NCT03130439,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]","Abemaciclib for Patients With Retinoblastoma-Positive, Triple Negative Metastatic Breast Cancer",802
6,NCT02152631,Phase III,"Active, not recruiting","[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of LY2835219 in Participants With Previously Treated Lung Cancer,802
7,NCT03155997,Phase III,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study to Compare Treatment After Surgery of Abemaciclib (LY2835219) Combined With Standard Endocrine Therapy Versus Endocrine Therapy Alone in Participants With Breast Cancer,802
8,NCT02117648,,Completed,"[{'id': 1690, 'therapyName': 'Abemaciclib + Clarithromycin'}, {'id': 802, 'therapyName': 'Abemaciclib'}]", A Study of LY2835219 in Participants With Cancer,802
9,NCT02747004,Phase II,Recruiting,"[{'id': 4387, 'therapyName': 'Abemaciclib + Loperamide'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}]",A Study of Abemaciclib (LY2835219) Plus Tamoxifen or Abemaciclib Alone in Women With Metastatic Breast Cancer (nextMONARCH 1),802
10,NCT03220646,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",The Purpose of This Study is to Test Any Good and Bad Effects of a Study Drug Called Abemaciclib (LY2835219) in Patients With Recurrent Brain Tumors.,802
11,NCT02107703,Phase III,"Active, not recruiting","[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 744, 'therapyName': 'Fulvestrant'}]",A Study of Abemaciclib (LY2835219) Combined With Fulvestrant in Women With Hormone Receptor Positive HER2 Negative Breast Cancer,802
12,NCT02846987,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Study of Abemaciclib in Dedifferentiated Liposarcoma,802
13,NCT02308020,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of Abemaciclib (LY2835219) in Participants With Breast Cancer That Has Spread to the Brain,802
14,NCT02981940,Phase II,Recruiting,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",A Study of Abemaciclib in Recurrent Glioblastoma,802
15,NCT02441946,Phase II,Completed,"[{'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2700, 'therapyName': 'Loperamide'}, {'id': 633, 'therapyName': 'Anastrozole'}]","A Phase 2 Neoadjuvant Study of Abemaciclib (LY2835219) in Postmenopausal Women With Hormone Receptor Positive, HER2 Negative Breast Cancer",802
16,NCT02079636,Phase I,Recruiting,"[{'id': 1069, 'therapyName': 'LY3023414'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 886, 'therapyName': 'Ramucirumab'}]",A Study of LY2835219 in Combination With Another Anti-cancer Drug in Participants With Lung Cancer (NSCLC),802
17,NCT02792725,Expanded access,Available,"[{'id': 802, 'therapyName': 'Abemaciclib'}]",Expanded Access Program to Provide Abemaciclib (LY2835219) for the Treatment of Metastatic Breast Cancer,802
0,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,2255
0,NCT02246621,Phase III,"Active, not recruiting","[{'id': 1854, 'therapyName': 'Abemaciclib + Anastrozole + Letrozole'}, {'id': 1853, 'therapyName': 'Anastrozole + Letrozole'}]",A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Postmenopausal Women With Breast Cancer,1854
0,NCT03099174,Phase I,Recruiting,"[{'id': 5514, 'therapyName': 'Abemaciclib + Xentuzumab'}, {'id': 5515, 'therapyName': 'Abemaciclib + Letrozole + Xentuzumab'}, {'id': 5516, 'therapyName': 'Abemaciclib + Anastrozole + Xentuzumab'}, {'id': 5517, 'therapyName': 'Abemaciclib + Fulvestrant + Xentuzumab'}]",This Study in Patients With Different Types of Cancer (Solid Tumours) Aims to Find a Safe Dose of Xentuzumab in Combination With Abemaciclib With or Without Hormonal Therapies. The Study Also Tests How Effective These Medicines Are in Patients With Lung and Breast Cancer.,5516
0,NCT02117648,,Completed,"[{'id': 1690, 'therapyName': 'Abemaciclib + Clarithromycin'}, {'id': 802, 'therapyName': 'Abemaciclib'}]", A Study of LY2835219 in Participants With Cancer,1690
0,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,2257
0,NCT03099174,Phase I,Recruiting,"[{'id': 5514, 'therapyName': 'Abemaciclib + Xentuzumab'}, {'id': 5515, 'therapyName': 'Abemaciclib + Letrozole + Xentuzumab'}, {'id': 5516, 'therapyName': 'Abemaciclib + Anastrozole + Xentuzumab'}, {'id': 5517, 'therapyName': 'Abemaciclib + Fulvestrant + Xentuzumab'}]",This Study in Patients With Different Types of Cancer (Solid Tumours) Aims to Find a Safe Dose of Xentuzumab in Combination With Abemaciclib With or Without Hormonal Therapies. The Study Also Tests How Effective These Medicines Are in Patients With Lung and Breast Cancer.,5517
0,NCT02981342,Phase II,Recruiting,"[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 5175, 'therapyName': 'Abemaciclib + LY3023414'}, {'id': 5176, 'therapyName': 'Abemaciclib + Galunisertib'}]",A Study of Abemaciclib (LY2835219) Alone or in Combination With Other Agents in Participants With Previously Treated Pancreatic Ductal Adenocarcinoma,5176
0,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,2254
0,NCT03099174,Phase I,Recruiting,"[{'id': 5514, 'therapyName': 'Abemaciclib + Xentuzumab'}, {'id': 5515, 'therapyName': 'Abemaciclib + Letrozole + Xentuzumab'}, {'id': 5516, 'therapyName': 'Abemaciclib + Anastrozole + Xentuzumab'}, {'id': 5517, 'therapyName': 'Abemaciclib + Fulvestrant + Xentuzumab'}]",This Study in Patients With Different Types of Cancer (Solid Tumours) Aims to Find a Safe Dose of Xentuzumab in Combination With Abemaciclib With or Without Hormonal Therapies. The Study Also Tests How Effective These Medicines Are in Patients With Lung and Breast Cancer.,5515
0,NCT02747004,Phase II,Recruiting,"[{'id': 4387, 'therapyName': 'Abemaciclib + Loperamide'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}]",A Study of Abemaciclib (LY2835219) Plus Tamoxifen or Abemaciclib Alone in Women With Metastatic Breast Cancer (nextMONARCH 1),4387
0,NCT02981342,Phase II,Recruiting,"[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 5175, 'therapyName': 'Abemaciclib + LY3023414'}, {'id': 5176, 'therapyName': 'Abemaciclib + Galunisertib'}]",A Study of Abemaciclib (LY2835219) Alone or in Combination With Other Agents in Participants With Previously Treated Pancreatic Ductal Adenocarcinoma,5175
0,NCT02784795,Phase I,Recruiting,"[{'id': 4374, 'therapyName': 'Cisplatin + Gemcitabine + LY3039478'}, {'id': 4375, 'therapyName': 'Carboplatin + Gemcitabine + LY3039478'}, {'id': 4372, 'therapyName': 'LY3039478 + LY3023414'}, {'id': 4373, 'therapyName': 'Abemaciclib + LY3039478'}, {'id': 4371, 'therapyName': 'LY3039478 + Taladegib'}, {'id': 2958, 'therapyName': 'LY3039478'}, {'id': 1069, 'therapyName': 'LY3023414'}]",A Study of LY3039478 in Participants With Advanced or Metastatic Solid Tumors,4373
0,NCT02779751,Phase II,Recruiting,"[{'id': 4242, 'therapyName': 'Abemaciclib + Pembrolizumab'}]",A Study of Abemaciclib (LY2835219) in Participants With Non-Small Cell Lung Cancer or Breast Cancer,4242
0,NCT02745769,Phase I,Recruiting,"[{'id': 4208, 'therapyName': 'LY2801653 + Ramucirumab'}, {'id': 4209, 'therapyName': 'Abemaciclib + Ramucirumab'}]",A Study in Advanced Cancers Using Ramucirumab (LY3009806) and Other Targeted Agents,4209
0,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,2256
1,NCT02747004,Phase II,Recruiting,"[{'id': 4387, 'therapyName': 'Abemaciclib + Loperamide'}, {'id': 802, 'therapyName': 'Abemaciclib'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}]",A Study of Abemaciclib (LY2835219) Plus Tamoxifen or Abemaciclib Alone in Women With Metastatic Breast Cancer (nextMONARCH 1),2256
0,NCT02977780,Phase II,Recruiting,"[{'id': 1000, 'therapyName': 'CC-115'}, {'id': 5028, 'therapyName': 'Abemaciclib + Temozolomide'}, {'id': 1141, 'therapyName': 'Temozolomide'}, {'id': 5029, 'therapyName': 'Neratinib + Temozolomide'}]",INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT),5028
0,NCT02057133,Phase I,Recruiting,"[{'id': 2254, 'therapyName': 'Abemaciclib + Letrozole'}, {'id': 2257, 'therapyName': 'Abemaciclib + Exemestane'}, {'id': 2258, 'therapyName': 'Everolimus + Exemestane + LY2835219'}, {'id': 2255, 'therapyName': 'Abemaciclib + Anastrozole'}, {'id': 2256, 'therapyName': 'Abemaciclib + Tamoxifen'}, {'id': 2259, 'therapyName': 'Abemaciclib + Trastuzumab'}]",A Study of LY2835219 in Combination With Hormone Therapies for Breast Cancer That Has Spread,2259
0,NCT03099174,Phase I,Recruiting,"[{'id': 5514, 'therapyName': 'Abemaciclib + Xentuzumab'}, {'id': 5515, 'therapyName': 'Abemaciclib + Letrozole + Xentuzumab'}, {'id': 5516, 'therapyName': 'Abemaciclib + Anastrozole + Xentuzumab'}, {'id': 5517, 'therapyName': 'Abemaciclib + Fulvestrant + Xentuzumab'}]",This Study in Patients With Different Types of Cancer (Solid Tumours) Aims to Find a Safe Dose of Xentuzumab in Combination With Abemaciclib With or Without Hormonal Therapies. The Study Also Tests How Effective These Medicines Are in Patients With Lung and Breast Cancer.,5514
0,NCT02254785,Phase II,Recruiting,"[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1571, 'therapyName': 'Cabazitaxel'}]",Cabazitaxel vs Abiraterone or Enzalutamide in Patients With Poor Prognosis Metastatic Castration-resistant Prostate Cancer,1805
1,NCT01685125,Phase II,"Active, not recruiting","[{'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",Abiraterone Acetate and Prednisone With or Without Dasatinib in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,1805
2,NCT02257736,Phase III,"Active, not recruiting","[{'id': 1948, 'therapyName': 'ARN-509 + Abiraterone'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",An Efficacy and Safety Study of JNJ56021927 in Participants With Chemotherapy-naive Metastatic Castration-resistant Prostate Cancer (mCRPC),1805
3,NCT02987543,Phase III,Recruiting,"[{'id': 837, 'therapyName': 'Olaparib'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",Study of Olaparib (Lynparza) Versus Enzalutamide or Abiraterone Acetate in Men With Metastatic Castration-Resistant Prostate Cancer (PROfound Study),1805
4,NCT02034552,Phase II,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 2001, 'therapyName': 'radium Ra 223 dichloride'}, {'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}]",A Randomized Phase IIa Efficacy and Safety Study of Radium-223 Dichloride With Abiraterone Acetate or Enzalutamide in Metastatic Castration-resistant Prostate Cancer (CRPC),1805
5,NCT01576172,Phase II,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 954, 'therapyName': 'Veliparib'}]",Abiraterone Acetate and Prednisone With or Without Veliparib in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,1805
6,NCT01949337,Phase III,"Active, not recruiting","[{'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1262, 'therapyName': 'Enzalutamide'}]",Enzalutamide With or Without Abiraterone and Prednisone in Treating Patients With Castration-Resistant Metastatic Prostate Cancer,1805
7,NCT02268175,Phase II,"Active, not recruiting","[{'id': 1262, 'therapyName': 'Enzalutamide'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 795, 'therapyName': 'Leuprolide'}]",Enzalutamide/Leuprolide +/- Abiraterone/Pred in Prostate,1805
