,nctId,phase,recruitment,therapies,title,Indications_id
5,NCT02208037,Phase II,"Active, not recruiting",[],Novel Approaches for Graft-versus-Host Disease Prevention Compared to Contemporary Controls (BMT CTN 1203),12603
6,NCT02212561,Phase Ib/II,Completed,"[{'id': 1749, 'therapyName': 'Selinexor'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 2345, 'therapyName': 'Cytarabine + Dexamethasone+ Methotrexate '}, {'id': 1166, 'therapyName': 'Fludarabine'}]",Selinexor With Fludarabine and Cytarabine for Treatment of Refractory or Relapsed Leukemia or Myelodysplastic Syndrome,12603
7,NCT02225574,Phase Ib/II,Completed,"[{'id': 2219, 'therapyName': 'MEK162 + Nilotinib'}]","An Open-Label, Phase I/II Study of Nilotinib (Tasigna) and MEK-162 (ARRY-162) Used in Combination for Patients With Refractory or Advanced Chronic Myeloid Leukemia and Philadelphia Positive Acute Leukemia (Protocol CAMN107AUS41T)",12603
8,NCT02270788,Phase I,Completed,"[{'id': 1865, 'therapyName': 'Methotrexate + Cytarabine + Leucovorin'}, {'id': 1864, 'therapyName': 'Crenolanib + Sorafenib'}]",Crenolanib in Combination With Sorafenib in Patients With Refractory or Relapsed Hematologic Malignancies,12603
9,NCT02345382,Phase I,Completed,"[{'id': 4027, 'therapyName': 'BAY1143572'}]",Phase I Dose Escalation of BAY1143572 in Subjects With Acute Leukemia,12603
10,NCT02390752,Phase Ib/II,Recruiting,"[{'id': 874, 'therapyName': 'PLX3397'}]",PLX3397 in Children and Young Adults With Refractory Leukemias and Refractory Solid Tumors Including Neurofibromatosis Type 1 (NF1) Associated Plexiform Neurofibromas (PN),12603
11,NCT02392572,Phase Ib/II,Recruiting,"[{'id': 1687, 'therapyName': 'ONC201'}]",ONC201 in Relapsed/Refractory Acute Leukemias and High-risk Myelodysplastic Syndromes (HR-MDS),12603
12,NCT02484261,Phase I,Recruiting,"[{'id': 3191, 'therapyName': 'Bortezomib + Pravastatin'}]",Monitoring and Treatment of Relapsed Leukemia Following Allogeneic Hematopoietic Stem Cell Transplantation in Children,12603
13,NCT02551718,Phase I,Recruiting,"[{'id': 690, 'therapyName': 'Bosutinib'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 3160, 'therapyName': 'Nelarabine'}, {'id': 3159, 'therapyName': 'Bexarotene'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 998, 'therapyName': 'cabozantinib'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 877, 'therapyName': 'Ponatinib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 623, 'therapyName': 'Afatinib'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 890, 'therapyName': 'Regorafenib'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 2, 'therapyName': 'Trametinib'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 4, 'therapyName': 'Erlotinib'}, {'id': 3, 'therapyName': 'Dabrafenib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 789, 'therapyName': 'Ceritinib'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1571, 'therapyName': 'Cabazitaxel'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1327, 'therapyName': 'Pralatrexate'}]",High Throughput Drug Sensitivity Assay and Genomics- Guided Treatment of Patients With Relapsed or Refractory Acute Leukemia,12603
14,NCT02722668,Phase II,Recruiting,"[{'id': 2281, 'therapyName': 'Cyclophosphamide + Fludarabine + Mycophenolate mofetil'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}]",UCB Transplant for Hematological DIseases Using a Non Myeloablative Prep,12603
15,NCT02793544,Phase II,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 5682, 'therapyName': 'Mesna'}, {'id': 1166, 'therapyName': 'Fludarabine'}]",HLA-Mismatched Unrelated Donor Bone Marrow Transplantation With Post-Transplantation Cyclophosphamide,12603
16,NCT02879695,Phase I,Recruiting,"[{'id': 4613, 'therapyName': 'Blinatumomab + Ipilimumab + Nivolumab'}]",Blinatumomab and Nivolumab With or Without Ipilimumab in Treating Patients With Poor-Risk Relapsed or Refractory CD19+ Precursor B-Lymphoblastic Leukemia,12603
17,NCT03267186,Phase II,Recruiting,"[{'id': 768, 'therapyName': 'Ibrutinib'}]",Ibrutinib in Preventing Acute Leukemia in Patients After Reduced-Intensity Conditioning and Stem Cell Transplant,12603
0,NCT00084695,Phase II,Unknown status,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2188, 'therapyName': 'Prednisone'}]",Umbilical Cord Blood for Stem Cell Transplantation in Treating Young Patients With Malignant or Nonmalignant Diseases,9952
1,NCT00513474,Phase I,Completed,"[{'id': 2313, 'therapyName': 'Rasburicase'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 2314, 'therapyName': 'Busulfan + Cyclophosphamide + Etoposide'}]",Rasburicase in Preventing Graft-Versus-Host Disease in Patients With Hematologic Cancer or Other Disease Undergoing Donor Stem Cell Transplant,9952
2,NCT00549848,Phase III,"Active, not recruiting","[{'id': 1781, 'therapyName': 'Vincristine + Pegaspargase + Daunorubicin'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1782, 'therapyName': 'Clofarabine + Etoposide + Cyclophosphamide'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}]",Total Therapy Study XVI for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia,9952
3,NCT00550992,Phase I,Unknown status,"[{'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1752, 'therapyName': 'Mitoxantrone + Etoposide + Cytarabine'}, {'id': 1848, 'therapyName': 'Cyclophosphamide + Methotrexate + Vincristine + Pegaspargase '}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 1642, 'therapyName': 'Leucovorin'}]",Different Therapies in Treating Infants With Newly Diagnosed Acute Leukemia,9952
4,NCT00679536,Phase Ib/II,Unknown status,"[{'id': 1846, 'therapyName': 'Busulfan + Fludarabine + anti-thymocyte globulin'}]",Allogeneic Transplantation for Pediatric Leukemias With Unrelated Donors,9952
5,NCT00857389,Phase II,"Active, not recruiting","[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}, {'id': 1639, 'therapyName': 'Methotrexate'}]",Thiotepa-Clofarabine-Busulfan With Allogeneic Stem Cell Transplant for High Risk Malignancies,9952
6,NCT00866281,Phase Ib/II,Terminated,"[{'id': 810, 'therapyName': 'Midostaurin'}]",A Study of the Safety and Preliminary Efficacy of Oral Midostaurin (PKC412) in Relapsed or Refractory Pediatric Leukemia,9952
7,NCT00908167,Phase I,Completed,"[{'id': 2374, 'therapyName': 'Clofarabine + Cytarabine + Sorafenib'}]",Sorafenib in Combination With Cytarabine and Clofarabine in Patients With Refractory or Relapsed Hematologic Malignancies,9952
8,NCT00990249,Phase II,Completed,"[{'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}]",Busulfan Plus Clofarabine Followed by Allogeneic Hematopoietic Stem Cell Transplantation,9952
9,NCT01077544,Phase I,Completed,"[{'id': 829, 'therapyName': 'Nilotinib'}]",A Pharmacokinetic (PK) Study of Nilotinib in Pediatric Patients With Philadelphia Chromosome-positive (Ph+) Chronic Myelogenous Leukemia (CML) or Acute Lymphoblastic Leukemia (ALL),9952
10,NCT01162551,Phase II,Completed,"[{'id': 2304, 'therapyName': 'Sirolimus + Methotrexate'}]",Trial of Sirolimus and Methotrexate in Relapsed/Refractory Lymphoblastic Leukemia and Lymphoma,9952
11,NCT01187810,Phase I,"Active, not recruiting","[{'id': 2731, 'therapyName': 'Fenretinide'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1639, 'therapyName': 'Methotrexate'}]","Fenretinide in Children With Recurrent/Resistant ALL, AML, and NHL",9952
12,NCT01251575,Phase II,Recruiting,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 2270, 'therapyName': 'Cyclosporine + Mycophenolate mofetil + Sirolimus'}]","Sirolimus, Cyclosporine, and Mycophenolate Mofetil In Preventing Graft-Versus-Host Disease in Treating Patients With Hematologic Malignancies Undergoing Donor Peripheral Blood Stem Cell Transplant",9952
13,NCT01256398,Phase II,"Active, not recruiting","[{'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 2291, 'therapyName': 'Cyclophosphamide + Fludarabine'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1824, 'therapyName': 'Vincristine + Methotrexate + Mercaptopurine'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 2391, 'therapyName': 'Cytarabine + Daunorubicin + Etoposide'}, {'id': 1476, 'therapyName': 'Pegfilgrastim'}, {'id': 1205, 'therapyName': 'Alemtuzumab'}, {'id': 1642, 'therapyName': 'Leucovorin'}]",Dasatinib Followed by Stem Cell Transplant in Treating Older Patients With Newly Diagnosed Acute Lymphoblastic Leukemia,9952
14,NCT01266083,Phase II,"Active, not recruiting","[{'id': 2893, 'therapyName': 'WT1 vaccine'}]",Trial of a WT-1 Analog Peptide Vaccine in Patients With Acute Myeloid Leukemia (AML) or Acute Lymphoblastic Leukemia (ALL),9952
15,NCT01319981,Phase II,Recruiting,"[{'id': 1476, 'therapyName': 'Pegfilgrastim'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}]",Hyper-CVAD With Liposomal Vincristine in Acute Lymphoblastic Leukemia,9952
16,NCT01321346,Phase I,Completed,"[{'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1080, 'therapyName': 'Panobinostat'}]",A Study Of Panobinostat In Children With Refractory Hematologic Malignancies,9952
17,NCT01324180,Phase I,Completed,"[{'id': 1031, 'therapyName': 'Metformin'}, {'id': 1830, 'therapyName': 'Vincristine + Dexamethasone + Pegaspargase + Doxorubicin'}]","Vincristine, Dexamethasone, Doxorubicin, and PEG-asparaginase (VPLD) and Metformin for Relapsed Childhood Acute Lymphoblastic Leukemia (ALL)",9952
18,NCT01338987,Phase II,"Active, not recruiting","[{'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 795, 'therapyName': 'Leuprolide'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}]",Pilot Study of Lupron to Improve Immune Function After Allogeneic Bone Marrow Transplantation,9952
19,NCT01424982,Phase II,Recruiting,"[{'id': 1476, 'therapyName': 'Pegfilgrastim'}, {'id': 2048, 'therapyName': 'Cytarabine + Methotrexate + Ponatinib'}, {'id': 2049, 'therapyName': 'Ponatinib + Vincristine'}, {'id': 2046, 'therapyName': 'Cyclophosphamide + Dexamethasone + Doxorubicin + Vincristine '}, {'id': 1642, 'therapyName': 'Leucovorin'}]",Hyper-CVAD and Ponatinib in Ph-Positive and/or BCR-ABL Positive Acute Lymphoblastic Leukemia (ALL),9952
20,NCT01483690,Phase Ib/II,Terminated,"[{'id': 1638, 'therapyName': 'Pegaspargase'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}]",A Pilot Study of Decitabine and Vorinostat With Chemotherapy for Relapsed ALL,9952
21,NCT01523977,Phase I,"Active, not recruiting","[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1638, 'therapyName': 'Pegaspargase'}]",Everolimus With Multiagent Re-Induction Chemotherapy in Pediatric Patients With ALL,9952
22,NCT01614197,Phase I,Recruiting,"[{'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 1639, 'therapyName': 'Methotrexate'}]",A Trial of Temsirolimus With Etoposide and Cyclophosphamide in Children With Relapsed Acute Lymphoblastic Leukemia and Non-Hodgkins Lymphoma,9952
23,NCT01620216,Phase II,Recruiting,"[{'id': 930, 'therapyName': 'Sunitinib'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 877, 'therapyName': 'Ponatinib'}, {'id': 920, 'therapyName': 'Sorafenib'}]",Validation of an in Vitro Assay to Predict Targeted Therapies for Acute Leukemia Patients,9952
24,NCT01621477,Phase II,Terminated,"[{'id': 1756, 'therapyName': 'Plerixafor'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}, {'id': 1783, 'therapyName': 'Cyclophosphamide + Cytarabine'}]",T-Cell Replete Haploidentical Donor Hematopoietic Stem Cell Plus Natural Killer (NK) Cell Transplantation in Patients With Hematologic Malignancies Relapsed or Refractory Despite Previous Allogeneic Transplant,9952
25,NCT01634217,Phase I,"Active, not recruiting",[],Inducible Regulatory T Cells (iTregs) in Non-Myeloablative Sibling Donor Peripheral Blood Stem Cell Transplantation,9952
26,NCT01658007,Phase I,Terminated,"[{'id': 917, 'therapyName': 'Sirolimus'}]",Pilot Study Of Sirolimus Plus Multiagent Chemotherapy For Relapsed/Refractory Acute Lymphoblastic Leukemia/Lymphoma,9952
27,NCT01744223,Phase Ib/II,Recruiting,"[{'id': 5992, 'therapyName': 'Rimiducid'}, {'id': 6053, 'therapyName': 'BPX-501'}]",Safety Study of Gene Modified Donor T-cells Following Partially Mismatched Stem Cell Transplant,9952
28,NCT01746849,Phase II,Recruiting,"[{'id': 795, 'therapyName': 'Leuprolide'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 2373, 'therapyName': 'Palifermin'}]",Palifermin With Leuprolide Acetate for the Promotion of Immune Recovery Following Total Body Irradiation Based T-Cell Depleted Allogeneic Hematopoietic Stem Cell Transplantation,9952
29,NCT01769209,Phase II,Terminated,"[{'id': 688, 'therapyName': 'Bortezomib'}, {'id': 3195, 'therapyName': 'Cytarabine + Methotrexate '}, {'id': 1830, 'therapyName': 'Vincristine + Dexamethasone + Pegaspargase + Doxorubicin'}]",Bortezomib and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia,9952
30,NCT01829971,Phase I,Terminated,"[{'id': 1035, 'therapyName': 'MRX34'}]","A Multicenter Phase I Study of MRX34, MicroRNA miR-RX34 Liposomal Injection",9952
31,NCT01841333,Phase II,Recruiting,"[{'id': 1748, 'therapyName': 'PF-04449913'}]",PF-04449913 For Patients With Acute Leukemia at High Risk of Relapse After Donor Stem Cell Transplant,9952
32,NCT01885689,Phase II,Recruiting,"[{'id': 2236, 'therapyName': 'Clofarabine + Melphalan'}]",Clofarabine and Melphalan Before Donor Stem Cell Transplant in Treating Patients With Myelodysplasia or Acute Leukemia in Remission,9952
33,NCT01885897,Phase Ib/II,Recruiting,"[{'id': 3060, 'therapyName': 'ALT-803'}]",IL-15 Super Agonist ALT-803 to Treat Relapse Of Hematologic Malignancy After Allogeneic SCT,9952
34,NCT01925131,Phase I,Recruiting,"[{'id': 3221, 'therapyName': 'Cyclophosphamide + Prednisone + Vincristine'}, {'id': 3199, 'therapyName': 'inotuzumab ozogamicin'}]","S1312, Inotuzumab Ozogamicin and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Leukemia",9952
35,NCT01943682,Phase I,Recruiting,"[{'id': 4341, 'therapyName': 'CPX-351'}]",Safety Study of CPX-351 in Children With Relapsed Leukemia or Lymphoma,9952
36,NCT02043587,Phase II,Recruiting,"[{'id': 897, 'therapyName': 'Rituximab'}, {'id': 1638, 'therapyName': 'Pegaspargase'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1642, 'therapyName': 'Leucovorin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1136, 'therapyName': 'Etoposide'}]",Chemotherapy With Liposomal Cytarabine CNS Prophylaxis for Adult Acute Lymphoblastic Leukemia &amp; Lymphoblastic Lymphoma,9952
37,NCT02071927,Phase I,Completed,"[{'id': 1667, 'therapyName': 'CB-839'}]",Study of the Glutaminase Inhibitor CB-839 in Leukemia,9952
38,NCT02083250,Phase I,Recruiting,"[{'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 3201, 'therapyName': 'Busulfan + Clofarabine + Fludarabine'}]",Fludarabine/Clofarabine/Busulfan Combined With SAHA in Acute Leukemia,9952
39,NCT02089230,Phase Ib/II,Recruiting,"[{'id': 807, 'therapyName': 'Binimetinib'}]","Phase I/II MEK162 Relapsed and/or Refractory Acute Myeloid Leukemia (AML) and Poor Prognosis, Not Suitable for or Unwilling to Receive Standard Therapy",9952
40,NCT02091245,Phase I,Recruiting,"[{'id': 1749, 'therapyName': 'Selinexor'}]","Phase I Trial of the Selective Inhibitor of Nuclear Export, KPT-330, in Relapsed Childhood ALL and AML",9952
41,NCT02101853,Phase III,Recruiting,"[{'id': 1876, 'therapyName': 'Blinatumomab '}, {'id': 2347, 'therapyName': 'Leucovorin + Pegaspargase  + Vincristine'}, {'id': 2346, 'therapyName': 'Mercaptopurine + Thioguanine'}, {'id': 2348, 'therapyName': 'Asparaginase + Cyclophosphamide + Etoposide'}, {'id': 2345, 'therapyName': 'Cytarabine + Dexamethasone+ Methotrexate '}]",Blinatumomab in Treating Younger Patients With Relapsed B-cell Acute Lymphoblastic Leukemia,9952
42,NCT02129062,Phase II,Terminated,"[{'id': 768, 'therapyName': 'Ibrutinib'}]",Ibrutinib in Treating Patients With Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia,9952
43,NCT02141828,Phase I,Completed,"[{'id': 2855, 'therapyName': 'EPZ-5676'}]",A Phase 1 Dose Escalation and Expanded Cohort Study of EPZ-5676 in the Treatment of Pediatric Patients With Relapsed/Refractory Leukemias Bearing a Rearrangement of the MLL Gene,9952
44,NCT02143635,Phase I,Recruiting,"[{'id': 2186, 'therapyName': 'HDM201'}]",Study to Determine and Evaluate a Safe and Tolerated Dose of HDM201 in Patients With Selected Advanced Tumors That Are TP53wt,9952
45,NCT02146924,Phase I,Recruiting,[],Cellular Immunotherapy in Treating Patients With High-Risk Acute Lymphoblastic Leukemia,9952
46,NCT02158858,Phase I,Recruiting,"[{'id': 2033, 'therapyName': 'CPI-0610'}]","A Phase 1 Study Evaluating CPI-0610 in Patients With Acute Leukemia, Myelodysplastic Syndrome, or Myelodysplastic/Myeloproliferative Neoplasms",9952
47,NCT02181478,Phase I,Recruiting,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}]",Intra-Osseous Co-Transplant of UCB and hMSC,9952
48,NCT02200380,Phase II,Terminated,"[{'id': 1756, 'therapyName': 'Plerixafor'}, {'id': 3007, 'therapyName': 'CDX-301'}]",A Safety and Tolerability Study of CDX-301 With or Without Plerixafor for Stem Cell Mobilization in Matched Related Allogeneic Donor/Recipient Sibling Transplant Pairs,9952
49,NCT02212561,Phase Ib/II,Completed,"[{'id': 1749, 'therapyName': 'Selinexor'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 2345, 'therapyName': 'Cytarabine + Dexamethasone+ Methotrexate '}, {'id': 1166, 'therapyName': 'Fludarabine'}]",Selinexor With Fludarabine and Cytarabine for Treatment of Refractory or Relapsed Leukemia or Myelodysplastic Syndrome,9952
50,NCT02269579,Phase II,Recruiting,"[{'id': 4341, 'therapyName': 'CPX-351'}]",Pharmacokinetic and Pharmacodynamic Assessment of Treatment With CPX-351 (Cytarabine: Daunorubicin) Liposome for Injection in Acute Leukemias and MDS Patients With Moderate Hepatic Impairment,9952
51,NCT02311998,Phase Ib/II,Recruiting,"[{'id': 3200, 'therapyName': 'Bosutinib + inotuzumab ozogamicin'}]",Phase I/II Study of Bosutinib in Combination With Inotuzumab Ozogamicin in CD22-positive Philadelphia-Chromosome (PC) Positive Acute Lymphoblastic Leukemia (ALL) and Chronic Myeloid Leukemia (CML),9952
52,NCT02319369,Phase I,Recruiting,"[{'id': 2079, 'therapyName': 'DS-3032b'}]","Study to Evaluate the Safety, Tolerability and Pharmacokinetics of DS-3032b in Hematological Malignancies",9952
53,NCT02356159,Phase Ib/II,Recruiting,"[{'id': 2294, 'therapyName': 'Cytarabine + Fludarabine'}, {'id': 2373, 'therapyName': 'Palifermin'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 2238, 'therapyName': 'Sirolimus + Tacrolimus + Methotrexate'}, {'id': 2292, 'therapyName': 'Doxorubicin + Etoposide + Fludarabine + Vincristine '}, {'id': 2291, 'therapyName': 'Cyclophosphamide + Fludarabine'}, {'id': 897, 'therapyName': 'Rituximab'}]",Study of Palifermin (Kepivance) in Persons Undergoing Unrelated Donor Allogeneic Hematopoietic Cell Transplantation,9952
54,NCT02420717,Phase II,Recruiting,"[{'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 3195, 'therapyName': 'Cytarabine + Methotrexate '}, {'id': 2046, 'therapyName': 'Cyclophosphamide + Dexamethasone + Doxorubicin + Vincristine '}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 3194, 'therapyName': 'Mercaptopurine + Methotrexate + Prednisone + Vincristine'}]",Ruxolitinib or Dasatinib With Chemotherapy in Patients With Philadelphia Chromosome (Ph)-Like Acute Lymphoblastic Leukemia (ALL),9952
55,NCT02454270,Phase II,"Active, not recruiting","[{'id': 4166, 'therapyName': 'JNJ-64052781'}]",A Dose Escalation Study of JNJ-64052781 in Participants With Relapsed or Refractory B-cell Malignancies,9952
