,createDate,id,therapyDescriptions,therapyName,updateDate
0,2017-06-23T18:35:21Z,5926,"[{'description': '20G7-D9 is a monoclonal antibody that targets AXL, potentially resulting in decreased growth and metastasis of AXL-expressing tumors (PMID: 24240689, PMID: 27923843).', 'references': [{'id': 9209, 'pubMedId': 24240689, 'title': 'Preclinical validation of AXL receptor as a target for antibody-based pancreatic cancer immunotherapy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24240689'}]}]",20G7-D9,2017-06-23T18:38:23Z
0,2014-06-09T15:47:35Z,1071,"[{'description': '212Pb-TCMC-Trastuzumab, a combination of trastuzumab, the chelating agent TCMC, and lead Pb 212, targets and destroys HER2 positive cells through cytotoxic radiation (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",212Pb-TCMC-Trastuzumab,2015-11-19T16:57:52Z
0,2014-09-25T16:25:11Z,1540,[],212Pb-TCMC-Trastuzumab + Trastuzumab ,2014-09-25T16:25:11Z
0,2016-10-12T20:40:19Z,4821,"[{'description': '23814 is a monoclonal antibody that binds to the Notch1 ligand-binding domain and inhibits ligand-mediated signaling, potentially resulting in decreased tumor growth (PMID: 25995436).', 'references': [{'id': 6764, 'pubMedId': 25995436, 'title': '23814, an Inhibitory Antibody of Ligand-Mediated Notch1 Activation, Modulates Angiogenesis and Inhibits Tumor Growth without Gastrointestinal Toxicity.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25995436'}]}]",23814,2016-10-12T20:40:19Z
0,2016-10-13T15:08:46Z,4824,[],23814 + Tivozanib,2016-10-13T15:08:46Z
0,2014-05-14T14:52:46Z,974,"[{'description': '2B3-101 is a glutathione pegylated liposomal doxorubicin hydrochloride formulation (NCI Drug Dictionary).  ', 'references': []}]",2B3-101,
0,2014-07-30T17:20:17Z,1274,[],2B3-101 + Trastuzumab,2014-07-30T17:20:17Z
0,2015-01-15T14:57:32Z,1942,"[{'description': '2G8 is a monoclonal antibody that targets murine TGFBR2, potentially resulting in decreased tumor cell proliferation (PMID: 25060520).', 'references': [{'id': 1706, 'pubMedId': 25060520, 'title': 'Neutralizing murine TGFβR2 promotes a differentiated tumor cell phenotype and inhibits pancreatic cancer metastasis.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25060520'}]}]",2g8,2017-07-26T17:28:34Z
0,2017-05-10T18:56:57Z,5658,"[{'description': '3144 is a Pan-RAS inhibitor, which binds to KRAS, NRAS, and HRAS proteins and decreases RAS-mediated signaling, and may reduce growth of RAS-dependent tumors (PMID: 28235199).', 'references': [{'id': 8866, 'pubMedId': 28235199, 'title': 'Multivalent Small-Molecule Pan-RAS Inhibitors.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/28235199'}]}]",3144,2017-05-10T18:56:57Z
0,2016-05-26T15:33:42Z,4136,"[{'description': '4SC-202 is a class I histone deacetylase inhibitor that inhibits proliferation and induces apoptosis in tumor cells (PMID: 26773495).', 'references': [{'id': 5685, 'pubMedId': 26773495, 'title': '4SC-202 activates ASK1-dependent mitochondrial apoptosis pathway to inhibit hepatocellular carcinoma cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26773495'}]}]",4SC-202,2017-03-16T15:04:31Z
0,2016-05-26T15:42:41Z,4137,"[{'description': '4SC-205 inhibits human kinesin-related motor protein Eg5, which may lead to cell cycle arrest and apoptosis in tumor cells (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",4SC-205,2016-05-26T15:42:41Z
0,2016-03-21T00:08:51Z,3788,"[{'description': '5-Fluoro-2-deoxycytidine is a fluorinated pyrimidine analogue that is metabolized to 5-fluorouracil (5-FU) intercellularly, which is cytotoxic (PMID: 17899082).', 'references': [{'id': 4939, 'pubMedId': 17899082, 'title': ""Concentrations of the DNA methyltransferase inhibitor 5-fluoro-2'-deoxycytidine (FdCyd) and its cytotoxic metabolites in plasma of patients treated with FdCyd and tetrahydrouridine (THU)."", 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17899082'}]}]",5-Fluoro-2-deoxycytidine,2016-03-21T00:08:51Z
0,2015-05-01T14:50:05Z,2620,"[{'description': '6MHP vaccine is a peptide vaccine containing 6 melanoma helper peptides as epitopes, which may stimulate TH1-biased immune response against tumor cells expressing these antigens (PMID: 25126421).', 'references': [{'id': 2636, 'pubMedId': 25126421, 'title': 'A melanoma helper peptide vaccine increases Th1 cytokine production by leukocytes in peripheral blood and immunized lymph nodes.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25126421'}]}]",6MHP vaccine,2015-05-19T13:41:49Z
0,2017-02-20T19:25:13Z,5339,"[{'description': '79-6 is a small molecule that binds and inhibits BCL6, potentially resulting in increased death of BCL6-expressing tumor cells (PMID: 20385364).', 'references': [{'id': 7892, 'pubMedId': 20385364, 'title': 'A small-molecule inhibitor of BCL6 kills DLBCL cells in vitro and in vivo.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/20385364'}]}]",79-6,2017-06-16T15:50:28Z
0,2017-05-12T15:24:07Z,5669,"[{'description': '7RH is a small molecule inhibitor of discoidin domain receptor 1 (DDR1) that induces apoptosis and inhibits proliferation in tumor cells (PMID: 27900042).', 'references': [{'id': 8886, 'pubMedId': 27900042, 'title': 'Antitumor activity of 7RH, a discoidin domain receptor 1 inhibitor, alone or in combination with dasatinib exhibits antitumor effects in nasopharyngeal carcinoma cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27900042'}]}]",7RH,2017-05-12T15:24:07Z
0,2017-05-12T16:02:56Z,5670,[],7RH + LY411575,2017-05-12T16:02:56Z
0,2015-02-23T01:45:08Z,2131,"[{'description': '81C6 is a monoclonal antibody against tenascin conjugated to iodine 131, which has utility in radioimmunotherapy targeting tenacin expressing cells (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",81C6,2015-02-23T01:45:08Z
0,2015-03-31T14:56:05Z,2485,"[{'description': '90Y basiliximab consists of an anti-IL-2 receptor antibody (basiliximab) conjugated to radioactive yttrium Y 90, which binds to IL-2R and prevents IL-2 binding, as well as delivering cytotoxic radiation to IL-2R expressing cells, thereby potentially decreasing T-cell activation and immune response (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",90Y basiliximab,2015-03-31T14:56:05Z
0,2017-07-07T03:22:19Z,5976,"[{'description': '9F7-F11 is a non-ligand competitive antibody targeting ERBB3 (HER3) that has enhanced binding to ERBB3 (HER3) in the presence of its ligand NRG1, which reduces downstream signaling and may inhibit growth of NRG1-expressing tumors (PMID: 28507002).', 'references': [{'id': 9293, 'pubMedId': 28507002, 'title': 'Neuregulin 1 Allosterically Enhances the Antitumor Effects of the Noncompeting Anti-HER3 Antibody 9F7-F11 by Increasing Its Binding to HER3.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/28507002'}]}]",9F7-F11,2017-07-07T03:31:57Z
0,2015-04-24T02:09:14Z,2576,"[{'description': 'A-1155463 inhibits BCL-XL, resulting in apoptosis in BCL-XL dependent tumor cells (PMID: 25787766).', 'references': [{'id': 2473, 'pubMedId': 25787766, 'title': 'Exploiting selective BCL-2 family inhibitors to dissect cell survival dependencies and define improved strategies for cancer therapy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25787766'}]}]",A-1155463,2015-08-10T15:43:26Z
0,2017-05-11T18:07:45Z,5665,[],A-1155463 + BETd-246,2017-05-11T18:07:45Z
0,2015-12-11T17:26:05Z,3288,"[{'description': 'A-1155905 inhibits MCL1, resulting in increased apoptosis in MCL1-dependent tumor cells (PMID: 25590800).', 'references': [{'id': 4087, 'pubMedId': 25590800, 'title': 'Potent and selective small-molecule MCL-1 inhibitors demonstrate on-target cancer cell killing activity as single agents and in combination with ABT-263 (navitoclax).', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25590800'}]}]",A-1155905,2015-12-11T17:26:05Z
0,2015-12-11T17:25:03Z,3286,"[{'description': 'A-1208746 inhibits MCL1, resulting in increased apoptosis in MCL1-dependent tumor cells (PMID: 25590800).', 'references': [{'id': 4087, 'pubMedId': 25590800, 'title': 'Potent and selective small-molecule MCL-1 inhibitors demonstrate on-target cancer cell killing activity as single agents and in combination with ABT-263 (navitoclax).', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25590800'}]}]",A-1208746,2015-12-11T17:25:03Z
0,2015-12-10T21:02:12Z,3276,"[{'description': 'A-1210477 binds to and inhibits MCL1, resulting in increased apoptosis of MCL1-dependent tumor cells (PMID: 25590800).', 'references': [{'id': 4087, 'pubMedId': 25590800, 'title': 'Potent and selective small-molecule MCL-1 inhibitors demonstrate on-target cancer cell killing activity as single agents and in combination with ABT-263 (navitoclax).', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25590800'}]}]",A-1210477,2015-12-10T21:02:12Z
0,2016-12-19T20:06:04Z,5110,[],A-1210477 + A-1331852,2016-12-19T20:06:04Z
0,2016-12-13T20:13:10Z,5091,[],A-1210477 + Cobimetinib,2016-12-13T20:13:10Z
0,2016-12-13T20:20:12Z,5093,[],A-1210477 + Cobimetinib + Vemurafenib,2016-12-13T20:20:12Z
0,2017-08-01T15:47:23Z,6068,[],A-1210477 + G-TPP,2017-08-01T15:47:23Z
0,2017-02-28T21:35:44Z,5394,[],A-1210477 + Lapatinib + WEHI-539,2017-02-28T21:35:44Z
0,2016-12-13T20:18:38Z,5092,[],A-1210477 + Vemurafenib,2016-12-13T20:18:38Z
0,2017-02-28T20:37:10Z,5392,[],A-1210477 + WEHI-539,2017-02-28T20:37:10Z
0,2015-12-11T17:25:35Z,3287,"[{'description': 'A-1248767 inhibits MCL1, resulting in increased apoptosis in MCL1-dependent tumor cells (PMID: 25590800).', 'references': [{'id': 4087, 'pubMedId': 25590800, 'title': 'Potent and selective small-molecule MCL-1 inhibitors demonstrate on-target cancer cell killing activity as single agents and in combination with ABT-263 (navitoclax).', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25590800'}]}]",A-1248767,2015-12-11T17:25:35Z
0,2015-04-24T05:03:29Z,2578,"[{'description': 'A-1331852 inhibits BCL-XL, resulting in increased tumor cell apoptosis and decreased tumor growth (PMID: 25787766).', 'references': [{'id': 2473, 'pubMedId': 25787766, 'title': 'Exploiting selective BCL-2 family inhibitors to dissect cell survival dependencies and define improved strategies for cancer therapy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25787766'}]}]",A-1331852,2015-08-10T15:44:16Z
0,2016-12-20T14:51:25Z,5111,[],A-1331852 + BKM120,2016-12-20T14:51:25Z
0,2015-04-24T05:10:40Z,2579,[],A-1331852 + Docetaxel,2015-04-24T05:10:40Z
0,2016-12-19T20:04:14Z,5109,[],A-1331852 + Ipatasertib,2016-12-19T20:04:14Z
0,2017-06-13T19:02:15Z,5889,"[{'description': 'A-395 is an inhibitor of PRC2, which binds to the H3K27me3 site in EED, thereby inhibiting H3K27 methylation and PRC2 activation, and potentially resulting in inhibition of cell proliferation and tumor growth inhibition (PMID: 28135237). ', 'references': [{'id': 9122, 'pubMedId': 28135237, 'title': 'The EED protein-protein interaction inhibitor A-395 inactivates the PRC2 complex.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/28135237'}]}]",A-395,2017-06-13T19:02:15Z
0,2015-03-20T19:00:43Z,2448,"[{'description': 'A-443654 is a pan-AKT inhibitor, which may inhibit proliferation and promote apoptosis in cancer cells (PMID: 19208828). ', 'references': [{'id': 2291, 'pubMedId': 19208828, 'title': 'Inhibition of Akt inhibits growth of glioblastoma and glioblastoma stem-like cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/19208828'}]}]",A-443654,2017-03-17T18:11:09Z
0,2017-03-15T15:09:12Z,5437,"[{'description': 'A-674563 is an inhibitor of AKT1, which may result in induction of apoptotic activity and inhibition of tumor growth (PMID: 26970307). ', 'references': []}]",A-674563,2017-03-15T15:09:12Z
0,2017-06-29T18:17:35Z,5945,"[{'description': 'A-770041 is an inhibitor of LCK, which may lead to increased sensitivity to chemotherapeutics, thereby resulting in increased apoptotic activity (PMID: 25236161).', 'references': [{'id': 9241, 'pubMedId': 25236161, 'title': 'A-770041 reverses paclitaxel and doxorubicin resistance in osteosarcoma cells.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25236161'}]}]",A-770041,2017-06-29T18:17:35Z
0,2017-06-29T18:29:10Z,5947,[],A-770041 + PRT062607,2017-06-29T18:29:10Z
0,2017-06-29T18:30:00Z,5948,[],A-770041 + R406,2017-06-29T18:30:00Z
0,2015-07-22T16:30:49Z,2945,"[{'description': 'A-966492 inhibits PARP-1 and PARP-2, potentially resulting in increased sensitivity of tumor cells to DNA damaging agents (PMID: 20337371).', 'references': [{'id': 3297, 'pubMedId': 20337371, 'title': 'Optimization of phenyl-substituted benzimidazole carboxamide poly(ADP-ribose) polymerase inhibitors: identification of (S)-2-(2-fluoro-4-(pyrrolidin-2-yl)phenyl)-1H-benzimidazole-4-carboxamide (A-966492), a highly potent and efficacious inhibitor.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/20337371'}]}]",A-966492,2017-05-09T15:29:10Z
0,2017-01-03T18:13:26Z,5136,"[{'description': 'Resimmune (A-dmDT390-bisFv(UCHT1)) comprises the diphtheria toxin catalytic and translocation domains fused to antibody fragments that target the CD3-epsilon component of the T-cell receptor, potentially resulting in increased death of CD3-epsilon expressing tumor cells (PMID: 25795722)', 'references': [{'id': 7464, 'pubMedId': 25795722, 'title': 'Resimmune, an anti-CD3ε recombinant immunotoxin, induces durable remissions in patients with cutaneous T-cell lymphoma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25795722'}]}]",A-dmDT390-bisFv(UCHT1),2017-01-03T18:13:26Z
0,2017-01-03T18:14:49Z,5137,[],A-dmDT390-bisFv(UCHT1) + Pembrolizumab,2017-01-03T18:14:49Z
0,2016-02-01T19:51:07Z,3495,"[{'description': 'A3 is a mouse monoclonal antibody that targets human Erbb3 (Her3), resulting in decreased ligand binding and downstream signaling, which potentially leads to reduced tumor growth (PMID: 22213458, PMID: 22889873).', 'references': [{'id': 4501, 'pubMedId': 22213458, 'title': 'Novel anti-ErbB3 monoclonal antibodies show therapeutic efficacy in xenografted and spontaneous mouse tumors.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22213458'}, {'id': 4500, 'pubMedId': 22889873, 'title': 'The promise of anti-ErbB3 monoclonals as new cancer therapeutics.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22889873'}]}]",A3,2016-02-01T19:51:07Z
0,2014-03-12T15:53:16Z,617,"[{'description': 'A66 inhibits PIK3CA, preventing the activation of the PI3K signaling pathway and potentially inhibiting tumor cell proliferation (PMID: 21668414).', 'references': [{'id': 223, 'pubMedId': 21668414, 'title': 'A drug targeting only p110α can block phosphoinositide 3-kinase signalling and tumour growth in certain cell types.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/21668414'}]}]",A66,2015-07-29T18:35:26Z
0,2016-03-10T20:05:50Z,3707,[],A66 + AZD6482,2016-03-10T20:05:50Z
0,2016-03-10T20:06:15Z,3708,[],A66 + GSK2636771,2016-03-10T20:06:15Z
0,2015-06-01T18:41:48Z,2757,"[{'description': 'A83-01 is an inhibitor of TGFBR1, ACVR1B, and ACVR1C, which may block downstream signaling, proliferation, and migration in cancer cells (PMID: 16271073). ', 'references': [{'id': 2880, 'pubMedId': 16271073, 'title': 'The ALK-5 inhibitor A-83-01 inhibits Smad signaling and epithelial-to-mesenchymal transition by transforming growth factor-beta.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/16271073'}]}]",A83-01,2015-06-01T18:43:26Z
0,2016-06-19T23:36:11Z,4317,"[{'description': 'AB-16B5 is a monoclonal antibody bonds to and inhibits the activity of human clusterin (sCLU), resulting in inhibition pf tumor cell proliferation and metastasis (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",AB-16B5,2016-06-19T23:36:11Z
0,2016-09-09T16:10:44Z,4677,"[{'description': 'AB0023 is a monoclonal antibody that targets LOXL2 and may result in decreased production of growth factors and inhibition of fibroblast activation within a tumor environment (PMID: 20818376).\r\n', 'references': [{'id': 202, 'pubMedId': 20818376, 'title': 'Allosteric inhibition of lysyl oxidase-like-2 impedes the development of a pathologic microenvironment.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/20818376'}]}]",AB0023,2016-09-09T16:10:44Z
0,2016-05-11T15:04:43Z,4099,"[{'description': 'AB61 is a 7-deazapurine nucleoside that incorporates into DNA and RNA resulting in DNA/RNA damage thereby repressing protein translation, and is demonstrated to be specifically cytotoxic to cancer cells (PMID: 26819331). ', 'references': [{'id': 5498, 'pubMedId': 26819331, 'title': '7-(2-Thienyl)-7-Deazaadenosine (AB61), a New Potent Nucleoside Cytostatic with a Complex Mode of Action.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26819331'}]}]",AB61,2016-05-11T15:04:43Z
0,2015-07-09T19:28:56Z,2892,"[{'description': 'Abagovomab is a murine monoclonal antibody that targets MUC16 (CA125), which may result in enhanced immune response against MUC16-expressing tumor cells (PMID: 23478059).', 'references': [{'id': 3208, 'pubMedId': 23478059, 'title': 'Abagovomab as maintenance therapy in patients with epithelial ovarian cancer: a phase III trial of the AGO OVAR, COGI, GINECO, and GEICO--the MIMOSA study.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23478059'}]}]",Abagovomab,2015-07-10T16:34:30Z
0,2014-03-12T15:53:16Z,618,[],Abarelix,
0,2016-04-29T18:00:54Z,4028,"[{'description': 'ABBV-075 (Mivebresib) is a bromodomain (BET) inhibitor, which may inhibit Ar and Myc downstream signalling to prevent growth and proliferation of tumor cells (AACR 107th Annual Meeting; April 16-20, 2016, Abstract 4694).', 'references': []}]",ABBV-075,2017-03-17T16:11:54Z
0,2017-06-23T04:59:13Z,5924,[],ABBV-075 + Azacitidine,2017-06-23T04:59:13Z
0,2017-06-23T05:00:00Z,5925,[],ABBV-075 + Bortezomib,2017-06-23T05:00:00Z
0,2017-06-23T04:57:48Z,5923,[],ABBV-075 + Venetoclax,2017-06-23T04:57:48Z
0,2016-03-25T18:07:37Z,3846,"[{'description': 'ABBV-085 is a monoclonal anti-tumor-associated antigen (TAA) antibody in conjugation with a cytotoxic agent, which may selectively kill TAA-positive cancer cells (NCI Drug Dictionary).', 'references': [{'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",ABBV-085,2016-03-25T18:07:37Z
0,2017-05-24T17:35:09Z,5766,"[{'description': 'Limited information is currently available on ABBV-181 (May, 2017).', 'references': [{'id': 275, 'pubMedId': 10, 'title': '', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10'}]}]",ABBV-181,2017-05-24T17:35:09Z
0,2015-07-14T01:08:14Z,2914,"[{'description': 'ABBV-221 is an antibody-drug conjugate consists of a monoclonal EGFR antibody and a cytotoxic molecule MMAE, which demonstrates anti-tumor activity against EGFR -expressing tumors (Journal of Clinical Oncology 35, no. 15_suppl (May 2017) 2510-2510).', 'references': [{'id': 9794, 'pubMedId': None, 'title': 'Preliminary results from a phase 1 study of the antibody-drug conjugate ABBV-221 in patients with solid tumors likely to express EGFR.', 'url': 'http://ascopubs.org/doi/abs/10.1200/JCO.2017.35.15_suppl.2510'}, {'id': 287, 'pubMedId': None, 'title': '(NCI Drug Dictionary)', 'url': 'http://www.cancer.gov/drugdictionary'}]}]",ABBV-221,2017-08-28T13:38:24Z
0,2017-03-16T02:57:54Z,5446,"[{'description': 'Limited information is currently available on ABBV-368 (Mar, 2017).', 'references': [{'id': 275, 'pubMedId': 10, 'title': '', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10'}]}]",ABBV-368,2017-03-22T15:25:17Z
0,2017-03-16T02:59:17Z,5447,[],ABBV-368 + Nivolumab,2017-03-16T02:59:17Z
0,2014-08-05T07:14:09Z,1363,"[{'description': 'ABBV-399 is an antibody-drug conjugate comprising a MET-targeted antibody linked to MMAE, which delivers the cytotoxic agent to MET expressing tumor cells, resulting in cell death (PMID: 27573171).', 'references': [{'id': 7833, 'pubMedId': 27573171, 'title': 'ABBV-399, a c-Met Antibody-Drug Conjugate that Targets Both MET-Amplified and c-Met-Overexpressing Tumors, Irrespective of MET Pathway Dependence.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27573171'}]}]",ABBV-399,2017-02-16T18:50:46Z
0,2014-08-05T07:29:09Z,1366,[],ABBV-399 + Bevacizumab,2014-08-05T07:29:09Z
0,2014-11-25T17:44:26Z,1743,[],ABBV-399 + Carboplatin,2014-11-25T17:44:26Z
0,2014-08-05T07:26:31Z,1365,[],ABBV-399 + Cetuximab,2014-08-05T07:26:31Z
0,2014-08-05T07:15:48Z,1364,[],ABBV-399 + Erlotinib,2014-08-05T07:15:48Z
0,2016-12-02T04:53:53Z,5050,"[{'description': 'Limited information is currently available on ABBV-428 (Dec, 2016).', 'references': [{'id': 275, 'pubMedId': 10, 'title': '', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10'}]}]",ABBV-428,2016-12-02T04:53:53Z
0,2016-12-02T04:55:21Z,5051,[],ABBV-428 + Nivolumab,2016-12-02T04:55:21Z
0,2017-05-24T01:43:02Z,5756,"[{'description': 'Limited information is currently available on ABBV-621, a putative TRAIL receptor agonist (May, 2017).', 'references': []}]",ABBV-621,2017-05-24T01:43:02Z
0,2017-01-03T19:22:56Z,5142,"[{'description': 'Limited information is currently available on ABBV-927 (Jan 2017).', 'references': [{'id': 275, 'pubMedId': 10, 'title': '', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10'}]}]",ABBV-927,2017-01-03T19:22:56Z
0,2017-01-03T19:24:44Z,5143,[],ABBV-927 + Nivolumab,2017-01-03T19:24:44Z
0,2015-12-18T19:50:56Z,3301,"[{'description': 'ABC294640 is a selective inhibitor of sphingokinase 2 (SK2), which results in decreased SK2 activity, leading to reduced cell signaling and tumor cell growth (PMID: 26271487).', 'references': [{'id': 4127, 'pubMedId': 26271487, 'title': 'Downregulation of Critical Oncogenes by the Selective SK2 Inhibitor ABC294640 Hinders Prostate Cancer Progression.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26271487'}]}]",ABC294640,2015-12-18T19:50:56Z
0,2017-05-05T03:39:27Z,5617,[],ABC294640 + Gemcitabine,2017-05-05T03:39:27Z
