,gender,indications,nctId,phase,recruitment,sponsors,therapies,title,updateDate,variantRequirementDetails,variantRequirements
0,both,"[{'id': 3181, 'name': 'oligodendroglioma', 'source': 'DOID'}, {'id': 5076, 'name': 'mixed glioma', 'source': 'DOID'}]",NCT00303849,Phase Ib/II,Recruiting,OHSU Knight Cancer Institute ,"[{'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 2562, 'therapyName': 'Etoposide + Melphalan'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1476, 'therapyName': 'Pegfilgrastim'}]",Combination Chemotherapy With BBBD Followed By Sodium Thiosulfate in Treating Patients With Anaplastic Oligodendroglioma or Oligoastrocytoma,04/22/2015,[],no
0,both,"[{'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}]",NCT00305682,Phase II,Recruiting,"Masonic Cancer Center, University of Minnesota","[{'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1166, 'therapyName': 'Fludarabine'}]",Non-Myeloablative Conditioning for Unrelated Donor Umbilical Cord Blood Transplant,03/04/2015,[],no
0,both,[],NCT00313599,,Completed,"University of California, San Francisco",[],Lapatinib and Paclitaxel in Treating Patients With Advanced Solid Tumors,07/24/2014,[],no
0,both,"[{'id': 5525, 'name': 'anal squamous cell carcinoma', 'source': 'DOID'}]",NCT00316888,Phase II,"Active, not recruiting",Eastern Cooperative Oncology Group ,"[{'id': 1928, 'therapyName': 'Cetuximab + Cisplatin + Fluorouracil + Radiotherapy'}]","Cetuximab, Cisplatin, Fluorouracil, and Radiation Therapy in Treating Patients With Stage I, Stage II, or Stage III Anal Cancer",08/30/2016,[],no
0,female,[],NCT00318513,Phase I,Unknown status,Premiere Oncology of Arizona ,[],Safety Study of Bevacizumab to Treat Women With a History of Breast Cancer and Suffering From Upper Extremity Lymphedema,06/20/2017,[],no
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT00338377,Phase II,Recruiting,M.D. Anderson Cancer Center,"[{'id': 2291, 'therapyName': 'Cyclophosphamide + Fludarabine'}, {'id': 1167, 'therapyName': 'Aldesleukin'}]",Lymphodepletion Plus Adoptive Cell Transfer With or Without Dendritic Cell Immunization,10/08/2015,[],no
0,both,"[{'id': 3382, 'name': 'liposarcoma', 'source': 'DOID'}, {'id': 1967, 'name': 'leiomyosarcoma', 'source': 'DOID'}, {'id': 4415, 'name': 'fibrous histiocytoma', 'source': 'DOID'}, {'id': 1115, 'name': 'sarcoma', 'source': 'DOID'}, {'id': 5485, 'name': 'synovial sarcoma', 'source': 'DOID'}, {'id': 3355, 'name': 'fibrosarcoma', 'source': 'DOID'}]",NCT00356031,Phase II,Completed,Massachusetts General Hospital,"[{'id': 667, 'therapyName': 'Bevacizumab'}]",Bevacizumab and Radiation Therapy for Sarcomas,05/20/2017,[],no
0,both,"[{'id': 5660, 'name': 'lymphoepithelioma-like carcinoma', 'source': 'DOID'}, {'id': 60058, 'name': 'lymphoma', 'source': 'DOID'}]",NCT00368082,Phase I,"Active, not recruiting",Baylor College of Medicine ,[],"Autologous/Allogeneic TGFbeta-resistant LMP2A-specific CTL, Lymphoma (TGF-beta)",07/28/2015,[],no
0,both,"[{'id': 263, 'name': 'kidney cancer', 'source': 'DOID'}]",NCT00375674,,"Active, not recruiting",Pfizer,"[{'id': 930, 'therapyName': 'Sunitinib'}]", A Clinical Trial Comparing Efficacy And Safety Of Sunitinib Versus Placebo For TheTreatment Of Patients At High Risk Of Recurrent Renal Cell Cancer,03/15/2016,[],no
0,female,"[{'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}]",NCT00378638,Phase II,Unknown status,"Chap, Linnea I., M.D.","[{'id': 667, 'therapyName': 'Bevacizumab'}]",Dose-Dense Chemotherapy Plus Bevacizumab in High Risk Lymph Node Positive Breast Cancer,06/20/2017,[],no
0,,[],NCT00406445,,Recruiting,,[],Role of p53 Gene in Metabolism Regulation in Patients With Li-Fraumeni Syndrome,02/26/2015,[],no
0,both,"[{'id': 50861, 'name': 'colorectal adenocarcinoma', 'source': 'DOID'}]",NCT00408772,Phase II,Withdrawn,"University of California, Davis","[{'id': 1601, 'therapyName': 'Capecitabine + Oxaliplatin + Bevacizumab'}]","Oxaliplatin, Capecitabine, and Bevacizumab Followed By Surgery and/or Radiofrequency Ablation in Treating Patients With Colorectal Cancer That Has Spread to the Liver and Cannot Be Removed By Surgery",01/19/2017,[],no
0,female,"[{'id': 60079, 'name': 'Her2-receptor positive breast cancer', 'source': 'DOID'}]",NCT00411788,Phase II,Completed,Yale University,"[{'id': 1979, 'therapyName': 'Sirolimus + Trastuzumab'}]",A Phase II Study of Rapamycin and Trastuzumab for Patients With HER-2 Receptor Positive Metastatic Breast Cancer,09/22/2016,"[{'molecularProfile': {'id': 1270, 'profileName': 'ERBB2 over exp'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 531, 'profileName': 'ERBB2 amp'}, 'requirementType': 'partial'}]",yes
0,female,"[{'id': 3458, 'name': 'breast adenocarcinoma', 'source': 'DOID'}]",NCT00461773,Phase II,Unknown status,Yale University ,"[{'id': 794, 'therapyName': 'Letrozole'}, {'id': 667, 'therapyName': 'Bevacizumab'}]",Randomized Phase II Study of Preoperative Letrozole (Femara) in Combination With Avastin in Hormone Receptor Positive Breast Cancer,06/20/2017,[],yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT00463060,Phase Ib/II,Unknown status,Mount Sinai School of Medicine ,"[{'id': 930, 'therapyName': 'Sunitinib'}]",Sutent and Radiation as Treatment for Limited Extent Metastatic Cancer,06/20/2017,[],no
0,both,"[{'id': 6039, 'name': 'uveal melanoma', 'source': 'DOID'}]",NCT00489944,Phase II,Unknown status,San Diego Pacific Oncology & Hematology Associates ,"[{'id': 1963, 'therapyName': 'Sunitinib + Tamoxifen + Cisplatin'}]","Sunitinib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Ocular Melanoma",06/20/2017,[],no
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT00492505,Phase II,Unknown status,San Diego Pacific Oncology and Hematology Associates ,"[{'id': 2212, 'therapyName': 'Cisplatin + Sorafenib + Tamoxifen'}]","Sorafenib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Stage III Melanoma",06/20/2017,[],no
0,both,"[{'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}, {'id': 3069, 'name': 'astrocytoma', 'source': 'DOID'}]",NCT00492687,Phase II,Unknown status,San Diego Pacific Oncology & Hematology Associates ,"[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1141, 'therapyName': 'Temozolomide'}, {'id': 1456, 'therapyName': 'Tamoxifen'}]","Radiation Therapy, Temozolomide, Tamoxifen, and Carboplatin in Treating Patients With Malignant Gliomas",06/20/2017,[],no
0,both,"[{'id': 8552, 'name': 'chronic myeloid leukemia', 'source': 'DOID'}, {'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}, {'id': 1040, 'name': 'chronic lymphocytic leukemia', 'source': 'DOID'}, {'id': 4960, 'name': 'bone marrow cancer', 'source': 'DOID'}, {'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}, {'id': 9119, 'name': 'acute myeloid leukemia', 'source': 'DOID'}, {'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}]",NCT00513474,Phase I,Completed,Massachusetts General Hospital ,"[{'id': 2313, 'therapyName': 'Rasburicase'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 2314, 'therapyName': 'Busulfan + Cyclophosphamide + Etoposide'}]",Rasburicase in Preventing Graft-Versus-Host Disease in Patients With Hematologic Cancer or Other Disease Undergoing Donor Stem Cell Transplant,05/13/2015,[],no
0,both,"[{'id': 2531, 'name': 'hematologic cancer', 'source': 'DOID'}]",NCT00520130,Phase Ib/II,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 2294, 'therapyName': 'Cytarabine + Fludarabine'}, {'id': 2305, 'therapyName': 'Alemtuzumab + Cyclosporine'}, {'id': 2306, 'therapyName': 'Rituximab + Fludarabine + EPOCH'}, {'id': 2307, 'therapyName': 'Fludarabine + EPOCH'}, {'id': 2238, 'therapyName': 'Sirolimus + Tacrolimus + Methotrexate'}, {'id': 1632, 'therapyName': 'Filgrastim'}]",Chemotherapy and Unrelated Donor Stem Cell Transplantation for Patients With Cancers of the Blood and Immune System,10/30/2015,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT00536991,Phase Ib/II,Terminated,Roswell Park Cancer Institute ,"[{'id': 2188, 'therapyName': 'Prednisone'}, {'id': 2889, 'therapyName': 'calcitriol'}, {'id': 2858, 'therapyName': 'Ketoconazole'}]","Calcitriol, Ketoconazole, and Hydrocortisone in Treating Patients With Advanced or Recurrent Prostate Cancer",10/28/2016,[],no
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT00538005,Phase Ib/II,Unknown status,San Diego Pacific Oncology & Hematology Associates,"[{'id': 2132, 'therapyName': 'Sorafenib + Bevacizumab + Oxaliplatin'}]","Sorafenib, Bevacizumab, and Oxaliplatin in Treating Patients With Metastatic Malignant Melanoma",06/20/2017,[],no
0,male,"[{'id': 2526, 'name': 'prostate adenocarcinoma', 'source': 'DOID'}]",NCT00541047,Phase III,"Active, not recruiting",Medical Research Council ,"[{'id': 795, 'therapyName': 'Leuprolide'}, {'id': 759, 'therapyName': 'Goserelin'}, {'id': 1507, 'therapyName': 'Bicalutamide'}]",Radiation Therapy and Androgen Deprivation Therapy in Treating Patients Who Have Undergone Surgery for Prostate Cancer (RADICALS),10/14/2017,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT00547105,Phase II,Unknown status,"Simmons Cancer Center, National Cancer Institute (NCI)","[{'id': 4, 'therapyName': 'Erlotinib'}]",Erlotinib and Stereotactic Body Radiation Therapy in Treating Patients With Locally Advanced or Metastatic Non-Small Call Lung Cancer,06/20/2017,[],no
0,both,"[{'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}]",NCT00549848,Phase III,"Active, not recruiting",St. Jude Children's Research Hospital ,"[{'id': 1781, 'therapyName': 'Vincristine + Pegaspargase + Daunorubicin'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1782, 'therapyName': 'Clofarabine + Etoposide + Cyclophosphamide'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}]",Total Therapy Study XVI for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia,04/12/2017,[],no
0,both,"[{'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}]",NCT00550992,Phase I,Unknown status,Dutch Childhood Oncology Group ,"[{'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1752, 'therapyName': 'Mitoxantrone + Etoposide + Cytarabine'}, {'id': 1848, 'therapyName': 'Cyclophosphamide + Methotrexate + Vincristine + Pegaspargase '}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 1642, 'therapyName': 'Leucovorin'}]",Different Therapies in Treating Infants With Newly Diagnosed Acute Leukemia,06/20/2017,[],yes
0,female,"[{'id': 1964, 'name': 'fallopian tube cancer', 'source': 'DOID'}, {'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}, {'id': 7438, 'name': 'ovarian clear cell cystadenocarcinoma', 'source': 'DOID'}, {'id': 5746, 'name': 'ovarian serous cystadenocarcinoma', 'source': 'DOID'}, {'id': 3604, 'name': 'ovarian mucinous cystadenocarcinoma', 'source': 'DOID'}, {'id': 4217, 'name': 'malignant ovarian Brenner tumor', 'source': 'DOID'}, {'id': 2394, 'name': 'ovarian cancer', 'source': 'DOID'}]",NCT00565851,Phase III,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 3045, 'therapyName': 'Docetaxel + Paclitaxel'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 667, 'therapyName': 'Bevacizumab'}]","Carboplatin, Paclitaxel and Gemcitabine With or Without Bevacizumab After Surgery in Treating Patients With Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer",06/20/2017,[],no
0,both,[],NCT00566800,Phase I,Unknown status,Kansas City Veteran Affairs Medical Center ,[],Erlotinib in Treating Patients With Barrett Esophagus,06/20/2017,[],no
0,both,[],NCT00566995,,Completed,National Cancer Institute (NCI),[],Phase II Study of Vandetanib in Individuals With Kidney Cancer,04/08/2015,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT00569296,,Terminated,Roger Williams Medical Center,"[{'id': 1012, 'therapyName': 'EGFRBi-armed autologous activated T cells'}]"," Laboratory-Treated Autologous Lymphocytes, Aldesleukin, and GM-CSF in Treating Patients With Recurrent, Refractory, or Metastatic Non-Small Cell Lung Cancer",03/25/2015,"[{'molecularProfile': {'id': 1102, 'profileName': 'EGFR positive'}, 'requirementType': 'required'}]",yes
0,female,"[{'id': 60075, 'name': 'estrogen-receptor positive breast cancer', 'source': 'DOID'}, {'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}, {'id': 60077, 'name': 'progesterone-receptor positive breast cancer', 'source': 'DOID'}]",NCT00570323,Phase II,"Active, not recruiting",Baylor Breast Care Center,"[{'id': 1911, 'therapyName': 'Anastrozole  + Fulvestrant'}, {'id': 633, 'therapyName': 'Anastrozole'}]",Arimidex With or Without Faslodex In Postmenopausal Women With HR Positive Breast Cancer,08/12/2017,[],yes
0,both,"[{'id': 8552, 'name': 'chronic myeloid leukemia', 'source': 'DOID'}]",NCT00573378,Phase II,Withdrawn,University of Michigan Cancer Center ,"[{'id': 2467, 'therapyName': 'Imatinib + Interferon alfa-2b '}, {'id': 2468, 'therapyName': 'Interferon alfa-2b + Nilotinib '}]",Imatinib or Nilotinib With Pegylated Interferon-alpha2b in Chronic Myeloid Leukemia,06/25/2016,[],yes
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT00573989,Phase Ib/II,Terminated,Comprehensive Cancer Center of Wake Forest University ,"[{'id': 1290, 'therapyName': 'Erlotinib + Pemetrexed'}]","Intensity-Modulated Radiation Therapy, Pemetrexed, and Erlotinib in Treating Patients With Recurrent or Second Primary Head and Neck Cancer",09/01/2016,[],no
0,female,"[{'id': 60079, 'name': 'Her2-receptor positive breast cancer', 'source': 'DOID'}]",NCT00574587,Phase Ib/II,Unknown status,Montefiore Medical Center ,"[{'id': 1983, 'therapyName': 'vorinostat + Paclitaxel'}, {'id': 947, 'therapyName': 'Trastuzumab'}, {'id': 1977, 'therapyName': 'Doxorubicin + Cyclophosphamide'}]","Trial for Locally Advanced Her2 Positive Breast Cancer Using Paclitaxel, Trastuzumab, Doxorubicin and Cyclophasmide on a Weekly Basis",07/03/2017,"[{'molecularProfile': {'id': 1187, 'profileName': 'ERBB2 positive'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 60081, 'name': 'triple-receptor negative breast cancer', 'source': 'DOID'}, {'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}, {'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT00576654,Phase I,Recruiting,National Cancer Institute (NCI),"[{'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 954, 'therapyName': 'Veliparib'}]",Irinotecan Hydrochloride and Veliparib in Treating Patients With Cancer That Is Metastatic or Cannot Be Removed by Surgery,12/02/2016,"[{'molecularProfile': {'id': 1205, 'profileName': 'BRCA1 mutant'}, 'requirementType': 'partial'}]",yes
