nctId,title
NCT00293475,Rituximab and Methotrexate Chemotherapy w/Blood-Brain Barrier Disruption (BBBD) &amp; Sodium Thiosulfate Chemoprotection for Patients With Newly Diagnosed PCNSL
NCT00301418,Oral Tarceva Study for Recurrent/Residual Glioblastoma Multiforme and Anaplastic Astrocytoma
NCT00301990,Bevacizumab and Interleukin-2 in Treating Patients With Metastatic Kidney Cancer
NCT00303849,Combination Chemotherapy With BBBD Followed By Sodium Thiosulfate in Treating Patients With Anaplastic Oligodendroglioma or Oligoastrocytoma
NCT00305682,Non-Myeloablative Conditioning for Unrelated Donor Umbilical Cord Blood Transplant
NCT00313599,Lapatinib and Paclitaxel in Treating Patients With Advanced Solid Tumors
NCT00316888,"Cetuximab, Cisplatin, Fluorouracil, and Radiation Therapy in Treating Patients With Stage I, Stage II, or Stage III Anal Cancer"
NCT00318513,Safety Study of Bevacizumab to Treat Women With a History of Breast Cancer and Suffering From Upper Extremity Lymphedema
NCT00338377,Lymphodepletion Plus Adoptive Cell Transfer With or Without Dendritic Cell Immunization
NCT00356031,Bevacizumab and Radiation Therapy for Sarcomas
NCT00368082,"Autologous/Allogeneic TGFbeta-resistant LMP2A-specific CTL, Lymphoma (TGF-beta)"
NCT00375674, A Clinical Trial Comparing Efficacy And Safety Of Sunitinib Versus Placebo For TheTreatment Of Patients At High Risk Of Recurrent Renal Cell Cancer
NCT00378638,Dose-Dense Chemotherapy Plus Bevacizumab in High Risk Lymph Node Positive Breast Cancer
NCT00406445,Role of p53 Gene in Metabolism Regulation in Patients With Li-Fraumeni Syndrome
NCT00408772,"Oxaliplatin, Capecitabine, and Bevacizumab Followed By Surgery and/or Radiofrequency Ablation in Treating Patients With Colorectal Cancer That Has Spread to the Liver and Cannot Be Removed By Surgery"
NCT00411788,A Phase II Study of Rapamycin and Trastuzumab for Patients With HER-2 Receptor Positive Metastatic Breast Cancer
NCT00461773,Randomized Phase II Study of Preoperative Letrozole (Femara) in Combination With Avastin in Hormone Receptor Positive Breast Cancer
NCT00463060,Sutent and Radiation as Treatment for Limited Extent Metastatic Cancer
NCT00489944,"Sunitinib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Ocular Melanoma"
NCT00492505,"Sorafenib, Tamoxifen, and Cisplatin in Treating Patients With High-Risk Stage III Melanoma"
NCT00492687,"Radiation Therapy, Temozolomide, Tamoxifen, and Carboplatin in Treating Patients With Malignant Gliomas"
NCT00513474,Rasburicase in Preventing Graft-Versus-Host Disease in Patients With Hematologic Cancer or Other Disease Undergoing Donor Stem Cell Transplant
NCT00520130,Chemotherapy and Unrelated Donor Stem Cell Transplantation for Patients With Cancers of the Blood and Immune System
NCT00536991,"Calcitriol, Ketoconazole, and Hydrocortisone in Treating Patients With Advanced or Recurrent Prostate Cancer"
NCT00538005,"Sorafenib, Bevacizumab, and Oxaliplatin in Treating Patients With Metastatic Malignant Melanoma"
NCT00541047,Radiation Therapy and Androgen Deprivation Therapy in Treating Patients Who Have Undergone Surgery for Prostate Cancer (RADICALS)
NCT00547105,Erlotinib and Stereotactic Body Radiation Therapy in Treating Patients With Locally Advanced or Metastatic Non-Small Call Lung Cancer
NCT00549848,Total Therapy Study XVI for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia
NCT00550992,Different Therapies in Treating Infants With Newly Diagnosed Acute Leukemia
NCT00565851,"Carboplatin, Paclitaxel and Gemcitabine With or Without Bevacizumab After Surgery in Treating Patients With Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer"
NCT00566800,Erlotinib in Treating Patients With Barrett Esophagus
NCT00566995,Phase II Study of Vandetanib in Individuals With Kidney Cancer
NCT00569296," Laboratory-Treated Autologous Lymphocytes, Aldesleukin, and GM-CSF in Treating Patients With Recurrent, Refractory, or Metastatic Non-Small Cell Lung Cancer"
NCT00570323,Arimidex With or Without Faslodex In Postmenopausal Women With HR Positive Breast Cancer
NCT00573378,Imatinib or Nilotinib With Pegylated Interferon-alpha2b in Chronic Myeloid Leukemia
NCT00573989,"Intensity-Modulated Radiation Therapy, Pemetrexed, and Erlotinib in Treating Patients With Recurrent or Second Primary Head and Neck Cancer"
NCT00574587,"Trial for Locally Advanced Her2 Positive Breast Cancer Using Paclitaxel, Trastuzumab, Doxorubicin and Cyclophasmide on a Weekly Basis"
NCT00576654,Irinotecan Hydrochloride and Veliparib in Treating Patients With Cancer That Is Metastatic or Cannot Be Removed by Surgery
NCT00577278,"Yttrium Y 90 Ibritumomab Tiuxetan, Rituximab, Indium In-111 Ibritumomab Tiuxetan, Fludarabine, Melphalan, and Donor Stem Cell Transplant in Treating Patients With B-Cell Non-Hodgkin Lymphoma"
NCT00579683,Registry for Patients With Acquired Resistance to Small Molecule Kinase Inhibitors in Non-Small-Cell Lung Cancer
NCT00585195,"A Study Of Oral PF-02341066, A c-Met/Hepatocyte Growth Factor Tyrosine Kinase Inhibitor, In Patients With Advanced Cancer"
NCT00588770,Chemotherapy With or Without Bevacizumab in Treating Patients With Recurrent or Metastatic Head and Neck Cancer
NCT00589420,Sorafenib and Docetaxel in Treating Patients With Metastatic Prostate Cancer That Did Not Respond to Previous Hormone Therapy
NCT00602329,MRI in Predicting Response in Patients Receiving Combination Chemotherapy and Bevacizumab For Advanced or Metastatic Colorectal Cancer
NCT00602602,"Bevacizumab, Combination Chemotherapy, and Radiation Therapy in Treating Patients Undergoing Surgery For Locally Advanced Pancreatic Cancer"
NCT00602667,"Risk-Adapted Therapy for Young Children With Embryonal Brain Tumors, Choroid Plexus Carcinoma, High Grade Glioma or Ependymoma"
NCT00602693,T-Regulatory Cell Infusion Post Umbilical Cord Blood Transplant in Patients With Advanced Hematologic Cancer
NCT00608361, Dasatinib in Treating Patients With Solid Tumors or Lymphomas That Are Metastatic or Cannot Be Removed By Surgery
NCT00610948,"Everolimus, Fluorouracil, Leucovorin, Panitumumab, and Oxaliplatin in Treating Patients With Solid Tumors That Did Not Respond to Treatment"
NCT00618657,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting"
NCT00620633,Dose Escalation Trial of WT1-Sensitized T Cells for Residual or Relapsed Leukemia After Allogeneic Hematopoietic Progenitor Cell Transplantation
NCT00621036,Vaccine Therapy and GM-CSF in Treating Patients With CNS Lymphoma
NCT00625378,Sorafenib Long Term Extension Program (STEP)
NCT00651976,"Letrozole in Treating Postmenopausal Women With Stage I, II or III Breast Cancer That Can Be Removed by Surgery"
NCT00658658,Panitumumab Pediatric Study
NCT00660218,"A Phase I/II Study of Radiation Therapy, Paclitaxel Poliglumex and Cetuximab in Advanced Head and Neck Cancer"
NCT00660621,"A Phase II Study Of Gliadel, Concomitant Temozolomide And Radiation, Followed By Dose Dense Therapy With Temozolomide Plus Bevacizumab For Newly Diagnosed Malignant High Grade Glioma"
NCT00665990,Phase I Study of Bevacizumab and Sorafenib Combined With Low Dose Cyclophosphamide in Patients With Refractory Solid Tumors and Leukemia
NCT00669669,Dose-Intensive Chemotherapy in Combination With Chemoprotected Autologous Stem Cells in Treating Patients With Malignant Gliomas
NCT00670046,"Valproic Acid in Treating Patients With Progressive, Non-Metastatic Prostate Cancer"
NCT00671112,Everolimus and Bortezomib in Treating Patients With Relapsed or Refractory Lymphoma
NCT00679536,Allogeneic Transplantation for Pediatric Leukemias With Unrelated Donors
NCT00680992,Study of Denosumab in Subjects With Giant Cell Tumor of Bone
NCT00690924,Calcitriol in Preventing Lung Cancer in Smokers and Former Smokers at High Risk of Lung Cancer
NCT00694759,Cortisol Regulation in Polycystic Ovary Syndrome (PCOS)
NCT00697632,Safety Study of Oral MGCD265 Administered Without Interruption to Subjects With Advanced Malignancies
NCT00700414,International Pediatric Adrenocortical Tumor Registry
NCT00700882,"Dasatinib in Treating Patients With Locally Advanced or Metastatic Mucosal Melanoma, Acral Melanoma, or Vulvovaginal Melanoma That Cannot Be Removed By Surgery"
NCT00702884,Sunitinib in Treating Patients With Relapsed or Refractory Esophageal or Gastroesophageal Junction Cancer
NCT00717587,Sunitinib Before and After Surgery in Treating Patients With Stage IV Kidney Cancer
NCT00718263,Efficacy and Safety of Nilotinib Patients With Newly Diagnosed CML - CP (Chronic Myelogenous Leukemia - Chronic Phase)
NCT00719875,HDAC Inhibitor Vorinostat (SAHA) With Capecitabine (Xeloda) Using a New Weekly Dose Regimen for Advanced Breast Cancer
NCT00730158,"A Phase II Multicenter, Randomized, Placebo Controlled, Double Blinded Clinical Study of KD018 as a Modulator of Irinotecan Chemotherapy in Patients With Metastatic Colorectal Cancer"
NCT00733408,Paclitaxel Albumin-Stabilized Nanoparticle Formulation and Bevacizumab Followed By Bevacizumab and Erlotinib Hydrochloride in Treating Patients With Metastatic Breast Cancer
NCT00734877,"UARK 2008-01, Total Therapy 4 - A Phase III Trial for Low Risk Myeloma"
NCT00740805,"Veliparib, Cyclophosphamide, and Doxorubicin Hydrochloride in Treating Patients With Metastatic or Unresectable Solid Tumors or Non-Hodgkin Lymphoma"
NCT00747305,Sunitinib Before and After Surgery in Treating Patients With Metastatic Kidney Cancer That Can Be Removed By Surgery
NCT00756340,A Trial of Everolimus and Bevacizumab in Children With Recurrent Solid Tumors
NCT00759642,Lapatinib in Women With Metastatic Breast Cancer Who Have Failed Prior Antihormone Therapy
NCT00761644,"Doxil, Bevacizumab and Temsirolimus Trial"
NCT00764972,Phase IB/II Trial Combining Vinorelbine With Sorafenib as First-Line Treatment in Patients With Metastatic Breast Cancer
NCT00770263, Erlotinib and Temsirolimus for Solid Tumors
NCT00776867,Study of Single Agent Perifosine for Recurrent Pediatric Solid Tumors
NCT00777036,A Phase II Study of Dasatinib in Children and Adolescents With Newly Diagnosed Chronic Phase CML or With Ph+ Leukemias Resistant or Intolerant to Imatinib
NCT00780494,"Ph II of Capecitabine, Carboplatin and Bevacizumab for Gastroesophageal Junction and Gastric Carcinoma"
NCT00781612,A Safety Extension Study of Trastuzumab Emtansine in Participants Previously Treated With Trastuzumab Emtansine Alone or in Combination With Other Anti-Cancer Therapy in One of the Parent Studies
NCT00790816,Continuation Study of Lapatinib Monotherapy or Lapatinib in Combination With Other Anti-cancer Agents
NCT00794950,Bacillus Calmette-Guerin Followed by Sunitinib for the Treatment of High Risk Non-muscle Invasive Lower Urinary Tract Urothelial Carcinoma
NCT00796978,Trastuzumab in Treating Older Women With Early-Stage Breast Cancer
NCT00800345,Phase I Trial of Oral Metronomic Topotecan and Oral Pazopanib to Treat Recurrent/Persistent Gynecologic Tumors
NCT00812240,A Phase 3 Study to Evaluate Efficacy and Safety of Masitinib in Comparison to Imatinib in Patients With Gastro-Intestinal Stromal Tumour in First Line Medical Treatment
NCT00814073,"A Phase 3 Study to Compare Efficacy and Safety of Masitinib to Placebo in the Treatment of Patients With Smouldering Systemic, Indolent Systemic or Cutaneous Mastocytosis With Handicap"
NCT00823459,Phase II Trial of RAD001 in Patients With Recurrent Low Grade Glioma
NCT00826085,Phase 1/2 Study of ThermoDox With Approved Hyperthermia in Treatment of Breast Cancer Recurrence at the Chest Wall
NCT00828009,BLP25 Liposome Vaccine and Bevacizumab After Chemotherapy and Radiation Therapy in Treating Patients With Newly Diagnosed Stage IIIA or Stage IIIB Non-Small Cell Lung Cancer That Cannot Be Removed by Surgery
NCT00828919,Continuing Access To AG- 013736 (A406) For Patients Previously Receiving AG 013736 In Clinical Trials
NCT00829647,A Study Using Two Oral Chemotherapy Agents for Chronic Lymphocytic Leukemia
NCT00831480,Everolimus(RAD001) For Advanced Renal Cell Carcinoma(RCC)Before Kidney Removal
NCT00838955,Temsirolimus for Relapsed/Refractory Hodgkin's Lymphoma
NCT00842257,Panitumumab in Cetuximab Refractory KRAS Wild-Type Colorectal Cancer
NCT00843037,Study Of Sunitinib In Patients With Recurrent Paraganglioma/Pheochromocytoma
NCT00854152, A Study Evaluating GDC-0980 Administered Once Daily in Patients With Refractory Solid Tumors or Non-Hodgkin's Lymphoma
NCT00857389,Thiotepa-Clofarabine-Busulfan With Allogeneic Stem Cell Transplant for High Risk Malignancies
NCT00858377,A Phase 1 First-in-Human Study Evaluating AMG 900 in Advanced Solid Tumors
NCT00859781,177Lu Radiolabeled Monoclonal Antibody HuJ591 (177Lu-J591) and Ketoconazole in Patients With Prostate Cancer
NCT00863122,Concentration and Activity of Lapatinib in Vestibular Schwannomas
NCT00866281,A Study of the Safety and Preliminary Efficacy of Oral Midostaurin (PKC412) in Relapsed or Refractory Pediatric Leukemia
NCT00871169,"Combination of Irinotecan, Oxaliplatin and Cetuximab for Locally Advanced or Metastatic Pancreatic Cancer"
NCT00875238,Side Effects Involving the Heart in Women With Breast Cancer Receiving Doxorubicin and Trastuzumab
NCT00876993,Study of Irinotecan and Bevacizumab With Temozolomide in Refractory/Relapsed Central Nervous System (CNS) Tumors
NCT00879437,Valproic Acid and Radiation Followed by Maintenance Valproic Acid and Bevacizumab in Children With High Grade Gliomas
NCT00885326,"N2007-02:Bevacizumab,Cyclophosphamide,and Zoledronic Acid in Patients W/ Recurrent or Refractory High-Risk Neuroblastoma"
NCT00887068,Randomized Allogeneic Azacitidine Study
NCT00889954,Her2 and TGFBeta CTLs in Treatment of Her2 Positive Malignancy
NCT00892190,Study of Dasatinib and All-Trans Retinoic Acid for Relapsed/Refractory and/or Elderly Patients With Acute Myelogenous Leukemia (AML) or Myelodysplastic Syndrome
NCT00892736,Veliparib in Treating Patients With Malignant Solid Tumors That Did Not Respond to Previous Therapy
NCT00900744,A Pilot Study of Varying Doses of Tamoxifen in the Setting of Genetic Polymorphisms of CYP2D6
NCT00902044,Her2 Chimeric Antigen Receptor Expressing T Cells in Advanced Sarcoma
NCT00903461,Safety and Efficacy of Radiation/Cetuximab Plus EGFR Antisense DNA for Head and Neck Squamous Cell Carcinoma
NCT00903968,Combination Plerixafor (AMD3100)and Bortezomib in Relapsed or Relapsed/Refractory Multiple Myeloma
NCT00904345,Study of Radiation (RT) Concurrent With Cetuximab in Patients With Advanced Head and Neck Squamous Cell Carcinoma (SCC)
NCT00906516,Neuradiab Combined With Bevacizumab (Avastin) Therapy in Patients With Recurrent Glioblastoma Multiforme
NCT00908167,Sorafenib in Combination With Cytarabine and Clofarabine in Patients With Refractory or Relapsed Hematologic Malignancies
NCT00909831,Hydroxychloroquine and Temsirolimus in Treating Patients With Metastatic Solid Tumors That Have Not Responded to Treatment
NCT00912340,Randomized Phase II Trial of Trastuzumab or EVEROLIMUS in Hormone-refractory Metastatic Breast Cancer
NCT00915993,MRI in Predicting Response to Sunitinib Malate in Patients With Stage IV Kidney Cancer
NCT00918333,"Panobinostat and Everolimus in Treating Patients With Recurrent Multiple Myeloma, Non-Hodgkin Lymphoma, or Hodgkin Lymphoma"
NCT00918463,A Study to Evaluate the Safety and Efficacy of Dasatinib (Sprycel) in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)
NCT00921115,Anti-Hormone Therapy (With Anastrazole and Fulvestrant) Before Surgery to Treat Postmenopausal Women With Breast Cancer.
NCT00923130,Bevacizumab Plus Ixabepilone to Treat Patients With Advanced Kidney Cancer
NCT00923845,Low-Intensity Stem Cell Transplantation With Multiple Lymphocyte Infusions to Treat Advanced Kidney Cancer
NCT00923936,Pilot Study of Liposomal Doxorubicin Combined With Bevacizumab Followed by Bevacizumab Monotherapy in Adults With Advanced Kaposi s Sarcoma
NCT00925132,"Treatment of Resistant Metastatic Melanoma Using Decitabine, Temozolomide and Panobinostat"
NCT00926640,A Phase I Study of Belinostat in Combination With Cisplatin and Etoposide in Adults With Small Cell Lung Carcinoma and Other Advanced Cancers
NCT00932451,"An Investigational Drug, PF-02341066, Is Being Studied In Patients With Advanced Non-Small Cell Lung Cancer With A Specific Gene Profile Involving The Anaplastic Lymphoma Kinase (ALK) Gene"
NCT00936390,Radiation Therapy With or Without Androgen-Deprivation Therapy in Treating Patients With Prostate Cancer
NCT00936936,High-dose Chemotherapy for Poor-prognosis Relapsed Germ-Cell Tumors
NCT00939523,Targeted Therapy With Lapatinib in Patients With Recurrent Pituitary Tumors Resistant to Standard Therapy
NCT00939770,Crizotinib in Treating Young Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma
NCT00940316,Dual Epidermal Growth Factor Receptor Inhibition With Erlotinib and Panitumumab With or Without Chemotherapy for Advanced Colorectal Cancer
NCT00940381, Sirolimus and Cetuximab in Advanced Malignancies
NCT00942331,Gemcitabine Hydrochloride and Cisplatin With or Without Bevacizumab in Treating Patients With Advanced Urinary Tract Cancer
NCT00942877,Phase II Study of Cediranib (AZD2171) in Patients With Alveolar Soft Part Sarcoma
NCT00946647,"A Phase Ib/IIb, Open-label, Multi-center, Study of Oral Panobinostat Administered With 5-Azacitidine (in Adult Patients With Myelodysplastic Syndromes (MDS), Chronic Myelomonocytic Leukemia (CMML), or Acute Myeloid Leukemia (AML)."
NCT00950365,Pharmacodynamic Separation of Pemetrexed and Erlotinib as Second-line Therapy in Patients With Advanced Non-small Cell Lung Cancer (NSCLC)
NCT00954174,"Paclitaxel and Carboplatin or Ifosfamide in Treating Patients With Newly Diagnosed Persistent or Recurrent Uterine, Ovarian, Fallopian Tube, or Peritorium Cavity Cancer"
NCT00956007,Radiation Therapy With or Without Cetuximab in Treating Patients Who Have Undergone Surgery for Locally Advanced Head and Neck Cancer
NCT00957853,Preoperative Treatment With Cetuximab and/or IMC-A12
NCT00959868,A Study for Treatment of Superficial Bladder Cancer Using OGX-427
NCT00967655,"Capecitabine, Panitumumab, and Radiation Therapy With or Without Irinotecan Hydrochloride in Treating Patients Undergoing Surgery for Localized Rectal Cancer"
NCT00968240,Super-Selective Intraarterial Intracranial Infusion of Avastin (Bevacizumab)
NCT00968968,Continued HER2 Suppression With Lapatinib Plus Trastuzumab Versus Trastuzumab Alone
NCT00970502,"Erlotinib, Celecoxib and Reirradiation for Recurrent Head and Neck Cancer"
NCT00971737,Cyclophosphamide and Vaccine Therapy With or Without Trastuzumab in Treating Patients With Metastatic Breast Cancer
NCT00975767,A Study of MGCD265 Given With Erlotinib or Docetaxel in Subjects With Advanced Malignancies or Non-Small Cell Lung Cancer
NCT00976573,"Carboplatin, Paclitaxel, and Bevacizumab With or Without Everolimus in Treating Patients With Metastatic Malignant Melanoma"
NCT00978250,A Multi-Histology Phase II Study of 5-Fluoro-2-Deoxycytidine With Tetrahydrouridine (FdCyd + THU)
NCT00978432,Epigenetic Modulation in Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)
NCT00979212,Chemotherapy and Radiation Therapy With or Without Panitumumab in Treating Patients With Stage IIIA Non-Small Cell Lung Cancer (Cetuximab Closed as of 05/14/10)
NCT00980460,Risk-Based Therapy in Treating Younger Patients With Newly Diagnosed Liver Cancer
NCT00980954,Chemotherapy and Pelvic Radiation Therapy With or Without Additional Chemotherapy in Treating Patients With High-Risk Early-Stage Cervical Cancer After Radical Hysterectomy
NCT00981890,Stereotactic Radiosurgery With Sunitinib for Brain Metastases
NCT00983398,"Melphalan, Carboplatin, and Sodium Thiosulfate for Patients With Central Nervous System (CNS) Embryonal or Germ Cell Tumors"
NCT00983580,Acetylsalicylic Acid and Eflornithine in Treating Patients at High Risk for Colorectal Cancer
NCT00984048,Study to Identify Mechanisms of Resistance to Standard Therapy in Patients With Metastatic Colorectal Cancer
NCT00986661,A Study to Assess PV-10 Chemoablation of Cancer of the Liver
NCT00989651,"Carboplatin, Paclitaxel, Bevacizumab, and ABT-888 in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer"
NCT00990249,Busulfan Plus Clofarabine Followed by Allogeneic Hematopoietic Stem Cell Transplantation
NCT00993655," Comparing Combination Chemotherapy Regimens in Treating Patients With Stage IIB, Stage IIC, Stage III, or Stage IV Ovarian Epithelial Cancer, Primary Peritoneal Cancer, or Fallopian Tube Cancer"
NCT00996385,Velcade and Eloxatin for Patients With Malignant Pleural or Peritoneal Mesothelioma
NCT00996892,"A Study Evaluating the Safety, Tolerability and Pharmacokinetics of GDC-0973 in Combination With GDC-0941 When Administered in Patients With Locally Advanced or Metastatic Solid Tumors"
NCT00997334,Erlotinib Therapy and Subsequent Development of Mechanisms of Secondary Resistance in Patients With NSCLC
NCT00998010,"Bortezomib, Temozolomide, and Regional Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma"
NCT00999401,A Study of Oral Sapacitabine and Oral Seliciclib in Patients With Advanced Solid Tumors
NCT01004224,A Dose Escalation Study in Adult Patients With Advanced Solid Malignancies
NCT01004861,Safety Study of PLX108-01 in Patients With Solid Tumors
NCT01005797,"Study of Panobinostat in Combination With Sorafenib in Kidney, Soft Tissue or Lung Cancers"
NCT01006369,"Hydroxychloroquine, Capecitabine, Oxaliplatin, and Bevacizumab in Treating Patients With Metastatic Colorectal Cancer"
NCT01007695,Molecular Signature of Valproic Acid in Breast Cancer With Functional Imaging Assessment - a Pilot
NCT01008150,Phase II Randomized Trial Evaluating Neoadjuvant Therapy With Neratinib and/or Trastuzumab Followed by Postoperative Trastuzumab in Women With Locally Advanced HER2-positive Breast Cancer
NCT01009918,Lisinopril or Coreg CR in Reducing Side Effects in Women With Breast Cancer Receiving Trastuzumab
NCT01010958,Adjuvant Valproate for High Grade Sarcomas
NCT01011439,Phase II Study Of Oral PHA-848125AC In Patients With Thymic Carcinoma
NCT01012817,"Veliparib and Topotecan Hydrochloride in Treating Patients With Solid Tumors, Relapsed or Refractory Ovarian Cancer, or Primary Peritoneal Cancer"
NCT01013649,Gemcitabine Hydrochloride With or Without Erlotinib Hydrochloride Followed By the Same Chemotherapy Regimen With or Without Radiation Therapy and Capecitabine or Fluorouracil in Treating Patients With Pancreatic Cancer That Has Been Removed By Surgery
NCT01014065,A Prospective Study of Acute Cardiovascular Effects of First-line Sunitinib in Metastatic Renal Cell Carcinoma Patients (SUnitinib Prospective CardiovasculaR Effect)
NCT01014598,Cisplatin in Treating Patients With Lung Cancer
NCT01014936," First-in-Man, Dose-escalation Trial of C-met Kinase Inhibitor MSC2156119J in Subjects With Advanced Solid Tumors"
NCT01015222,"Dasatinib, Bevacizumab, Paclitaxel in Patients With Advanced Malignancies"
NCT01015833,Sorafenib Tosylate With or Without Doxorubicin Hydrochloride in Treating Patients With Locally Advanced or Metastatic Liver Cancer
NCT01016886,Multidisciplinary Approach to Novel Therapies in Cardiology Oncology Research
NCT01017640," Veliparib With or Without Mitomycin C in Treating Patients With Metastatic, Unresectable, or Recurrent Solid Tumors"
NCT01022086,Assessment of Cardiotoxicity by Cardiac Magnetic Resonance (CMR) in Breast Cancer Patients Receiving Trastuzumab
NCT01023737,Hydroxychloroquine + Vorinostat in Advanced Solid Tumors
NCT01025089,Chemotherapy Plus Cetuximab Followed by Surgical Resection in Patients With Locally Advanced or Recurrent Thymoma or Thymic Carcinoma
NCT01026337,Magnetic Resonance Imaging (MRI) in Predicting Response to Sunitinib Malate in Patients With Locally Advanced or Metastatic Kidney Cancer
NCT01027416,Analyzing a New Mechanism in Response to Tamoxifen Therapy in Breast Cancer Patients
NCT01028222,A Study of AMNN107 in the Treatment of Metastatic and/or Inoperable Melanoma Harboring a c-Kit Mutation
NCT01031381,"Study of RAD001 and Bevacizumab in Recurrent Ovarian, Peritoneal, and Fallopian Tube Cancer"
NCT01032148,"Study of LBH589, A Deacetylase Inhibitor in Patients With Recurrent or Refractory Hodgkin or Non-Hodgkin's Lymphoma"
NCT01035099,RCT of Fixed vs Titrated Letrozole in Breast Cancer Patient Undergoing IVF
NCT01036087,"Panitumumab, Nab-paclitaxel and Carboplatin for HER2 Negative Inflammatory Breast Cancer"
NCT01037790,PD 0332991 in Treating Patients With Refractory Solid Tumors
NCT01038778,Entinostat in Combination With Aldesleukin in Treating Patients With Metastatic Kidney Cancer
NCT01042379,I-SPY 2 TRIAL: Neoadjuvant and Personalized Adaptive Novel Agents to Treat Breast Cancer
NCT01042522,"Paclitaxel and Carboplatin or Bleomycin Sulfate, Etoposide Phosphate, and Cisplatin in Treating Patients With Advanced or Recurrent Sex Cord-Ovarian Stromal Tumors"
NCT01042535, Vaccine Therapy and 1-MT in Treating Patients With Metastatic Breast Cancer
NCT01052363,OXC401-PO1s/WVU 1309 - A Pilot Study of Fosbretabulin With Bevacizumab in Recurrent High-Grade Gliomas
NCT01058239,Bortezomib Plus Rituximab for EBV+ PTLD
NCT01058707,Dose Escalation Study of MLN0128 in Subjects With Advanced Malignancies
NCT01059552,Treatment of Locally Advanced Non-Small Cell Lung Cancer (NSCLC)
NCT01061515,Biweekly Intraperitoneal Oxaliplatin With Systemic Capecitabine and Bevacizumab for Patients With Peritoneal Carcinomatosis From Appendiceal or Colorectal Cancer
NCT01061788,"A Trial of AMG 479, Everolimus (RAD001) and Panitumumab in Patients With Advanced Cancer"
NCT01063075,A Study in Advanced Solid Tumors
NCT01064479,Docetaxel And Cisplatin With or Without Erlotinib For Metastatic Or Recurrent Squamous Cell Carcinoma Of Head And Neck
NCT01064648,Pemetrexed Disodium and Cisplatin With or Without Cediranib Maleate in Treating Patients With Malignant Pleural Mesothelioma
NCT01064921,Ph I Vorinostat in the Treatment of Advanced Staged Oropharyngeal Squamous Cell Carcinoma
NCT01067469,Standard Dose Bevacizumab Versus Low Dose Bevacizumab Plus Lomustine (CCNU) for Recurrent Glioblastoma Multiforme (GBM)
NCT01075113,Sorafenib and Vorinostat in Treating Patients With Advanced Liver Cancer
NCT01076543,Lenalidomide and Temsirolimus in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma
