,id,therapyName,Drug_id
0,2914,ABBV-221,7837
0,5446,ABBV-368,8693
1,5447,ABBV-368 + Nivolumab,8693
0,1363,ABBV-399,7247
1,1366,ABBV-399 + Bevacizumab,7247
2,1743,ABBV-399 + Carboplatin,7247
3,1365,ABBV-399 + Cetuximab,7247
4,1364,ABBV-399 + Erlotinib,7247
0,5050,ABBV-428,8601
1,5051,ABBV-428 + Nivolumab,8601
0,5756,ABBV-621,8777
0,5142,ABBV-927,8619
1,5143,ABBV-927 + Nivolumab,8619
0,3301,ABC294640,8021
1,5617,ABC294640 + Gemcitabine,8021
0,802,Abemaciclib,6942
1,2255,Abemaciclib + Anastrozole,6942
2,1854,Abemaciclib + Anastrozole + Letrozole,6942
3,5516,Abemaciclib + Anastrozole + Xentuzumab,6942
4,1690,Abemaciclib + Clarithromycin,6942
5,4127,Abemaciclib + Everolimus,6942
6,2257,Abemaciclib + Exemestane,6942
7,5859,Abemaciclib + Fulvestrant,6942
8,5517,Abemaciclib + Fulvestrant + Xentuzumab,6942
9,5176,Abemaciclib + Galunisertib,6942
10,4731,Abemaciclib + Lapatinib,6942
11,2254,Abemaciclib + Letrozole,6942
12,5515,Abemaciclib + Letrozole + Xentuzumab,6942
13,4387,Abemaciclib + Loperamide,6942
14,5175,Abemaciclib + LY3023414,6942
15,4373,Abemaciclib + LY3039478,6942
16,4242,Abemaciclib + Pembrolizumab,6942
17,4209,Abemaciclib + Ramucirumab,6942
18,2256,Abemaciclib + Tamoxifen,6942
19,5028,Abemaciclib + Temozolomide,6942
20,4128,Abemaciclib + Torin2,6942
21,2259,Abemaciclib + Trastuzumab,6942
22,5514,Abemaciclib + Xentuzumab,6942
23,2258,Everolimus + Exemestane + LY2835219,6942
24,4591,LY3214996 + Abemaciclib,6942
0,1081,Abexinostat,7197
1,3381,Abexinostat + Doxorubicin,7197
2,1102,Pazopanib + Abexinostat,7197
0,1805,Abiraterone,4697
1,2553,Abiraterone + Alisertib + Prednisone,4697
2,4510,Abiraterone + ARN-509 + Degarelix + Indomethacin + Prednisone,4697
3,5523,Abiraterone + ARN-509 + Degarelix + Prednisone,4697
4,4767,Abiraterone + ARN-509 + Docetaxel + Prednisone,4697
5,5743,Abiraterone + ARN-509 + Gonadorelin + Prednisone,4697
6,4509,Abiraterone + ARN-509 + Indomethacin + Prednisone,4697
7,4206,Abiraterone + ARN-509 + Leuprolide,4697
8,4758,Abiraterone + ARN-509 + Leuprolide + Prednisone,4697
9,2649,Abiraterone + ARN-509 + Prednisone,4697
10,2499,Abiraterone + BKM120 + Prednisone,4697
11,4759,Abiraterone + Cabazitaxel + Carboplatin + Enzalutamide + Prednisone,4697
12,4770,Abiraterone + cabozantinib,4697
13,1818,Abiraterone + Dasatinib	,4697
14,4182,Abiraterone + Denosumab + Enzalutamide + Prednisone,4697
15,5340,Abiraterone + Dutasteride,4697
16,6034,Abiraterone + GSK525762,4697
17,5438,Abiraterone + Ipatasertib,4697
18,3079,Abiraterone + Leuprolide + Prednisone,4697
19,4678,Abiraterone + Methylprednisolone,4697
20,2597,Abiraterone + Navitoclax,4697
21,4377,Abiraterone + Niclosamide + Prednisone,4697
22,2748,Abiraterone + Prednisone,4697
23,5226,Abiraterone + Prednisone + Olaparib,4697
24,5913,Abiraterone + Prednisone + Veliparib,4697
25,1817,Abiraterone + Sunitinib,4697
26,1948,ARN-509 + Abiraterone,4697
27,5371,Enzalutamide + Abiraterone + Prednisone,4697
0,6243,ABP 980,8952
0,975,ABT-348,7082
0,976,ABT-414,7085
1,4346,ABT-414 + Temozolomide + Radiotherapy,7085
0,1063,ABT-700,7182
0,1772,ABT-737,7337
1,3586,ABT-737 + Anti-CD19 CAR T cells,7337
2,5191,ABT-737 + AZD8055 + Trametinib,7337
3,5381,ABT-737 + BEZ235,7337
4,5192,ABT-737 + BEZ235 + Trametinib,7337
5,3919,ABT-737 + Cisplatin,7337
6,3918,ABT-737 + Doxorubicin,7337
7,3920,ABT-737 + Gemcitabine,7337
8,5193,ABT-737 + MK2206 + Trametinib,7337
9,5388,ABT-737 + MLN0128,7337
10,5187,ABT-737 + Perifosine,7337
11,1773,Oxaliplatin + ABT-737,7337
12,3132,Vorinostat + ABT-737,7337
0,4151,ABT-751,8367
1,4152,ABT-751 + Bevacizumab + Capecitabine + Irinotecan,8367
2,4909,ABT-751 + Fenretinide,8367
0,4133,ABT-767,8359
0,4256,ABT-806,8390
0,2151,ABTL0812,7444
0,2909,AC0010MA,7832
0,977,AC480,7086
0,2845,AC708,7782
0,1605,Acalabrutinib,7296
1,5466,Acalabrutinib + ACP-319,7296
2,3996,Acalabrutinib + Bendamustine + Rituximab,7296
3,3477,Acalabrutinib + Obinutuzumab,7296
4,6188,Acalabrutinib + Vistusertib,7296
0,5466,Acalabrutinib + ACP-319,7997
1,3265,ACP-319,7997
0,4144,ACY-957,8364
1,4187,ACY-957 + Doxorubicin,8364
2,4147,ACY-957 + DZNeP,8364
3,4148,ACY-957 + GSK126,8364
0,5336,Ad-CEA + Bevacizumab + FOLFOX,8666
1,5335,Ad-CEA vaccine,8666
0,4250,Ad-RTS-IL-12 plus AL,8388
0,978,Ad.p53-DC vaccine,7087
0,6283,Ad5-yCD/mutTKSR39rep-hIL12 ,8963
0,979,Ad5CMV-p53 gene,7088
1,5879,Ad5CMV-p53 gene + Capecitabine,7088
2,5854,Ad5CMV-p53 gene + unspecified PD-1 antibody,7088
0,5915,AD80,8859
0,5689,ADCT-502,8744
0,4812,ADDA 5,8549
0,4916,ADH-1,8580
1,4952,ADH-1 + Cisplatin + Gemcitabine,8580
0,2424,ADI-PEG 20,7526
0,4461,AdV-tk,8460
1,4462,AdV-tk + Nivolumab,8460
2,5172,AdV-tk + Valacyclovir,8460
0,3090,ADXS11-001,7935
0,3050,ADXS31-142 ,7919
0,4654,ADXS31-164,8504
0,621,AEB071,6829
1,1861,AEB071 + BYL719,6829
2,5587,AEB071 + CGM097,6829
3,1951,AEB071 + Everolimus,6829
4,2275,AEB071 + PD-0325901,6829
5,1114,MEK162 + AEB071,6829
0,622,AEE788,6830
0,3303,AEZS-131,8023
0,623,Afatinib,6823
1,4873,Afatinib + Alectinib,6823
2,6313,Afatinib + Capmatinib,6823
3,2442,Afatinib + Carboplatin + Paclitaxel,6823
4,4190,Afatinib + Cetuximab,6823
5,4764,Afatinib + Cetuximab + Sirolimus,6823
6,3378,Afatinib + Crizotinib,6823
7,2801,Afatinib + Ganetespib,6823
8,1374,Afatinib + Loperamide,6823
9,5363,Afatinib + Necitumumab,6823
10,4040,Afatinib + Nimotuzumab,6823
11,2441,Afatinib + Paclitaxel,6823
12,2435,Afatinib + Pembrolizumab,6823
13,4711,Afatinib + Radiotherapy,6823
14,4482,Afatinib + Trametinib,6823
15,1106,Afatinib + Trastuzumab,6823
16,5254,Afatinib + Vinorelbine,6823
17,3712,BI 882370 + Afatinib,6823
18,1351,Dasatinib + Afatinib,6823
0,5132,Afimoxifene,8616
1,5158,Afimoxifene + XMU-MP-2,8616
0,624,Aflibercept,6795
1,2368,Aflibercept + Capecitabine,6795
2,5246,Aflibercept + Docetaxel,6795
3,2095,Aflibercept + FOLFIRI,6795
4,1841,Aflibercept + Leucovorin + Fluorouracil,6795
5,2367,Aflibercept + mFOLFOX-6,6795
6,1595,Aflibercept + MLN0128,6795
7,2369,Aflibercept + Pembrolizumab,6795
8,1665,Ganetespib + Aflibercept,6795
0,4389,AFM13,8438
1,4390,AFM13 + Pembrolizumab,8438
0,5856,AFM24,8832
0,625,Afuresertib,6831
1,1839,Afuresertib + Carfilzomib,6831
2,3204,Afuresertib + Trametinib,6831
3,1091,Ofatumumab + GSK2110183,6831
0,1491,AG-120,7273
1,4002,AG-120 + Azacitidine,7273
0,2943,AG-14361,7859
0,2995,AG-881,7894
0,2570,AG1295,7584
0,2139,AG1296,7436
0,5695,AGEN1884,8750
0,5693,AGEN2034,8748
0,2569,AGI-5198,7583
1,5326,AGI-5198 + Olaparib,7583
2,3895,AGI-5198 + Radiotherapy,7583
3,5325,AGI-5198 + Talazoparib,7583
4,3784,Metformin + AGI-5198,7583
0,1585,AGI-6780,7291
0,2571,AGL2043,7585
0,4075,AGS-003,8337
1,4076,AGS-003 + Sunitinib,8337
0,4220,AGS-16C3F,8380
0,4697,AGS-1C4D4 ,8518
0,4699,AGS-PSCA,8519
0,2859,AI-10-49,7794
0,6020,AIC-47,8895
1,6021,AIC-47 + Imatinib,8895
0,3801,AIM-100,8246
0,2338,AJI-100,7495
0,2337,AJI-214,7494
0,5753,AK-01,8774
0,4073,AKI603,8336
1,4074,AKI603 + Epirubicin,8336
2,5572,AKI603 + Imatinib,8336
0,3170,AKN-028,7967
0,980,AL-3818,7089
0,3381,Abexinostat + Doxorubicin,7260
1,1440,Aldoxorubicin,7260
2,3347,Aldoxorubicin + Bendamustine + Bortezomib,7260
3,3435,Aldoxorubicin + Cisplatin + Cyclophosphamide + Dexamethasone + Etoposide,7260
4,2564,Aldoxorubicin + Cisplatin + Filgrastim + Methotrexate + Vinblastine,7260
5,2668,Aldoxorubicin + Cisplatin + Methotrexate + Vincristine,7260
6,2989,Aldoxorubicin + Cyclophosphamide + Veliparib,7260
7,3087,Aldoxorubicin + Docetaxel + Estramustine + Ketoconazole,7260
8,3052,Aldoxorubicin + Ganetespib,7260
9,3101,Aldoxorubicin + MEDI4736 + Motolimod,7260
10,3388,Aldoxorubicin +Cyclophosphamide + Prednisone + Rituximab + Vincristine,7260
11,2800,Alvocidib + Aldoxorubicin,7260
12,2623,B02 + Aldoxorubicin,7260
13,3763,BEZ235 + Doxorubicin,7260
14,3764,BKM120 + Doxorubicin,7260
15,2817,Metformin + Aldoxorubicin,7260
16,2821,ON01910 + Aldoxorubicin,7260
17,2814,Seliciclib + Aldoxorubicin,7260
0,4873,Afatinib + Alectinib,6885
1,698,Alectinib,6885
2,3490,Alectinib + Atezolizumab,6885
3,5971,Alectinib + Cobimetinib,6885
4,5989,Alectinib + Doxorubicin,6885
5,1334,Alectinib + Erlotinib,6885
0,1205,Alemtuzumab,83
1,2305,Alemtuzumab + Cyclosporine,83
0,2553,Abiraterone + Alisertib + Prednisone,6832
1,626,Alisertib,6832
2,1239,Alisertib  + Esomeprazole,6832
3,1226,Alisertib + Abraxane,6832
4,3581,Alisertib + Bortezomib + Rituximab,6832
5,4301,Alisertib + Brentuximab vedotin,6832
6,5195,Alisertib + Cisplatin,6832
7,5257,Alisertib + Cisplatin + Etoposide,6832
8,1678,Alisertib + Docetaxel,6832
9,4626,Alisertib + Eribulin,6832
10,5253,Alisertib + Etoposide,6832
11,4561,Alisertib + Fulvestrant,6832
12,1289,Alisertib + Gemcitabine,6832
13,2628,Alisertib + Irinotecan + Temozolomide,6832
14,4214,Alisertib + MLN0128,6832
15,5776,Alisertib + MP7,6832
16,1212,Alisertib + Pazopanib,6832
17,1240,Alisertib + Rifampin,6832
18,1679,Alisertib + Taxol,6832
19,3972,GDC-0199 + Alisertib,6832
20,1288,Irinotecan + Alisertib,6832
21,2176,MLN2480 + Alisertib,6832
22,1474,Tamoxifen + Alisertib,6832
0,4298,ALKS 4230,8403
0,6225,ALM201,8945
0,5319,ABT-263 + Alpelisib + CGM097 + Trametinib,6882
1,5318,ABT-263 + Alpelisib + Dabrafenib + Erlotinib,6882
2,5316,ABT-263 + Alpelisib + Erlotinib + Trametinib,6882
3,1861,AEB071 + BYL719,6882
4,4851,Alpelisib + AZD1208,6882
5,5627,Alpelisib + Cisplatin,6882
6,5929,Alpelisib + Fulvestrant,6882
7,4519,Alpelisib + GSK2334470,6882
8,4441,Alpelisib + LSZ 102,6882
9,5164,Alpelisib + Lucitanib,6882
10,5119,Alpelisib + PLX4720,6882
11,5383,Alpelisib + WEHI-539,6882
12,4059,AZD6482 + Binimetinib + BYL719,6882
13,4063,AZD6482 + Binimetinib + LGX818 + BYL719,6882
14,3714,AZD6482 + BYL719,6882
15,4062,AZD6482 + LGX818 + BYL719,6882
16,3749,AZD8186 + BYL719,6882
17,3750,AZD8186 + BYL719 + Enzalutamide,6882
18,1293,BGJ398 + BYL719,6882
19,691,BYL719,6882
20,1109,BYL719 + AMG 479,6882
21,1535,BYL719 + Capecitabine,6882
22,1837,BYL719 + Cetuximab,6882
23,3751,BYL719 + Enzalutamide,6882
24,1384,BYL719 + Everolimus,6882
25,1385,BYL719 + Everolimus + Exemestane,6882
26,2318,BYL719 + Exemestane,6882
27,2317,BYL719 + Fulvestrant + LEE011,6882
28,1870,BYL719 + Gemcitabine + Abraxane,6882
29,4042,BYL719 + GSK2636771,6882
30,4065,BYL719 + GSK2636771 + LGX818,6882
31,3969,BYL719 + LEE011,6882
32,2419,BYL719 + LGH447,6882
33,4049,BYL719 + LGX818,6882
34,2283,BYL719 + LJM716,6882
35,2059,BYL719 + LJM716 + Trastuzumab,6882
36,1311,BYL719 + MEK162,6882
37,2503,BYL719 + nab-paclitaxel,6882
38,4047,BYL719 + NVP-AEW541,6882
39,2171,BYL719 + Olaparib,6882
40,1379,BYL719 + Paclitaxel,6882
41,1575,BYL719 + Trastuzumab emtansine,6882
42,1569,LEE011 + BYL719 + Letrozole,6882
43,1553,Letrozole + BYL719,6882
44,1917,LGX818 + Cetuximab + BYL719,6882
0,1188,Aldesleukin + Vemurafenib + IFN A2b,7217
1,1187,Alpha 2 Interferon,7217
2,2511,Bevacizumab + Alpha 2 Interferon,7217
0,2273,ALRN-6924,7477
1,4755,ALRN-6924 + Cytarabine,7477
0,2187,ALT-801,7458
1,2191,ALT-801 + Gemcitabine,7458
0,3060,ALT-803,7921
1,5238,ALT-803 + BCG solution,7921
2,5300,ALT-803 + Cyclophosphamide + Fludarabine phosphate,7921
3,6239,ALT-803 + ETBX-011,7921
4,3095,ALT-803 + Gemcitabine + nab-paclitaxel,7921
5,3061,ALT-803 + Nivolumab,7921
6,6037,ALT-803 + Pembrolizumab,7921
7,3936,ALT-803 + Rituximab,7921
0,1656,Altiratinib,7310
1,4353,Altiratinib + Bevacizumab,7310
2,5361,Altiratinib + Dabrafenib,7310
3,5362,Altiratinib + Trametinib,7310
0,627,Alvespimycin,6833
1,3723,Alvespimycin + Vorinostat,6833
0,628,Alvocidib,6834
1,2800,Alvocidib + Aldoxorubicin,6834
2,6300,Alvocidib + Cytarabine + Daunorubicin,6834
3,4646,Alvocidib + Doxorubicin,6834
4,3961,Alvocidib + Palbociclib,6834
5,4131,Alvocidib + Sorafenib,6834
6,2816,Seliciclib + Alvocidib,6834
0,3274,ALW-II-41-27,8004
0,2852,ALX-0651,7789
0,5211,ALX148,8635
1,5212,ALX148 + Atezolizumab,8635
2,5213,ALX148 + Trastuzumab,8635
0,4570,AM-0687,8483
0,4571,AM-1430,8484
0,2621,AM0010 ,7615
1,5810,AM0010 + Capecitabine,7615
2,5849,AM0010 + mFOLFOX-6,7615
0,3457,Ama-HEA125,8082
0,3513,Amatuximab,8111
0,6233,AMC303,8947
0,2851,AMD11070,7788
0,1452,AMG 232,7263
1,4638,AMG 232 + Carboplatin,7263
2,4637,AMG 232 + Cisplatin,7263
3,6185,AMG 232 + Decitabine,7263
4,4636,AMG 232 + Doxorubicin,7263
5,4639,AMG 232 + Irinotecan,7263
6,4671,AMG 232 + Radiotherapy,7263
7,1454,AMG 232 + Trametinib,7263
8,1453,AMG 232 + Trametinib + Dabrafenib,7263
0,982,AMG 319,7091
0,1064,AMG 337,7183
0,2163,AMG 458,7455
0,6261,AMG 596,8957
0,4724,AMG 780,8532
0,983,AMG 900,7092
1,4676,AMG 900 + Ixabepilone,7092
0,630,AMG208,6836
0,2842,AMG820,7779
1,4170,AMG820 + Pembrolizumab,7779
0,5463,AMI-408,8698
0,3337,AMP-224,8044
0,2951,Amrubicin,7866
0,632,Amuvatinib,6839
1,2165,Amuvatinib + Paclitaxel + Carboplatin,6839
0,5711,AMV-564,8761
0,2255,Abemaciclib + Anastrozole,1204
1,1854,Abemaciclib + Anastrozole + Letrozole,1204
2,5516,Abemaciclib + Anastrozole + Xentuzumab,1204
3,633,Anastrozole,1204
4,1911,Anastrozole  + Fulvestrant,1204
5,2268,Anastrozole + Everolimus,1204
6,4123,Anastrozole + GDC-0941,1204
7,1853,Anastrozole + Letrozole,1204
8,4188,Anastrozole + MK2206,1204
9,4974,Anastrozole + Palbociclib,1204
10,6323,Anastrozole + Palbociclib + Pertuzumab + Trastuzumab,1204
11,4490,AZD5363 + Anastrozole,1204
12,1590,Fulvestrant + Everolimus + Anastrozole,1204
0,4593,Anetumab ravtansine,8492
1,4617,Anetumab ravtansine + Cisplatin + Pemetrexed,8492
2,4594,Anetumab ravtansine + Itraconazole,8492
3,5596,Pembrolizumab + Anetumab ravtansine,8492
0,3586,ABT-737 + Anti-CD19 CAR T cells,8150
1,3585,Anti-CD19 CAR T,8150
0,2915,anti-EGFR CAR T,7838
0,6061,anti-KRAS G12V mTCR cells,8905
0,6086,anti-OX40 MoAb,8912
0,1844,anti-thymocyte globulin,7347
1,4411,anti-thymocyte globulin + BKT140 + Cyclosporine + Methylprednisolone,7347
2,2469,Busulfan + Clofarabine + Thymoglobulin,7347
3,1846,Busulfan + Fludarabine + anti-thymocyte globulin,7347
0,984,Anti-VEGFR2 CAR CD8 lymphocytes,7096
0,985,Antroquinonol,7098
0,2706,AP 11014,7667
0,2593,AP23464,7594
0,3981,AP32788,8315
0,4510,Abiraterone + ARN-509 + Degarelix + Indomethacin + Prednisone,7369
1,5523,Abiraterone + ARN-509 + Degarelix + Prednisone,7369
2,4767,Abiraterone + ARN-509 + Docetaxel + Prednisone,7369
3,5743,Abiraterone + ARN-509 + Gonadorelin + Prednisone,7369
4,4509,Abiraterone + ARN-509 + Indomethacin + Prednisone,7369
5,4206,Abiraterone + ARN-509 + Leuprolide,7369
6,4758,Abiraterone + ARN-509 + Leuprolide + Prednisone,7369
7,2649,Abiraterone + ARN-509 + Prednisone,7369
8,1947,ARN-509,7369
9,1948,ARN-509 + Abiraterone,7369
10,5524,ARN-509 + Degarelix,7369
11,5521,ARN-509 + Docetaxel,7369
12,2303,ARN-509 + Everolimus,7369
13,4890,ARN-509 + JNJ-64041809,7369
14,4207,ARN-509 + Leuprolide,7369
15,4832,ARN-509 + Niraparib,7369
0,986,Apatinib,7099
0,5826,APG-115,8819
0,5757,APG-1252,8778
0,4900,Aphanin,8573
0,1810,Apigenin,7345
0,5751,APN401,8772
0,1946,APR-246,7368
1,5445,APR-246 + Azacitidine,7368
2,3444,APR-246 + Carboplatin,7368
3,1952,APR-246 + Carboplatin + Doxorubicin,7368
4,3443,APR-246 + Cisplatin,7368
0,2355,Aprinocarsen,7499
0,4619,APS-2-79,8496
1,4621,APS-2-79 + Binimetinib,8496
2,4623,APS-2-79 + PD-0325901,8496
3,4622,APS-2-79 + Selumetinib,8496
4,4620,APS-2-79 + Trametinib,8496
0,3519,APTO-253,8114
0,3835,APX005M,8262
1,6048,APX005M + Gemcitabine + nab-paclitaxel,8262
2,6049,APX005M + Gemcitabine + nab-paclitaxel + Nivolumab,8262
3,5608,APX005M + Nivolumab,8262
4,5797,APX005M + Paclitaxel + Carboplatin,8262
5,3836,APX005M + Pembrolizumab,8262
0,987,AR-42,7101
1,3400,AR-42 + Cisplatin,7101
2,1751,AR-42 + Decitabine,7101
3,4299,AR-42 + Dexamethasone + Pomalidomide,7101
4,4267,AR-42 + Pazopanib,7101
0,3850,AR-mTOR-26,8269
0,2157,ARGX-111,7449
0,2900,ARQ 087,7823
0,5224,ARQ 531,8641
0,4331,ARQ 751,8420
0,635,ARQ092,6841
1,5455,ARQ092 + Paclitaxel,6841
2,5456,ARQ092 + Trametinib,6841
3,5454,ARQ092 + Trastuzumab,6841
0,637,ARQ736,6843
0,3516,ARQ761,8113
1,3517,ARQ761 + CB-839,8113
0,2012,ARRY-300,7381
0,2841,ARRY-382,7778
1,4608,ARRY-382 + Pembrolizumab,7778
0,3553,ARS-853,8133
0,640,Arsenic trioxide,1156
1,5965,Arsenic trioxide + Cytarabine + Methotrexate + Tretinoin,1156
2,3685,Arsenic trioxide + Gemtuzumab ozogamicin + Tretinoin,1156
3,3791,Arsenic trioxide + Itraconazole,1156
4,4117,Arsenic trioxide + Posaconazole,1156
5,3687,Arsenic trioxide + Tretinoin,1156
6,1609,Decitabine + Arsenic trioxide ,1156
0,2964,AS-252424,7876
0,4700,AS1409,8520
0,3367,AS601245,8053
0,2517,AS605240,7550
1,4937,AS605240 + Dexamethasone,7550
2,3776,AS605240 + Methylprednisolone,7550
3,4936,AS605240 + Prednisolone,7550
0,2484,ABL001,7539
1,5561,Asciminib + Dasatinib,7539
2,5562,Asciminib + Imatinib,7539
3,5560,Asciminib + Nilotinib,7539
0,4914,ASG-5ME,8579
1,4915,ASG-5ME + Nab-paclitaxel,8579
0,2528,CYP17 lyase inhibitor ASN001,7559
0,5827,ASN003,8820
0,2755,ASP015K,7706
0,643,ASP3026,6849
0,2521,ASP3096,7554
0,3584,ASP5878,8149
0,1082,ASP8273,7198
0,2206,Asparaginase,23
1,2348,Asparaginase + Cyclophosphamide + Etoposide,23
2,2394,Asparaginase + Cytarabine,23
3,5354,Ribociclib + Asparaginase,23
0,5912,Asparaginase Erwinia chrysanthemi,8857
0,6018,ASTX-660,8894
1,6019,ASTX-660 + Paclitaxel,8894
0,1759,ASTX727,7333
0,644,AT-101,6850
1,4039,AT-101 + Bicalutamide,6850
0,3644,AT-406,8186
1,6178,AT-406 + Avelumab,8186
2,3645,AT-406 + Daunorubicin + Cytarabine,8186
0,2447,AT-7867,7530
0,3653,AT13148,8189
0,2727,AT7519,7683
0,646,AT9283,6852
0,3490,Alectinib + Atezolizumab,7221
1,5212,ALX148 + Atezolizumab,7221
2,1201,Atezolizumab,7221
3,4456,Atezolizumab + BCG solution,7221
4,3390,Atezolizumab + Bendamustine + Obinutuzumab,7221
5,4595,Atezolizumab + Bevacizumab,7221
6,1202,Atezolizumab + Bevacizumab + Capecitabine,7221
7,2370,Atezolizumab + Bevacizumab + Carboplatin + Paclitaxel,7221
8,4496,Atezolizumab + Bevacizumab + Doxil,7221
9,6270,Atezolizumab + Bevacizumab + Exemestane,7221
10,6271,Atezolizumab + Bevacizumab + Fulvestrant,7221
11,6272,Atezolizumab + Bevacizumab + Tamoxifen,7221
12,6252,Atezolizumab + Bevacizumab +Peg-interferon alfa-2a,7221
13,5942,Atezolizumab + BKT140,7221
14,6305,Atezolizumab + BTCT4465A,7221
15,6094,Atezolizumab + Cabozantinib,7221
16,5983,Atezolizumab + Carboplatin,7221
17,4164,Atezolizumab + Carboplatin + Etoposide,7221
18,5541,Atezolizumab + Carboplatin + Etoposide + Trilaciclib,7221
19,4450,Atezolizumab + Carboplatin + Gemcitabine,7221
20,3946,Atezolizumab + Carboplatin + nab-Paclitaxel,7221
21,1203,Atezolizumab + Carboplatin + Paclitaxel,7221
22,1204,Atezolizumab + Carboplatin + Pemetrexed,7221
23,5140,Atezolizumab + Cisplatin + Gemcitabine,7221
24,6036,Atezolizumab + Cisplatin + Pemetrexed,7221
25,3575,Atezolizumab + CO1686,7221
26,1343,Atezolizumab + Cobimetinib,7221
27,5970,Atezolizumab + Cobimetinib + Eribulin,7221
28,5858,Atezolizumab + CPI-444,7221
29,5236,Atezolizumab + Daratumumab,7221
30,4204,Atezolizumab + DEC-205-NY-ESO-1 fusion protein vaccine,7221
31,4495,Atezolizumab + Doxil,7221
32,5235,Atezolizumab + Entinostat + Bevacizumab,7221
33,5204,Atezolizumab + Enzalutamide,7221
34,2636,Atezolizumab + Epacadostat,7221
35,6098,Atezolizumab + Eribulin,7221
36,1352,Atezolizumab + Erlotinib,7221
37,5558,Atezolizumab + FANG vaccine,7221
38,6268,Atezolizumab + Fulvestrant,7221
39,5863,Atezolizumab + GDC-0919,7221
40,3947,Atezolizumab + Gemcitabine + nab-paclitaxel,7221
41,6253,Atezolizumab + Interferon alfa-2b,7221
42,6269,Atezolizumab + Ipatasertib,7221
43,6273,Atezolizumab + Ipatasertib + Fulvestrant,7221
44,6249,Atezolizumab + Ipilimumab,7221
45,4830,Atezolizumab + KTE-C19,7221
46,3387,Atezolizumab + lenalidomide + Obinutuzumab,7221
47,6276,Atezolizumab + Linagliptin,7221
48,5451,Atezolizumab + MOXR0916,7221
49,4269,Atezolizumab + MTIG7192A ,7221
50,3049,Atezolizumab + nab-paclitaxel,7221
51,1975,Atezolizumab + Obinutuzumab,7221
52,4362,Atezolizumab + Obinutuzumab + Polatuzumab Vedotin,7221
53,5606,Atezolizumab + Paclitaxel,7221
54,5600,Atezolizumab + Paclitaxel + Trastuzumab + Pertuzumab,7221
55,6250,Atezolizumab + Peg-interferon alfa-2a,7221
56,5941,Atezolizumab + PEGPH20,7221
57,4881,Atezolizumab + Ra 223,7221
58,3412,Atezolizumab + RO6958688 ,7221
59,6235,Atezolizumab + RO7198457,7221
60,4693,Atezolizumab + SGI-110,7221
