id,therapyName
4562,Aldesleukin + Cyclophosphamide + Fludarabine + Pembrolizumab
5733,Aldesleukin + Cyclophosphamide + Ipilimumab
4193,Aldesleukin + Cyclophosphamide + Pembrolizumab
2058,Aldesleukin + GD2Bi-a ATC + Sargramostim 
1612,Aldesleukin + Ipilimumab
2459,Aldesleukin + Melphalan + Sargramostim
5139,Aldesleukin + Nivolumab
4165,Aldesleukin + Pembrolizumab
1229,Aldesleukin + Vemurafenib
1188,Aldesleukin + Vemurafenib + IFN A2b
1440,Aldoxorubicin
3347,Aldoxorubicin + Bendamustine + Bortezomib
3435,Aldoxorubicin + Cisplatin + Cyclophosphamide + Dexamethasone + Etoposide
2564,Aldoxorubicin + Cisplatin + Filgrastim + Methotrexate + Vinblastine
2668,Aldoxorubicin + Cisplatin + Methotrexate + Vincristine
2989,Aldoxorubicin + Cyclophosphamide + Veliparib
3087,Aldoxorubicin + Docetaxel + Estramustine + Ketoconazole
3052,Aldoxorubicin + Ganetespib
3101,Aldoxorubicin + MEDI4736 + Motolimod
3388,Aldoxorubicin +Cyclophosphamide + Prednisone + Rituximab + Vincristine
698,Alectinib
3490,Alectinib + Atezolizumab
5971,Alectinib + Cobimetinib
5989,Alectinib + Doxorubicin
1334,Alectinib + Erlotinib
1205,Alemtuzumab
2305,Alemtuzumab + Cyclosporine
626,Alisertib
1239,Alisertib  + Esomeprazole
1226,Alisertib + Abraxane
3581,Alisertib + Bortezomib + Rituximab
4301,Alisertib + Brentuximab vedotin
5195,Alisertib + Cisplatin
5257,Alisertib + Cisplatin + Etoposide
1678,Alisertib + Docetaxel
4626,Alisertib + Eribulin
5253,Alisertib + Etoposide
4561,Alisertib + Fulvestrant
1289,Alisertib + Gemcitabine
2628,Alisertib + Irinotecan + Temozolomide
4214,Alisertib + MLN0128
5776,Alisertib + MP7
1212,Alisertib + Pazopanib
1240,Alisertib + Rifampin
1679,Alisertib + Taxol
4298,ALKS 4230
3628,Allopurinol
2311,Allopurinol + Cyclophosphamide + Fludarabine
5876,Allopurinol + Ibrutinib + Venetoclax
6225,ALM201
4851,Alpelisib + AZD1208
5627,Alpelisib + Cisplatin
5929,Alpelisib + Fulvestrant
4519,Alpelisib + GSK2334470
4441,Alpelisib + LSZ 102
5164,Alpelisib + Lucitanib
5119,Alpelisib + PLX4720
5383,Alpelisib + WEHI-539
1187,Alpha 2 Interferon
2273,ALRN-6924
4755,ALRN-6924 + Cytarabine
2187,ALT-801
2191,ALT-801 + Gemcitabine
3060,ALT-803
5238,ALT-803 + BCG solution
5300,ALT-803 + Cyclophosphamide + Fludarabine phosphate
6239,ALT-803 + ETBX-011
3095,ALT-803 + Gemcitabine + nab-paclitaxel
3061,ALT-803 + Nivolumab
6037,ALT-803 + Pembrolizumab
3936,ALT-803 + Rituximab
1656,Altiratinib
4353,Altiratinib + Bevacizumab
5361,Altiratinib + Dabrafenib
5362,Altiratinib + Trametinib
627,Alvespimycin
3723,Alvespimycin + Vorinostat
628,Alvocidib
2800,Alvocidib + Aldoxorubicin
6300,Alvocidib + Cytarabine + Daunorubicin
4646,Alvocidib + Doxorubicin
3961,Alvocidib + Palbociclib
4131,Alvocidib + Sorafenib
3274,ALW-II-41-27
2852,ALX-0651
5211,ALX148
5212,ALX148 + Atezolizumab
5213,ALX148 + Trastuzumab
4570,AM-0687
4571,AM-1430
2621,AM0010 
5810,AM0010 + Capecitabine
5849,AM0010 + mFOLFOX-6
3457,Ama-HEA125
3513,Amatuximab
6233,AMC303
2851,AMD11070
1452,AMG 232
4638,AMG 232 + Carboplatin
4637,AMG 232 + Cisplatin
6185,AMG 232 + Decitabine
4636,AMG 232 + Doxorubicin
4639,AMG 232 + Irinotecan
4671,AMG 232 + Radiotherapy
1454,AMG 232 + Trametinib
1453,AMG 232 + Trametinib + Dabrafenib
982,AMG 319
1064,AMG 337
2163,AMG 458
6261,AMG 596
4724,AMG 780
983,AMG 900
4676,AMG 900 + Ixabepilone
629,AMG102
630,AMG208
1138,AMG479 + Everolimus + Panitumumab
2842,AMG820
4170,AMG820 + Pembrolizumab
5463,AMI-408
5229,Amlexanox + Selumetinib
3337,AMP-224
2951,Amrubicin
632,Amuvatinib
2165,Amuvatinib + Paclitaxel + Carboplatin
5711,AMV-564
1192,Anakinra + Everolimus
633,Anastrozole
1911,Anastrozole  + Fulvestrant
2268,Anastrozole + Everolimus
4123,Anastrozole + GDC-0941
1853,Anastrozole + Letrozole
4188,Anastrozole + MK2206
4974,Anastrozole + Palbociclib
6323,Anastrozole + Palbociclib + Pertuzumab + Trastuzumab
2591,Andriol
4593,Anetumab ravtansine
4617,Anetumab ravtansine + Cisplatin + Pemetrexed
4594,Anetumab ravtansine + Itraconazole
3585,Anti-CD19 CAR T
2915,anti-EGFR CAR T
6061,anti-KRAS G12V mTCR cells
6086,anti-OX40 MoAb
1844,anti-thymocyte globulin
4411,anti-thymocyte globulin + BKT140 + Cyclosporine + Methylprednisolone
984,Anti-VEGFR2 CAR CD8 lymphocytes
985,Antroquinonol
2706,AP 11014
2593,AP23464
634,AP26113
3981,AP32788
986,Apatinib
5826,APG-115
5757,APG-1252
4900,Aphanin
1810,Apigenin
5751,APN401
1946,APR-246
5445,APR-246 + Azacitidine
3444,APR-246 + Carboplatin
1952,APR-246 + Carboplatin + Doxorubicin
3443,APR-246 + Cisplatin
2355,Aprinocarsen
4619,APS-2-79
4621,APS-2-79 + Binimetinib
4623,APS-2-79 + PD-0325901
4622,APS-2-79 + Selumetinib
4620,APS-2-79 + Trametinib
3519,APTO-253
3835,APX005M
6048,APX005M + Gemcitabine + nab-paclitaxel
6049,APX005M + Gemcitabine + nab-paclitaxel + Nivolumab
5608,APX005M + Nivolumab
5797,APX005M + Paclitaxel + Carboplatin
3836,APX005M + Pembrolizumab
987,AR-42
3400,AR-42 + Cisplatin
1751,AR-42 + Decitabine
4299,AR-42 + Dexamethasone + Pomalidomide
4267,AR-42 + Pazopanib
3850,AR-mTOR-26
2157,ARGX-111
1947,ARN-509
1948,ARN-509 + Abiraterone
5524,ARN-509 + Degarelix
5521,ARN-509 + Docetaxel
2303,ARN-509 + Everolimus
4890,ARN-509 + JNJ-64041809
4207,ARN-509 + Leuprolide
4832,ARN-509 + Niraparib
2900,ARQ 087
5224,ARQ 531
4331,ARQ 751
635,ARQ092
5455,ARQ092 + Paclitaxel
5456,ARQ092 + Trametinib
5454,ARQ092 + Trastuzumab
637,ARQ736
3516,ARQ761
3517,ARQ761 + CB-839
2012,ARRY-300
1577,ARRY-380 + Capecitabine
3340,ARRY-380 + Capecitabine + Trastuzumab
5334,ARRY-380 + Palbociclib + Letrozole
1560,ARRY-380 + Trastuzumab
1573,ARRY-380 + Trastuzumab emtansine
2841,ARRY-382
4608,ARRY-382 + Pembrolizumab
3553,ARS-853
640,Arsenic trioxide
5965,Arsenic trioxide + Cytarabine + Methotrexate + Tretinoin
3685,Arsenic trioxide + Gemtuzumab ozogamicin + Tretinoin
3791,Arsenic trioxide + Itraconazole
4117,Arsenic trioxide + Posaconazole
3687,Arsenic trioxide + Tretinoin
2964,AS-252424
4700,AS1409
3367,AS601245
2517,AS605240
4937,AS605240 + Dexamethasone
3776,AS605240 + Methylprednisolone
4936,AS605240 + Prednisolone
642,AS703569
5561,Asciminib + Dasatinib
5562,Asciminib + Imatinib
5560,Asciminib + Nilotinib
4914,ASG-5ME
4915,ASG-5ME + Nab-paclitaxel
5827,ASN003
2755,ASP015K
643,ASP3026
2521,ASP3096
3584,ASP5878
1082,ASP8273
2206,Asparaginase
2348,Asparaginase + Cyclophosphamide + Etoposide
2394,Asparaginase + Cytarabine
5912,Asparaginase Erwinia chrysanthemi
6018,ASTX-660
6019,ASTX-660 + Paclitaxel
1759,ASTX727
644,AT-101
4039,AT-101 + Bicalutamide
3644,AT-406
6178,AT-406 + Avelumab
3645,AT-406 + Daunorubicin + Cytarabine
2447,AT-7867
3653,AT13148
645,AT13387
1362,AT13387 + Dabrafenib + Trametinib
2727,AT7519
646,AT9283
1201,Atezolizumab
4456,Atezolizumab + BCG solution
3390,Atezolizumab + Bendamustine + Obinutuzumab
4595,Atezolizumab + Bevacizumab
1202,Atezolizumab + Bevacizumab + Capecitabine
2370,Atezolizumab + Bevacizumab + Carboplatin + Paclitaxel
4496,Atezolizumab + Bevacizumab + Doxil
6270,Atezolizumab + Bevacizumab + Exemestane
6271,Atezolizumab + Bevacizumab + Fulvestrant
6272,Atezolizumab + Bevacizumab + Tamoxifen
6252,Atezolizumab + Bevacizumab +Peg-interferon alfa-2a
5942,Atezolizumab + BKT140
6305,Atezolizumab + BTCT4465A
6094,Atezolizumab + Cabozantinib
5983,Atezolizumab + Carboplatin
4164,Atezolizumab + Carboplatin + Etoposide
5541,Atezolizumab + Carboplatin + Etoposide + Trilaciclib
4450,Atezolizumab + Carboplatin + Gemcitabine
3946,Atezolizumab + Carboplatin + nab-Paclitaxel
1203,Atezolizumab + Carboplatin + Paclitaxel
1204,Atezolizumab + Carboplatin + Pemetrexed
5140,Atezolizumab + Cisplatin + Gemcitabine
6036,Atezolizumab + Cisplatin + Pemetrexed
3575,Atezolizumab + CO1686
1343,Atezolizumab + Cobimetinib
5970,Atezolizumab + Cobimetinib + Eribulin
5858,Atezolizumab + CPI-444
5236,Atezolizumab + Daratumumab
4204,Atezolizumab + DEC-205-NY-ESO-1 fusion protein vaccine
4495,Atezolizumab + Doxil
5235,Atezolizumab + Entinostat + Bevacizumab
5204,Atezolizumab + Enzalutamide
2636,Atezolizumab + Epacadostat
6098,Atezolizumab + Eribulin
1352,Atezolizumab + Erlotinib
5558,Atezolizumab + FANG vaccine
6268,Atezolizumab + Fulvestrant
5863,Atezolizumab + GDC-0919
3947,Atezolizumab + Gemcitabine + nab-paclitaxel
6253,Atezolizumab + Interferon alfa-2b
6269,Atezolizumab + Ipatasertib
6273,Atezolizumab + Ipatasertib + Fulvestrant
6249,Atezolizumab + Ipilimumab
4830,Atezolizumab + KTE-C19
3387,Atezolizumab + lenalidomide + Obinutuzumab
6276,Atezolizumab + Linagliptin
5451,Atezolizumab + MOXR0916
4269,Atezolizumab + MTIG7192A 
3049,Atezolizumab + nab-paclitaxel
1975,Atezolizumab + Obinutuzumab
4362,Atezolizumab + Obinutuzumab + Polatuzumab Vedotin
5606,Atezolizumab + Paclitaxel
5600,Atezolizumab + Paclitaxel + Trastuzumab + Pertuzumab
6250,Atezolizumab + Peg-interferon alfa-2a
5941,Atezolizumab + PEGPH20
4881,Atezolizumab + Ra 223
3412,Atezolizumab + RO6958688 
6235,Atezolizumab + RO7198457
4693,Atezolizumab + SGI-110
5982,Atezolizumab + SGI-110 + DEC-205-NY-ESO-1 fusion protein vaccine
5642,Atezolizumab + Sipuleucel-T
5872,Atezolizumab + Temozolomide
6286,Atezolizumab + TEN-010
3250,Atezolizumab + Trastuzumab
3086,Atezolizumab + Varlilumab
4511,Atezolizumab + Veliparib
1216,Atezolizumab + vemurafenib
4825,Atezolizumab + Vemurafenib + Cobimetinib
1576,Atorvastatin + Metformin
4296,ATR-101
2613,ATSP-7041
5828,AU-011
2300,Auranofin
2301,Auranofin + Sirolimus
5230,Aurora Kinase Inhibitor II
1403,Autologous TGF beta resistant HER2 EBV CTLs
647,AUY922
1996,AUY922 + Cetuximab
2799,AUY922 + Erlotinib
1270,AUY922 + Pemetrexed
2827,AUY922 + Sirolimus
2828,AUY922 + Torin 1
990,AV-412
648,AV203
2551,Avagacestat
1654,Avastin + Cetuximab
1421,Avastin + Doxorubicin + Docetaxel
2741,AVE1642
3144,Avelumab
3145,Avelumab + Axitinib
5372,Avelumab + Azacitidine
5088,Avelumab + Azacitidine + Utomilumab
5089,Avelumab + Bendamustine + Rituximab
5052,Avelumab + Cisplatin
6238,Avelumab + eFT508
5559,Avelumab + Entinostat
5131,Avelumab + NHS-IL12
6045,Avelumab + PF-04518600
6044,Avelumab + PF-04518600 + Utomilumab
5087,Avelumab + Rituximab + Utomilumab
5444,Avelumab + trabectedin
6043,Avelumab + Utomilumab
6153,Avelumab + VX15/2503
5755,AVID100
2917,Avitinib
1068,AVX901
649,Axitinib
2246,Axitinib + Bevacizumab
4241,Axitinib + Bosutinib
1350,Axitinib + Crizotinib
1697,Axitinib + FOLFIRI
1698,Axitinib + FOLFOX
1696,Axitinib + Gemcitabine
5837,Axitinib + Nivolumab
1972,Axitinib + Paclitaxel + Carboplatin
2494,Axitinib + Pembrolizumab
5522,Axitinib + PF-04518600
4938,Axitinib + Radiotherapy
3474,Axitinib + Selenomethionine
2745,AXL1717
2678,AZ-23
5359,AZ-TAK1
5360,AZ-TAK1 + Selumetinib
3418,AZ12489875-002
5473,AZ1366
3333,AZ191
2880,AZ20
5420,AZ20 + RVX2135
3117,AZ3146
5901,AZ5104
2956,AZ6089
1093,AZ628
4487,AZ628 + CPI-455
4791,AZ628 + Selumetinib
4795,AZ628 + Trametinib
4796,AZ628 + VTX-11e
2679,AZ64
3408,AZ64 + Irinotecan + Temozolomide
2955,AZ8010
2786,AZ960
651,Azacitidine
5538,Azacitidine + BI 836858
1149,Azacitidine + CC-223
6093,Azacitidine + Decitabine + PF-06747143
5881,Azacitidine + Durvalumab + Romidepsin
4003,Azacitidine + Enasidenib
2645,Azacitidine + Entinostat
5539,Azacitidine + Entospletinib
2557,Azacitidine + Gemcitabine + vorinostat
6133,Azacitidine + Hu5F9-G4
3632,Azacitidine + Ibrutinib
5477,Azacitidine + INCB024360 + Pembrolizumab
4178,Azacitidine + MEDI4736
2471,Azacitidine + Midostaurin
6164,Azacitidine + MLN4924
3196,Azacitidine + Nivolumab
3214,Azacitidine + Panobinostat
2496,Azacitidine + Pembrolizumab
5782,Azacitidine + Pembrolizumab + Romidepsin
4177,Azacitidine + PF-04449913
4464,Azacitidine + Ponatinib
5987,Azacitidine + Pracinostat
2320,Azacitidine + Regorafenib
1396,Azacitidine + Romidepsin
2233,Azacitidine + Sirolimus
3557,AZD0156
3558,AZD0156 + Axitinib
2535,AZD0424
3224,AZD1208
3550,AZD1208 + Ruxolitinib
652,AZD1480
3691,AZD1897
3692,AZD1897 + AZD5363
2542,AZD2461
4852,AZD2461 + Temozolomide
3547,AZD2811
1586,AZD3463
5990,AZD3463 + Doxorubicin
2826,AZD3514
2912,AZD3759
653,AZD3965
654,AZD4547
4983,AZD4547 + AZD8055
5898,AZD4547 + BKM120
4345,AZD4547 + Cisplatin + Gemcitabine
4585,AZD4547 + Gefitinib
6062,AZD4547 + Lapatinib
4985,AZD4547 + Sirolimus
4478,AZD4547 + Trametinib
4984,AZD4547 + Vistusertib
4223,AZD4635
4349,AZD4635 + MEDI4736
5914,AZD4785
3092,AZD5069
3099,AZD5069 + MEDI4736
4910,AZD5153
655,AZD5363
4490,AZD5363 + Anastrozole
3346,AZD5363 + AZD4547
6166,AZD5363 + Docetaxel + Prednisone
4452,AZD5363 + Fulvestrant
3139,AZD5363 + Olaparib
2192,AZD5363 + Paclitaxel
4489,AZD5363 + Tamoxifen
2728,AZD5438
659,AZD6482
4054,AZD6482 + Binimetinib
4059,AZD6482 + Binimetinib + BYL719
4058,AZD6482 + Binimetinib + LGX818
4063,AZD6482 + Binimetinib + LGX818 + BYL719
4064,AZD6482 + Binimetinib + LGX818 + NVP-AEW541
4060,AZD6482 + Binimetinib + NVP-AEW541
3714,AZD6482 + BYL719
4048,AZD6482 + LGX818
4062,AZD6482 + LGX818 + BYL719
4061,AZD6482 + LGX818 + NVP-AEW541
3718,AZD6482 + Niraparib
4044,AZD6482 + NVP-AEW541
3719,AZD6482 + Olaparib
3721,AZD6482 + Rucaparib
3717,AZD6482 + Talazoparib
3720,AZD6482 + Veliparib
2881,AZD6738
4737,AZD6738 + Carboplatin
3876,AZD6738 + Cisplatin
3877,AZD6738 + Ibrutinib
4738,AZD6738 + MEDI4736
4739,AZD6738 + Olaparib
5565,AZD6738 + Paclitaxel
5346,AZD6738 + Radiotherapy
2652,AZD6918
2680,AZD7451
656,AZD7762
1755,AZD7762 + Cisplatin
1968,AZD7762 + Gemcitabine
4050,AZD7762 + Hydroxyurea + VE-821
4191,AZD7762 + Ixazomib
4051,AZD7762 + VE-821
4057,AZD7762 + VX-970
1519,AZD8055
5023,AZD8055 + Binimetinib
6008,AZD8055 + Cetuximab
3017,AZD8055 + MK-1775
4966,AZD8055 + MK2206
4994,AZD8055 + SCH772984
2561,AZD8055 + Selumetinib
992,AZD8186
4987,AZD8186 + BVD-523
3749,AZD8186 + BYL719
3750,AZD8186 + BYL719 + Enzalutamide
6046,AZD8186 + Docetaxel
3752,AZD8186 + Enzalutamide
4986,AZD8186 + SCH772984
5868,AZD8186 + Vistusertib
658,AZD8330
2013,AZD8835
3753,AZD8835 + Fulvestrant
3754,AZD8835 + Fulvestrant + Palbociclib
3755,AZD8835 + Palbociclib
2782,AZD9150 
3098,AZD9150 + MEDI4736
4718,AZD9150 + Selumetinib
4502,AZD9291 + JNJ-61186372
2223,AZD9291 + MEDI4736
2994,AZD9291 + MLN0128
2997,AZD9496
4293,AZD9496 + AZD8835
4294,AZD9496 + Palbociclib
4295,AZD9496 + Vistusertib
2934,B-701
5615,B-701 + Atezolizumab
4831,B-701 + Pembrolizumab
2622,B02
2623,B02 + Aldoxorubicin
5018,B02 + Veliparib
661,Bafetinib
4763,Baicalein
4908,BAL101553
5323,Balsalazide + Parthenolide
662,Barasertib
6112,Barasertib + Navitoclax
1809,Bardoxolone methyl
2751,Baricitinib
5985,Basiliximab
6258,Basiliximab + 90Y basiliximab + Carmustine + Cytarbine + Etoposide + Melphalan
3545,Bavituximab
3684,Bavituximab + Capecitabine
4698,Bavituximab + Docetaxel
5138,Bavituximab + Sorafenib
5634,Bavituximab + Temozolomide
5408,BAY 11-7082
5409,BAY 11-7082 + Erlotinib
5651,BAY 1129980
2598,BAY 1238097 
3987,BAY 1436032
2665,BAY 61-3606
5746,BAY-826
2876,BAY-853474
663,BAY1000394
666,BAY1082439
3655,BAY11-7085
994,BAY1125976
4027,BAY1143572
3445,BAY1161909
3448,BAY1161909 + Paclitaxel
