,drugName,id,terms,Therapies_id
1,2B3-101,7081,['2B3-101'],1274
0,2G8,7365,"['2G8', 'murine TGFRB2 antibody']",1942
0,3144,8736,['3144'],5658
0,4SC-202,8361,['4SC-202'],4136
0,4SC-205,8362,['4SC-205'],4137
0,5-Fluoro-2-deoxycytidine,8240,"['5-Fluoro-2-deoxycytidine', 'FdCyd']",3788
0,6MHP vaccine,7614,['6MHP vaccine'],2620
0,79-6,8668,['79-6'],5339
0,7RH,8740,['7RH'],5669
0,LY411575,7578,['LY411575'],5670
1,7RH,8740,['7RH'],5670
0,81C6,7431,"['81C6', 'Neuradiab', 'iodine I 131 monoclonal antibody 81C6']",2131
0,90Y basiliximab,7540,['90Y basiliximab'],2485
0,9F7-F11,8877,['9F7-F11'],5976
0,A-1155463,7588,['A-1155463'],2576
0,BETd-246,8725,['BETd-246'],5665
1,A-1155463,7588,['A-1155463'],5665
0,A-1155905,8013,['A-1155905'],3288
0,A-1208746,8011,['A-1208746'],3286
0,A-1210477,8006,['A-1210477'],3276
0,A-1331852,7590,['A-1331852'],5110
1,A-1210477,8006,['A-1210477'],5110
0,Cobimetinib,7123,"['Cobimetinib', 'Cotellic', 'GDC-0973']",5091
1,A-1210477,8006,['A-1210477'],5091
0,Cobimetinib,7123,"['Cobimetinib', 'Cotellic', 'GDC-0973']",5093
1,Vemurafenib,6791,"['Vemurafenib', 'Zelboraf', 'PLX4032', 'RO5185426']",5093
2,A-1210477,8006,['A-1210477'],5093
0,A-1210477,8006,['A-1210477'],6068
1,G-TPP,8906,"['G-TPP', 'Gamitrinib-TPP']",6068
0,Lapatinib,1246,"['Lapatinib', 'Tykerb', 'FMM']",5394
1,WEHI-539,8674,['WEHI-539'],5394
2,A-1210477,8006,['A-1210477'],5394
0,A-1210477,8006,['A-1210477'],5092
1,Vemurafenib,6791,"['Vemurafenib', 'Zelboraf', 'PLX4032', 'RO5185426']",5092
0,WEHI-539,8674,['WEHI-539'],5392
1,A-1210477,8006,['A-1210477'],5392
0,A-1248767,8012,['A-1248767'],3287
0,A-1331852,7590,['A-1331852'],2578
0,A-1331852,7590,['A-1331852'],5111
1,BKM120,6875,"['BKM120', 'BKM-120', 'Buparlisib']",5111
0,Docetaxel,1235,"['Docetaxel', 'Taxotere', 'Docefrez', 'Docetaxel anhydrous']",2579
1,A-1331852,7590,['A-1331852'],2579
0,A-1331852,7590,['A-1331852'],5109
1,Ipatasertib,6909,"['Ipatasertib', 'GDC-0068']",5109
0,A-395,8846,['A-395'],5889
0,A-443654,7531,['A-443654'],2448
0,A-674563,8689,['A-674563'],5437
0,A-770041,8866,['A-770041'],5945
0,A-770041,8866,['A-770041'],5947
1,PRT062607,8235,"['PRT062607', 'BIIB057', 'P505-15']",5947
0,R406,8236,['R406'],5948
1,A-770041,8866,['A-770041'],5948
0,A-966492,7861,['A-966492'],2945
0,A-dmDT390-bisFv(UCHT1),8618,"['A-dmDT390-bisFv(UCHT1)', 'anti-T cell immunotoxin A-dmDT390-bisFv(UCHT1)', 'Resimmune']",5136
0,A-dmDT390-bisFv(UCHT1),8618,"['A-dmDT390-bisFv(UCHT1)', 'anti-T cell immunotoxin A-dmDT390-bisFv(UCHT1)', 'Resimmune']",5137
1,Pembrolizumab,7262,"['Pembrolizumab', 'Keytruda', 'MK-3475']",5137
0,A3,8099,"['A3', 'TK-A3']",3495
0,A66,7056,['A66'],617
0,AZD6482,7058,['AZD6482'],3707
1,A66,7056,['A66'],3707
0,A66,7056,['A66'],3708
1,GSK2636771,6921,['GSK2636771'],3708
0,A83-01,7708,['A83-01'],2757
0,AB-16B5,8408,['AB-16B5'],4317
0,AB0023,8511,['AB0023'],4677
0,AB61,8348,['AB61'],4099
0,Abagovomab,7819,['Abagovomab'],2892
0,Abarelix,101,"['Abarelix', 'Plenaxis']",618
0,ABBV-075,8328,"['ABBV-075', 'Mivebresib']",4028
0,Azacitidine,917,"['Azacitidine', 'Vidaza', '5-AC', '5-azacytidine', 'azacytidine', 'CC-486', 'U-18496']",5924
1,ABBV-075,8328,"['ABBV-075', 'Mivebresib']",5924
0,Bortezomib,181,"['Bortezomib', 'Velcade']",5925
1,ABBV-075,8328,"['ABBV-075', 'Mivebresib']",5925
0,ABBV-075,8328,"['ABBV-075', 'Mivebresib']",5923
1,Venetoclax,7284,"['Venetoclax', 'Venclexta ', 'ABT-199', 'GDC-0199', 'RG7601']",5923
0,ABBV-085,8266,['ABBV-085'],3846
0,ABBV-181,8786,['ABBV-181'],5766
0,ABBV-221,7837,['ABBV-221'],2914
0,ABBV-368,8693,['ABBV-368'],5446
0,ABBV-368,8693,['ABBV-368'],5447
1,Nivolumab,7235,"['Nivolumab', 'Opdivo', 'BMS-936558', 'MDX-1106']",5447
0,ABBV-399,7247,['ABBV-399'],1363
0,Bevacizumab,107,"['Bevacizumab', 'Avastin']",1366
1,ABBV-399,7247,['ABBV-399'],1366
0,ABBV-399,7247,['ABBV-399'],1743
1,Carboplatin,947,"['Carboplatin', 'Paraplatin', 'CBDCA']",1743
0,ABBV-399,7247,['ABBV-399'],1365
1,Cetuximab,2,"['Cetuximab', 'Erbitux']",1365
0,Erlotinib,520,"['Erlotinib', 'Tarceva', 'CP358774']",1364
1,ABBV-399,7247,['ABBV-399'],1364
0,ABBV-428,8601,['ABBV-428'],5050
0,Nivolumab,7235,"['Nivolumab', 'Opdivo', 'BMS-936558', 'MDX-1106']",5051
1,ABBV-428,8601,['ABBV-428'],5051
0,ABBV-621,8777,['ABBV-621'],5756
0,ABBV-927,8619,['ABBV-927'],5142
0,ABBV-927,8619,['ABBV-927'],5143
1,Nivolumab,7235,"['Nivolumab', 'Opdivo', 'BMS-936558', 'MDX-1106']",5143
0,ABC294640,8021,['ABC294640'],3301
0,ABC294640,8021,['ABC294640'],5617
1,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",5617
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",802
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",2255
1,Anastrozole,1204,"['Anastrozole', 'Arimidex', 'Anastrozol']",2255
0,Anastrozole,1204,"['Anastrozole', 'Arimidex', 'Anastrozol']",1854
1,Letrozole,995,"['Letrozole', 'Femara', 'Letrozol']",1854
2,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",1854
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5516
1,Xentuzumab,7839,"['Xentuzumab', 'BI 836845']",5516
2,Anastrozole,1204,"['Anastrozole', 'Arimidex', 'Anastrozol']",5516
0,Clarithromycin,1198,"['Clarithromycin', 'Biaxin', 'Clarithromycine']",1690
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",1690
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4127
1,Everolimus,1530,"['Everolimus', 'Afinitor', 'RAD001', 'Zortress']",4127
0,Exemestane,979,"['Exemestane', 'Aromasin', 'Exemestano [INN-Spanish]']",2257
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",2257
0,Fulvestrant,936,"['Fulvestrant', 'Faslodex', 'ICI 182,780']",5859
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5859
0,Fulvestrant,936,"['Fulvestrant', 'Faslodex', 'ICI 182,780']",5517
1,Xentuzumab,7839,"['Xentuzumab', 'BI 836845']",5517
2,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5517
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5176
1,Galunisertib,7515,"['Galunisertib', 'LY2157299']",5176
0,Lapatinib,1246,"['Lapatinib', 'Tykerb', 'FMM']",4731
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4731
0,Letrozole,995,"['Letrozole', 'Femara', 'Letrozol']",2254
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",2254
0,Letrozole,995,"['Letrozole', 'Femara', 'Letrozol']",5515
1,Xentuzumab,7839,"['Xentuzumab', 'BI 836845']",5515
2,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5515
0,Loperamide,826,"['Loperamide', 'Apo-Loperamide', 'Not Available']",4387
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4387
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5175
1,LY3023414,7186,['LY3023414'],5175
0,LY3039478,7872,['LY3039478'],4373
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4373
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4242
1,Pembrolizumab,7262,"['Pembrolizumab', 'Keytruda', 'MK-3475']",4242
0,Ramucirumab,7001,"['Ramucirumab', 'Cyramza', 'LY3009806']",4209
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4209
0,Tamoxifen,665,"['Tamoxifen', 'Nolvadex', 'ICI-46474']",2256
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",2256
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5028
1,Temozolomide,843,"['Temozolomide', 'Temodar', 'Methazolastone']",5028
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",4128
1,Torin 2,7474,['Torin 2'],4128
0,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",2259
1,Trastuzumab,71,"['Trastuzumab', 'Herceptin', 'Anti HER2']",2259
0,Xentuzumab,7839,"['Xentuzumab', 'BI 836845']",5514
1,Abemaciclib,6942,"['Abemaciclib', 'Verzenio', 'LY2835219']",5514
0,Abexinostat,7197,"['Abexinostat', 'CRA-024781', 'PCI-24781', 'S-78454']",1081
0,Aldoxorubicin,7260,"['Aldoxorubicin', 'doxorubicin prodrug INNO-206', 'INNO-206']",3381
1,Abexinostat,7197,"['Abexinostat', 'CRA-024781', 'PCI-24781', 'S-78454']",3381
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",1805
0,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",2553
1,Alisertib,6832,"['Alisertib', 'MLN8237']",2553
2,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",2553
0,Degarelix,4756,"['Degarelix', 'Firmagon', 'FE200486']",4510
1,Indomethacin,321,"['Indomethacin', 'Amuno', 'IMN']",4510
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4510
3,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4510
4,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",4510
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5523
1,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",5523
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",5523
3,Degarelix,4756,"['Degarelix', 'Firmagon', 'FE200486']",5523
0,Docetaxel,1235,"['Docetaxel', 'Taxotere', 'Docefrez', 'Docetaxel anhydrous']",4767
1,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4767
2,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4767
3,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",4767
0,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",5743
1,Gonadorelin,634,"['Gonadorelin', 'AY-24031', 'Dirigestran', 'GnRH', 'LHRHA']",5743
2,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5743
3,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",5743
0,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",4509
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4509
2,Indomethacin,321,"['Indomethacin', 'Amuno', 'IMN']",4509
3,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4509
0,Leuprolide,7,"['Leuprolide', 'Lupron', 'Leuprorelin']",4206
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4206
2,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",4206
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4758
1,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",4758
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4758
3,Leuprolide,7,"['Leuprolide', 'Lupron', 'Leuprorelin']",4758
0,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",2649
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",2649
2,Apalutamide,7369,"['Apalutamide', 'ARN-509', 'JNJ-56021927']",2649
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",2499
1,BKM120,6875,"['BKM120', 'BKM-120', 'Buparlisib']",2499
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",2499
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4759
1,Cabazitaxel,7288,"['Cabazitaxel', 'Jevtana', 'RPR-116258A', 'XRP6258']",4759
2,Enzalutamide,7230,"['Enzalutamide', 'XTANDI', 'MDV3100']",4759
3,Carboplatin,947,"['Carboplatin', 'Paraplatin', 'CBDCA']",4759
4,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4759
0,Cabozantinib,7115,"['Cabozantinib', 'Cometriq', 'Cabometyx', 'Cabozantinib-s-malate', 'XL184']",4770
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4770
0,Dasatinib,1241,"['Dasatinib', 'Sprycel', 'BMS-354825']",1818
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",1818
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4182
1,Enzalutamide,7230,"['Enzalutamide', 'XTANDI', 'MDV3100']",4182
2,Denosumab,7220,"['Denosumab', 'Xgeva', 'AMG 162', 'AMG-162', 'AMG162', 'Prolia']",4182
3,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4182
0,Dutasteride,1113,"['Dutasteride', 'Avodart', 'Not Available']",5340
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5340
0,GSK525762,7066,"['GSK525762', 'I-BET762']",6034
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",6034
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5438
1,Ipatasertib,6909,"['Ipatasertib', 'GDC-0068']",5438
0,Leuprolide,7,"['Leuprolide', 'Lupron', 'Leuprorelin']",3079
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",3079
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",3079
0,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4678
1,Methylprednisolone,948,"['Methylprednisolone', 'Artisone-Wyeth', '6alpha-Methylprednisolone']",4678
0,Navitoclax,6961,"['Navitoclax', 'ABT-263']",2597
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",2597
0,Niclosamide,4811,"['Niclosamide', 'Niclocide']",4377
1,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",4377
2,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",4377
0,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",2748
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",2748
0,Olaparib,6971,"['Olaparib', 'Lynparza', 'AZD2281', 'KU-0059436']",5226
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5226
2,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",5226
0,Prednisone,625,"['Prednisone', 'Adasone', 'Dehydrocortisone']",5913
1,Veliparib,7042,"['Veliparib', 'ABT-888']",5913
2,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",5913
0,Sunitinib,1255,"['Sunitinib', 'Sutent', 'SU011248']",1817
1,Abiraterone,4697,"['Abiraterone', 'Zytiga', 'CB7630']",1817
0,Asciminib,7539,"['Asciminib', 'ABL001']",2484
0,ABP 980,8952,['ABP 980'],6243
0,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",619
0,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",1144
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1144
2,Bevacizumab,107,"['Bevacizumab', 'Avastin']",1144
0,Azacitidine,917,"['Azacitidine', 'Vidaza', '5-AC', '5-azacytidine', 'azacytidine', 'CC-486', 'U-18496']",1950
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1950
0,Erlotinib,520,"['Erlotinib', 'Tarceva', 'CP358774']",1496
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1496
2,Bevacizumab,107,"['Bevacizumab', 'Avastin']",1496
0,Carboplatin,947,"['Carboplatin', 'Paraplatin', 'CBDCA']",1957
1,Cetuximab,2,"['Cetuximab', 'Erbitux']",1957
2,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1957
0,Cisplatin,505,"['Cisplatin', 'Platinol', 'CDDP']",1859
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1859
2,Carboplatin,947,"['Carboplatin', 'Paraplatin', 'CBDCA']",1859
0,Cisplatin,505,"['Cisplatin', 'Platinol', 'CDDP']",1956
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1956
2,Cetuximab,2,"['Cetuximab', 'Erbitux']",1956
0,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",2204
1,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",2204
2,Metformin,323,"['Metformin', 'Glucophage', 'Apo-Metformin']",2204
0,Sorafenib,390,"['Sorafenib', 'Nexavar', 'BAY 43-9006']",2429
1,Vorinostat,7193,"['Vorinostat', 'Zolinza', 'L-001079038', 'MSK390', 'SAHA']",2429
2,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",2429
3,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",2429
0,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",2490
1,Nilotinib,4655,"['Nilotinib', 'Tasigna', 'AMN-107']",2490
0,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",2489
1,Nivolumab,7235,"['Nivolumab', 'Opdivo', 'BMS-936558', 'MDX-1106']",2489
0,Ramucirumab,7001,"['Ramucirumab', 'Cyramza', 'LY3009806']",2039
1,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",2039
0,nab-paclitaxel,6828,"['nab-paclitaxel', 'Abraxane', 'ABI-007']",1380
1,Bevacizumab,107,"['Bevacizumab', 'Avastin']",1380
2,Temozolomide,843,"['Temozolomide', 'Temodar', 'Methazolastone']",1380
0,CGM097,7415,"['CGM097', 'NVP-CGM097']",5319
1,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5319
2,Alpelisib,6882,"['Alpelisib', 'BYL719']",5319
3,Navitoclax,6961,"['Navitoclax', 'ABT-263']",5319
0,Dabrafenib,6819,"['Dabrafenib', 'Tafinlar', 'GSK2118436']",5318
1,Alpelisib,6882,"['Alpelisib', 'BYL719']",5318
2,Navitoclax,6961,"['Navitoclax', 'ABT-263']",5318
3,Erlotinib,520,"['Erlotinib', 'Tarceva', 'CP358774']",5318
0,Erlotinib,520,"['Erlotinib', 'Tarceva', 'CP358774']",5316
1,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5316
2,Alpelisib,6882,"['Alpelisib', 'BYL719']",5316
3,Navitoclax,6961,"['Navitoclax', 'ABT-263']",5316
0,Navitoclax,6961,"['Navitoclax', 'ABT-263']",5317
1,Dabrafenib,6819,"['Dabrafenib', 'Tafinlar', 'GSK2118436']",5317
2,PF-04217903,6985,['PF-04217903'],5317
3,CGM097,7415,"['CGM097', 'NVP-CGM097']",5317
0,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5315
1,Navitoclax,6961,"['Navitoclax', 'ABT-263']",5315
2,CGM097,7415,"['CGM097', 'NVP-CGM097']",5315
0,ABT-348,7082,"['ABT-348', 'ilorasertib']",975
0,ABT-414,7085,['ABT-414'],976
0,Radiotherapy,8264,['Radiotherapy'],4346
1,Temozolomide,843,"['Temozolomide', 'Temodar', 'Methazolastone']",4346
2,ABT-414,7085,['ABT-414'],4346
0,ABT-700,7182,"['ABT-700', 'h224G11']",1063
0,ABT-737,7337,['ABT-737'],1772
0,Anti-CD19 CAR T cells,8150,['Anti-CD19 CAR T cells'],3586
1,ABT-737,7337,['ABT-737'],3586
0,ABT-737,7337,['ABT-737'],5191
1,AZD8055,7276,['AZD8055'],5191
2,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5191
0,BEZ235,6868,"['BEZ235', 'Dactolisib', 'NVP-BEZ235']",5381
1,ABT-737,7337,['ABT-737'],5381
0,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5192
1,BEZ235,6868,"['BEZ235', 'Dactolisib', 'NVP-BEZ235']",5192
2,ABT-737,7337,['ABT-737'],5192
0,Cisplatin,505,"['Cisplatin', 'Platinol', 'CDDP']",3919
1,ABT-737,7337,['ABT-737'],3919
0,ABT-737,7337,['ABT-737'],3918
1,Doxorubicin,986,"['Doxorubicin', 'Adriamycin', 'ADR', 'Adria']",3918
0,ABT-737,7337,['ABT-737'],3920
1,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",3920
0,Trametinib,6818,"['Trametinib', 'Mekinist', 'GSK1120212']",5193
1,MK2206,6953,"['MK2206', 'MK-2206']",5193
2,ABT-737,7337,['ABT-737'],5193
0,Sapanisertib,7232,"['Sapanisertib', 'INK128', 'MLN0128', 'sapanisertib', 'TAK-228']",5388
1,ABT-737,7337,['ABT-737'],5388
0,ABT-737,7337,['ABT-737'],5187
1,Perifosine,6981,"['Perifosine', 'KRX-0401']",5187
0,ABT-751,8367,"['ABT-751', 'E7010']",4151
0,ABT-751,8367,"['ABT-751', 'E7010']",4152
1,Irinotecan,752,"['Irinotecan', 'Camptosar', 'CPT-11']",4152
2,Capecitabine,1088,"['Capecitabine', 'Xeloda', 'R340']",4152
3,Bevacizumab,107,"['Bevacizumab', 'Avastin']",4152
0,Fenretinide,4681,"['Fenretinide', '4-HPR', 'fenretinimide', 'McN-R-1967']",4909
1,ABT-751,8367,"['ABT-751', 'E7010']",4909
0,ABT-767,8359,['ABT-767'],4133
0,ABT-806,8390,['ABT-806'],4256
0,ABTL0812,7444,['ABTL0812'],2151
0,AC0010MA,7832,['AC0010MA'],2909
0,AC480,7086,"['AC480', 'BMS-599626']",977
0,AC708,7782,['AC708'],2845
0,Acalabrutinib,7296,"['Acalabrutinib', 'ACP-196']",1605
0,Acalabrutinib,7296,"['Acalabrutinib', 'ACP-196']",5466
1,ACP-319,7997,['ACP-319'],5466
0,Acalabrutinib,7296,"['Acalabrutinib', 'ACP-196']",3996
1,Bendamustine,7225,"['Bendamustine', 'Treanda', 'Ribomustin', 'SDX-105', 'SyB L-0501']",3996
2,Rituximab,72,"['Rituximab', 'Rituxan', 'AntiCD20']",3996
0,Acalabrutinib,7296,"['Acalabrutinib', 'ACP-196']",3477
1,Obinutuzumab,7305,"['Obinutuzumab', 'Gazyva', 'afutuzumab', 'GA-101', 'GA101', 'R7159', 'RO 5072759']",3477
0,Acalabrutinib,7296,"['Acalabrutinib', 'ACP-196']",6188
1,Vistusertib,7107,"['Vistusertib', 'AZD2014']",6188
0,Ondansetron,893,"['Ondansetron', 'Apo-ondansetron', 'Not Available']",3939
1,Diphenhydramine,1062,"['Diphenhydramine', 'Aleryl']",3939
2,Acetaminophen,309,"['Acetaminophen', 'Abenol', 'APAP']",3939
3,Dexamethasone,1221,"['Dexamethasone', 'Adexone', 'Desametasone']",3939
0,ACP-319,7997,['ACP-319'],3265
0,Ricolinostat,7297,"['Ricolinostat', 'ACY-1215']",1613
0,Ricolinostat,7297,"['Ricolinostat', 'ACY-1215']",5251
1,Bortezomib,181,"['Bortezomib', 'Velcade']",5251
2,Dexamethasone,1221,"['Dexamethasone', 'Adexone', 'Desametasone']",5251
0,Gemcitabine,433,"['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide']",4526
1,Ricolinostat,7297,"['Ricolinostat', 'ACY-1215']",4526
2,Cisplatin,505,"['Cisplatin', 'Platinol', 'CDDP']",4526
0,Ricolinostat,7297,"['Ricolinostat', 'ACY-1215']",4907
1,Dexamethasone,1221,"['Dexamethasone', 'Adexone', 'Desametasone']",4907
2,Lenalidomide,7212,"['Lenalidomide', 'Revlimid', 'IMiD-1']",4907
0,Ibrutinib,6923,"['Ibrutinib', 'Imbruvica', 'PCI-32765']",4272
1,Ricolinostat,7297,"['Ricolinostat', 'ACY-1215']",4272
