id,pubMedId,title,url
25,2362213,Nursing shortage. Catalyst for administrative/educational partnership.,http://www.ncbi.nlm.nih.gov/pubmed/2362213
26,23455880,KRAS allel-specific activity of sunitinib in an isogenic disease model of colorectal cancer.,http://www.ncbi.nlm.nih.gov/pubmed/23455880
27,21810517,Predictive molecular classifiers in colorectal cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21810517
28,19629070,"Targeting PI3K signalling in cancer: opportunities, challenges and limitations.",http://www.ncbi.nlm.nih.gov/pubmed/19629070
29,239483,[Effect of the characteristics of various alimentary stimuli and changes in the pH of the duodenal content on the acid-forming function of the stomach].,http://www.ncbi.nlm.nih.gov/pubmed/239483
30,2283317,Histochemical response of mice to mistletoe lectin I (ML I).,http://www.ncbi.nlm.nih.gov/pubmed/2283317
31,2327506,Diagnostic criteria for epilepsy-related mental changes.,http://www.ncbi.nlm.nih.gov/pubmed/2327506
32,10473107,The Trk tyrosine kinase inhibitor CEP-701 (KT-5555) exhibits significant antitumor efficacy in preclinical xenograft models of human pancreatic ductal adenocarcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/10473107
33,12082455,A phase I/II trial of rAd/p53 (SCH 58500) gene replacement in recurrent ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/12082455
34,12082456,Long term follow-up of patients with recurrent ovarian cancer after Ad p53 gene replacement with SCH 58500.,http://www.ncbi.nlm.nih.gov/pubmed/12082456
35,15297186,A phase I study of Adp53 (INGN 201; ADVEXIN) for patients with platinum- and paclitaxel-resistant epithelial ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/15297186
36,16820176,Methylnaltrexone inhibits opiate and VEGF-induced angiogenesis: role of receptor transactivation.,http://www.ncbi.nlm.nih.gov/pubmed/16820176
37,17243944,Vandetanib (ZD6474): an orally available receptor tyrosine kinase inhibitor that selectively targets pathways critical for tumor growth and angiogenesis.,http://www.ncbi.nlm.nih.gov/pubmed/17243944
38,18528634,Phase 1 study of TAS-102 administered once daily on a 5-day-per-week schedule in patients with solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/18528634
39,19621448,"Immunization with a P53 synthetic long peptide vaccine induces P53-specific immune responses in ovarian cancer patients, a phase II trial.",http://www.ncbi.nlm.nih.gov/pubmed/19621448
40,19661297,"Methylnaltrexone, a peripherally acting opioid receptor antagonist, enhances tumoricidal effects of 5-Fu on human carcinoma cells.",http://www.ncbi.nlm.nih.gov/pubmed/19661297
41,19832844,E7050: a dual c-Met and VEGFR-2 tyrosine kinase inhibitor promotes tumor regression and prolongs survival in mouse xenograft models.,http://www.ncbi.nlm.nih.gov/pubmed/19832844
42,20145185,"AZD8931, an equipotent, reversible inhibitor of signaling by epidermal growth factor receptor, ERBB2 (HER2), and ERBB3: a unique agent for simultaneous ERBB receptor blockade in cancer.",http://www.ncbi.nlm.nih.gov/pubmed/20145185
43,20388807,"CUDC-101, a multitargeted inhibitor of histone deacetylase, epidermal growth factor receptor, and human epidermal growth factor receptor 2, exerts potent anticancer activity.",http://www.ncbi.nlm.nih.gov/pubmed/20388807
44,20573926,Gefitinib or chemotherapy for non-small-cell lung cancer with mutated EGFR.,http://www.ncbi.nlm.nih.gov/pubmed/20573926
45,20823884,Phase I and pharmacological study of the broad-spectrum tyrosine kinase inhibitor JNJ-26483327 in patients with advanced solid tumours.,http://www.ncbi.nlm.nih.gov/pubmed/20823884
46,20935223,"Preclinical evaluation of AMG 900, a novel potent and highly selective pan-aurora kinase inhibitor with activity in taxane-resistant tumor cell lines.",http://www.ncbi.nlm.nih.gov/pubmed/20935223
47,21177375,ENMD-2076 is an orally active kinase inhibitor with antiangiogenic and antiproliferative mechanisms of action.,http://www.ncbi.nlm.nih.gov/pubmed/21177375
48,21328579,Long-term clinical and immunological effects of p53-SLP® vaccine in patients with ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21328579
49,21378200,"Phase I evaluation of telatinib, a VEGF receptor tyrosine kinase inhibitor, in combination with bevacizumab in subjects with advanced solid tumors.",http://www.ncbi.nlm.nih.gov/pubmed/21378200
50,21389100,"MK-1775, a potent Wee1 inhibitor, synergizes with gemcitabine to achieve tumor regressions, selectively in p53-deficient pancreatic cancer xenografts.",http://www.ncbi.nlm.nih.gov/pubmed/21389100
51,21463133,Chimeric antigen receptor (CAR)-engineered lymphocytes for cancer therapy.,http://www.ncbi.nlm.nih.gov/pubmed/21463133
52,21490702,Effects of brain-derived neurotrophic factor on local inflammation in experimental stroke of rat.,http://www.ncbi.nlm.nih.gov/pubmed/21490702
53,21576284,"Phase I safety, pharmacokinetic and pharmacodynamic trial of BMS-599626 (AC480), an oral pan-HER receptor tyrosine kinase inhibitor, in patients with advanced solid tumors.",http://www.ncbi.nlm.nih.gov/pubmed/21576284
54,21613405,VEGF and c-Met blockade amplify angiogenesis inhibition in pancreatic islet cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21613405
55,21622725,"Brivanib, a dual FGF/VEGF inhibitor, is active both first and second line against mouse pancreatic neuroendocrine tumors developing adaptive/evasive resistance to VEGF inhibition.",http://www.ncbi.nlm.nih.gov/pubmed/21622725
56,21843052,Recombinant modified vaccinia virus ankara (MVA) expressing wild-type human p53 induces specific antitumor CTL expansion.,http://www.ncbi.nlm.nih.gov/pubmed/21843052
57,21921616,"The pathogenesis of acute kidney injury and the toxic triangle of oxygen, reactive oxygen species and nitric oxide.",http://www.ncbi.nlm.nih.gov/pubmed/21921616
58,21927947,A gynecologic oncology group phase II trial of two p53 peptide vaccine approaches: subcutaneous injection and intravenous pulsed dendritic cells in high recurrence risk ovarian cancer patients.,http://www.ncbi.nlm.nih.gov/pubmed/21927947
59,22146228,Multi-targeted tyrosine kinase inhibitors in clinical development: focus on XL-184 (cabozantinib).,http://www.ncbi.nlm.nih.gov/pubmed/22146228
60,22302096,The aurora kinase A inhibitor MLN8237 enhances cisplatin-induced cell death in esophageal adenocarcinoma cells.,http://www.ncbi.nlm.nih.gov/pubmed/22302096
61,22351689,RAF265 inhibits the growth of advanced human melanoma tumors.,http://www.ncbi.nlm.nih.gov/pubmed/22351689
62,22516948,"A phase I study of E7080, a multitargeted tyrosine kinase inhibitor, in patients with advanced solid tumours.",http://www.ncbi.nlm.nih.gov/pubmed/22516948
63,22753918,"Randomized phase II study of dacomitinib (PF-00299804), an irreversible pan-human epidermal growth factor receptor inhibitor, versus erlotinib in patients with advanced non-small-cell lung cancer.",http://www.ncbi.nlm.nih.gov/pubmed/22753918
64,22833179,Phase 2 trial of linifanib (ABT-869) in patients with unresectable or metastatic hepatocellular carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/22833179
65,22869872,Targeting the hepatocyte growth factor-cMET axis in cancer therapy.,http://www.ncbi.nlm.nih.gov/pubmed/22869872
66,22878519,A phase I study of BMS-690514 in Japanese patients with advanced or metastatic solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/22878519
67,22903472,Analysis of functional germline polymorphisms for prediction of response to anthracycline-based neoadjuvant chemotherapy in breast cancer.,http://www.ncbi.nlm.nih.gov/pubmed/22903472
68,22921155,"ENMD-2076, an oral inhibitor of angiogenic and proliferation kinases, has activity in recurrent, platinum resistant ovarian cancer.",http://www.ncbi.nlm.nih.gov/pubmed/22921155
69,22928785,Randomized phase II study of danusertib in patients with metastatic castration-resistant prostate cancer after docetaxel failure.,http://www.ncbi.nlm.nih.gov/pubmed/22928785
70,22935731,"Preclinical characterization of ABT-348, a kinase inhibitor targeting the aurora, vascular endothelial growth factor receptor/platelet-derived growth factor receptor, and Src kinase families.",http://www.ncbi.nlm.nih.gov/pubmed/22935731
71,22972611,"The combination of alisertib, an investigational Aurora kinase A inhibitor, and docetaxel promotes cell death and reduces tumor growth in preclinical cell models of upper gastrointestinal adenocarcinomas.",http://www.ncbi.nlm.nih.gov/pubmed/22972611
72,22997455,"Metastatic non-small-cell lung cancer (NSCLC): ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up.",http://www.ncbi.nlm.nih.gov/pubmed/22997455
73,23292795,Cabozantinib as a novel therapy for renal cell carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/23292795
74,23294134,"Dacomitinib, a new therapy for the treatment of non-small cell lung cancer.",http://www.ncbi.nlm.nih.gov/pubmed/23294134
75,23372346,Efficacy and safety evaluation of icotinib in patients with advanced non-small cell lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/23372346
76,23411383,Second-generation epidermal growth factor receptor tyrosine kinase inhibitors in lung cancers.,http://www.ncbi.nlm.nih.gov/pubmed/23411383
77,23443805,Activity of the fibroblast growth factor receptor inhibitors dovitinib (TKI258) and NVP-BGJ398 in human endometrial cancer cells.,http://www.ncbi.nlm.nih.gov/pubmed/23443805
78,23490650,"Phase I-IIa study of BMS-690514, an EGFR, HER-2 and -4 and VEGFR-1 to -3 oral tyrosine kinase inhibitor, in patients with advanced or metastatic solid tumours.",http://www.ncbi.nlm.nih.gov/pubmed/23490650
79,23670029,"P53 mutations in advanced cancers: clinical characteristics, outcomes, and correlation between progression-free survival and bevacizumab-containing therapy.",http://www.ncbi.nlm.nih.gov/pubmed/23670029
80,23699655,Preclinical evaluation of the WEE1 inhibitor MK-1775 as single-agent anticancer therapy.,http://www.ncbi.nlm.nih.gov/pubmed/23699655
81,23729403,"BIBF 1120 (nintedanib), a triple angiokinase inhibitor, induces hypoxia but not EMT and blocks progression of preclinical models of lung and pancreatic cancer.",http://www.ncbi.nlm.nih.gov/pubmed/23729403
82,23896512,Combination therapy with anti-ErbB3 monoclonal antibodies and EGFR TKIs potently inhibits non-small cell lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/23896512
83,23918952,"Apatinib for chemotherapy-refractory advanced metastatic gastric cancer: results from a randomized, placebo-controlled, parallel-arm, phase II trial.",http://www.ncbi.nlm.nih.gov/pubmed/23918952
84,24009732,The conformational control inhibitor of tyrosine kinases DCC-2036 is effective for imatinib-resistant cells expressing T674I FIP1L1-PDGFRα.,http://www.ncbi.nlm.nih.gov/pubmed/24009732
85,24019543,Preserving the sanctity of overall survival for drugs approved on the basis of progression-free survival: tivozanib as a case study.,http://www.ncbi.nlm.nih.gov/pubmed/24019543
86,24019545,Tivozanib versus sorafenib as initial targeted therapy for patients with metastatic renal cell carcinoma: results from a phase III trial.,http://www.ncbi.nlm.nih.gov/pubmed/24019545
87,24043137,"Phase I study of the safety, pharmacokinetics and antitumor activity of famitinib.",http://www.ncbi.nlm.nih.gov/pubmed/24043137
88,24124571,Targeting wild-type and mutationally activated FGFR4 in rhabdomyosarcoma with the inhibitor ponatinib (AP24534).,http://www.ncbi.nlm.nih.gov/pubmed/24124571
89,24166903,"Phase I safety, pharmacokinetic, and pharmacodynamic study of SAR245408 (XL147), an oral pan-class I PI3K inhibitor, in patients with advanced solid tumors.",http://www.ncbi.nlm.nih.gov/pubmed/24166903
90,24190702,A phase 1b clinical trial of the multi-targeted tyrosine kinase inhibitor lenvatinib (E7080) in combination with everolimus for treatment of metastatic renal cell carcinoma (RCC).,http://www.ncbi.nlm.nih.gov/pubmed/24190702
91,24238512,Famitinib in metastatic renal cell carcinoma: a single center study.,http://www.ncbi.nlm.nih.gov/pubmed/24238512
92,24305878,Dramatic antitumor effects of the dual MET/RON small-molecule inhibitor LY2801653 in non-small cell lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/24305878
93,24312144,"Molecular Targeted Drugs and Biomarkers in NSCLC, the Evolving Role of Individualized Therapy.",http://www.ncbi.nlm.nih.gov/pubmed/24312144
94,24323026,Phase I study of neratinib in combination with temsirolimus in patients with human epidermal growth factor receptor 2-dependent and other solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/24323026
95,24360368,"Randomised, double-blind trial of carboplatin and paclitaxel with daily oral cediranib or placebo in patients with advanced non-small cell lung cancer: NCIC Clinical Trials Group study BR29.",http://www.ncbi.nlm.nih.gov/pubmed/24360368
96,24367159,New approaches in the management of advanced breast cancer - role of combination treatment with liposomal doxorubicin.,http://www.ncbi.nlm.nih.gov/pubmed/24367159
97,24419239,Phase III study (MONET1) of motesanib plus carboplatin/paclitaxel in patients with advanced nonsquamous nonsmall-cell lung cancer (NSCLC): Asian subgroup analysis.,http://www.ncbi.nlm.nih.gov/pubmed/24419239
98,24438614,Efficacy and safety of icotinib in Chinese patients with advanced non-small cell lung cancer after failure of chemotherapy.,http://www.ncbi.nlm.nih.gov/pubmed/24438614
99,24556040,"Dovitinib versus sorafenib for third-line targeted treatment of patients with metastatic renal cell carcinoma: an open-label, randomised phase 3 trial.",http://www.ncbi.nlm.nih.gov/pubmed/24556040
100,24583798,"Phase I safety, pharmacokinetic, and pharmacodynamic study of SAR245409 (XL765), a novel, orally administered PI3K/mTOR inhibitor in patients with advanced solid tumors.",http://www.ncbi.nlm.nih.gov/pubmed/24583798
101,17376864,Rare cancer-specific mutations in PIK3CA show gain of function.,http://www.ncbi.nlm.nih.gov/pubmed/17376864
102,16533766,PIK3CA mutations in head and neck squamous cell carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/16533766
103,23134728,Disruption of PH-kinase domain interactions leads to oncogenic activation of AKT in human cancers.,http://www.ncbi.nlm.nih.gov/pubmed/23134728
104,18504432,AKT1(E17K) in human solid tumours.,http://www.ncbi.nlm.nih.gov/pubmed/18504432
105,21502284,Anaplastic lymphoma kinase in human cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21502284
106,22079189,The ATM protein kinase and cellular redox signaling: beyond the DNA damage response.,http://www.ncbi.nlm.nih.gov/pubmed/22079189
107,22649787,ALK Signaling and Target Therapy in Anaplastic Large Cell Lymphoma.,http://www.ncbi.nlm.nih.gov/pubmed/22649787
108,16598769,Androgen axis in prostate cancer.,http://www.ncbi.nlm.nih.gov/pubmed/16598769
109,15170388,Two related ARID family proteins are alternative subunits of human SWI/SNF complexes.,http://www.ncbi.nlm.nih.gov/pubmed/15170388
110,22079198,Validation of the Chinese version of the Pelvic Organ Prolapse/Urinary Incontinence Sexual Questionnaire short form (PISQ-12).,http://www.ncbi.nlm.nih.gov/pubmed/22079198
111,23583268,Targeting ATR in DNA damage response and cancer therapeutics.,http://www.ncbi.nlm.nih.gov/pubmed/23583268
112,23249563,ATRX: the case of a peculiar chromatin remodeler.,http://www.ncbi.nlm.nih.gov/pubmed/23249563
113,22940834,Aurora kinases in childhood acute leukemia: the promise of aurora B as therapeutic target.,http://www.ncbi.nlm.nih.gov/pubmed/22940834
114,23364291,BRCA1 and BRCA2 mutations in the ovarian cancer population across race and ethnicity: special reference to Asia.,http://www.ncbi.nlm.nih.gov/pubmed/23364291
115,0,,http://www.ncbi.nlm.nih.gov/pubmed
116,24077403,Melanoma mutagenesis and aberrant cell signaling.,http://www.ncbi.nlm.nih.gov/pubmed/24077403
117,21779504,Ras in cancer and developmental diseases.,http://www.ncbi.nlm.nih.gov/pubmed/21779504
118,22891276,Whole-genome sequencing identifies recurrent somatic NOTCH2 mutations in splenic marginal zone lymphoma.,http://www.ncbi.nlm.nih.gov/pubmed/22891276
119,18632602,Novel MEK1 mutation identified by mutational analysis of epidermal growth factor receptor signaling pathway genes in lung adenocarcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/18632602
120,18851712,Cytoplasmic signalling by the c-Abl tyrosine kinase in normal and cancer cells.,http://www.ncbi.nlm.nih.gov/pubmed/18851712
121,11248065,"ACVR1B (ALK4, activin receptor type 1B) gene mutations in pancreatic carcinoma.",http://www.ncbi.nlm.nih.gov/pubmed/11248065
122,7657393,Molecular alterations of the AKT2 oncogene in ovarian and breast carcinomas.,http://www.ncbi.nlm.nih.gov/pubmed/7657393
123,12783884,Protein kinase B alpha/Akt1 regulates placental development and fetal growth.,http://www.ncbi.nlm.nih.gov/pubmed/12783884
124,24618703,The emerging roles of ARID1A in tumor suppression.,http://www.ncbi.nlm.nih.gov/pubmed/24618703
125,22095441,ARID2: a new tumor suppressor gene in hepatocellular carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/22095441
126,21710690,Aberrantly expressed AURKC enhances the transformation and tumourigenicity of epithelial cells.,http://www.ncbi.nlm.nih.gov/pubmed/21710690
127,10700176,"AXIN1 mutations in hepatocellular carcinomas, and growth suppression in cancer cells by virus-mediated transfer of AXIN1.",http://www.ncbi.nlm.nih.gov/pubmed/10700176
128,23479507,AXL mediates TRAIL resistance in esophageal adenocarcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/23479507
129,20619739,"Effects of KRAS, BRAF, NRAS, and PIK3CA mutations on the efficacy of cetuximab plus chemotherapy in chemotherapy-refractory metastatic colorectal cancer: a retrospective consortium analysis.",http://www.ncbi.nlm.nih.gov/pubmed/20619739
130,19064407,Understanding the predictive role of K-ras for epidermal growth factor receptor-targeted therapies in colorectal cancer.,http://www.ncbi.nlm.nih.gov/pubmed/19064407
131,24737949,BRAF and beyond: Tailoring strategies for the individual melanoma patient.,http://www.ncbi.nlm.nih.gov/pubmed/24737949
132,21285145,Genetic modifiers of cancer risk for BRCA1 and BRCA2 mutation carriers.,http://www.ncbi.nlm.nih.gov/pubmed/21285145
133,23085373,Protein tyrosine kinase regulation by ubiquitination: critical roles of Cbl-family ubiquitin ligases.,http://www.ncbi.nlm.nih.gov/pubmed/23085373
134,19915144,MEK1 mutations confer resistance to MEK and B-RAF inhibition.,http://www.ncbi.nlm.nih.gov/pubmed/19915144
135,22327936,Oncogenic MAP2K1 mutations in human epithelial tumors.,http://www.ncbi.nlm.nih.gov/pubmed/22327936
136,12969974,Identification and characterization of polymorphic variations of the ataxia telangiectasia mutated (ATM) gene in childhood Hodgkin disease.,http://www.ncbi.nlm.nih.gov/pubmed/12969974
137,20739657,The PARP inhibitor olaparib induces significant killing of ATM-deficient lymphoid tumor cells in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/20739657
138,23875803,The genetics of melanoma: recent advances.,http://www.ncbi.nlm.nih.gov/pubmed/23875803
139,22186992,Therapeutic applications of macrophage colony-stimulating factor-1 (CSF-1) and antagonists of CSF-1 receptor (CSF-1R) signaling.,http://www.ncbi.nlm.nih.gov/pubmed/22186992
140,22617422,The many faces and functions of β-catenin.,http://www.ncbi.nlm.nih.gov/pubmed/22617422
141,22328973,Mutations in the DDR2 kinase gene identify a novel therapeutic target in squamous cell lung cancer.,http://www.ncbi.nlm.nih.gov/pubmed/22328973
142,24649006,DNMT3A -448A>G polymorphism and the risk for hepatocellular carcinoma.,http://www.ncbi.nlm.nih.gov/pubmed/24649006
143,24497509,DNMT3A Arg882 mutation drives chronic myelomonocytic leukemia through disturbing gene expression/DNA methylation in hematopoietic cells.,http://www.ncbi.nlm.nih.gov/pubmed/24497509
144,23738943,EphA4 is a prognostic factor in gastric cancer.,http://www.ncbi.nlm.nih.gov/pubmed/23738943
145,17471238,The oncogene HER2: its signaling and transforming functions and its role in human cancer pathogenesis.,http://www.ncbi.nlm.nih.gov/pubmed/17471238
146,15035987,Mechanism of activation of the RAF-ERK signaling pathway by oncogenic mutations of B-RAF.,http://www.ncbi.nlm.nih.gov/pubmed/15035987
147,15150094,Different effects of point mutations within the B-Raf glycine-rich loop in colorectal tumors on mitogen-activated protein/extracellular signal-regulated kinase kinase/extracellular signal-regulated kinase and nuclear factor kappaB pathway and cellular transformation.,http://www.ncbi.nlm.nih.gov/pubmed/15150094
148,23542176,Pin1 modulates ERα levels in breast cancer through inhibition of phosphorylation-dependent ubiquitination and degradation.,http://www.ncbi.nlm.nih.gov/pubmed/23542176
149,24362326,"EZH2: biology, disease, and structure-based drug discovery.",http://www.ncbi.nlm.nih.gov/pubmed/24362326
150,24114654,Somatic alterations as the basis for resistance to targeted therapies.,http://www.ncbi.nlm.nih.gov/pubmed/24114654
151,24768039,Standardized decision support in next generation sequencing reports of somatic cancer variants.,http://www.ncbi.nlm.nih.gov/pubmed/24768039
152,22673505,Tumor suppressor functions of FBW7 in cancer development and progression.,http://www.ncbi.nlm.nih.gov/pubmed/22673505
153,22508544,"Fibroblast growth factor receptors in breast cancer: expression, downstream effects, and possible drug targets.",http://www.ncbi.nlm.nih.gov/pubmed/22508544
154,19467916,FLT3 inhibition and mechanisms of drug resistance in mutant FLT3-positive AML.,http://www.ncbi.nlm.nih.gov/pubmed/19467916
155,23172303,Vascular endothelial growth factor and its receptor system: physiological functions in angiogenesis and pathological roles in various diseases.,http://www.ncbi.nlm.nih.gov/pubmed/23172303
156,22188813,"Identification and characterization of NVP-BKM120, an orally available pan-class I PI3-kinase inhibitor.",http://www.ncbi.nlm.nih.gov/pubmed/22188813
157,24065731,Discovery of a mutant-selective covalent inhibitor of EGFR that overcomes T790M-mediated resistance in NSCLC.,http://www.ncbi.nlm.nih.gov/pubmed/24065731
158,2343836,"Travel, time zones, and sudden cardiac death. Emporiatric pathology.",http://www.ncbi.nlm.nih.gov/pubmed/2343836
159,9815717,A pilot clinical/pharmacological study of the protein kinase C-specific inhibitor safingol alone and in combination with doxorubicin.,http://www.ncbi.nlm.nih.gov/pubmed/9815717
160,10964608,A novel neuroprotective mechanism of riluzole: direct inhibition of protein kinase C.,http://www.ncbi.nlm.nih.gov/pubmed/10964608
161,11742498,Association of c-Raf expression with survival and its targeting with antisense oligonucleotides in ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/11742498
162,15608394,In vivo recombinant adenovirus-mediated p53 gene therapy in a syngeneic rat model for colorectal cancer.,http://www.ncbi.nlm.nih.gov/pubmed/15608394
163,16184551,Comparison of strategies targeting Raf-1 mRNA in ovarian cancer.,http://www.ncbi.nlm.nih.gov/pubmed/16184551
164,19738417,A phase I study of paclitaxel and continuous daily CAI in patients with refractory solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/19738417
165,20023657,Chimeric mouse tumor models reveal differences in pathway activation between ERBB family- and KRAS-dependent lung adenocarcinomas.,http://www.ncbi.nlm.nih.gov/pubmed/20023657
166,20176935,Cholesterol trafficking is required for mTOR activation in endothelial cells.,http://www.ncbi.nlm.nih.gov/pubmed/20176935
167,20947488,Metformin and cancer risk in diabetic patients: a systematic review and meta-analysis.,http://www.ncbi.nlm.nih.gov/pubmed/20947488
168,21185843,Antroquinonol inhibits NSCLC proliferation by altering PI3K/mTOR proteins and miRNA expression profiles.,http://www.ncbi.nlm.nih.gov/pubmed/21185843
169,21386633,"Novel agents in the management of pancreatic adenocarcinoma: phase I studies. Highlights from the ""2011 ASCO Gastrointestinal Cancers Symposium"". San Francisco, CA, USA. January 20-22, 2011.",http://www.ncbi.nlm.nih.gov/pubmed/21386633
170,21516509,"Pilot study of PD-0325901 in previously treated patients with advanced melanoma, breast cancer, and colon cancer.",http://www.ncbi.nlm.nih.gov/pubmed/21516509
171,21670972,Phase I study of axitinib (AG-013736) in combination with gemcitabine in patients with advanced pancreatic cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21670972
172,21725213,Quinacrine synergizes with 5-fluorouracil and other therapies in colorectal cancer.,http://www.ncbi.nlm.nih.gov/pubmed/21725213
173,22015452,"A phase I dose escalation study of AT9283, a small molecule inhibitor of aurora kinases, in patients with advanced solid malignancies.",http://www.ncbi.nlm.nih.gov/pubmed/22015452
174,22016509,"Characterization of Alisertib (MLN8237), an investigational small-molecule inhibitor of aurora A kinase using novel in vivo pharmacodynamic assays.",http://www.ncbi.nlm.nih.gov/pubmed/22016509
175,22025163,First-in-man clinical trial of the oral pan-AKT inhibitor MK-2206 in patients with advanced solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/22025163
176,22242557,"Danusertib, an aurora kinase inhibitor.",http://www.ncbi.nlm.nih.gov/pubmed/22242557
177,22679111,Phase I study of pazopanib in combination with paclitaxel and carboplatin given every 21 days in patients with advanced solid tumors.,http://www.ncbi.nlm.nih.gov/pubmed/22679111
178,22781393,The combination of RAD001 and NVP-BKM120 synergistically inhibits the growth of lung cancer in vitro and in vivo.,http://www.ncbi.nlm.nih.gov/pubmed/22781393
179,23085766,"Investigational drug MLN0128, a novel TORC1/2 inhibitor, demonstrates potent oral antitumor activity in human breast cancer xenograft models.",http://www.ncbi.nlm.nih.gov/pubmed/23085766
180,23414587,"MEK162 for patients with advanced melanoma harbouring NRAS or Val600 BRAF mutations: a non-randomised, open-label phase 2 study.",http://www.ncbi.nlm.nih.gov/pubmed/23414587
