,drugName,id,DrugClass_id,terms,,,,,,
4,BI-69A11,8028,6,['BI-69A11'],,,,,,
0,CCT128930,7261,7,['CCT128930'],,,,,,
1,BAY1125976,7111,7,['BAY1125976'],,,,,,
0,Crizotinib,6890,9,['Crizotinib', 'Xalkori', 'PF-02341066'],,,,
1,Ensartinib,7044,9,['Ensartinib', 'X-396'],,,,,
2,Alectinib,6885,9,['Alectinib', 'Alecensa', 'CH5424802', 'RO5424802'],,,
3,TPX-0005,8306,9,['TPX-0005'],,,,,,
4,Panulisib,7071,9,['Panulisib', 'P7170'],,,,,
5,Belizatinib,7038,9,['Belizatinib', 'TSR-011'],,,,,
6,CEP-37440,7441,9,['CEP-37440'],,,,,,
7,Brigatinib,6840,9,['Brigatinib', 'Alunbrig', 'AP26113'],,,,
8,Ceritinib,6932,9,['Ceritinib', 'Zykadia', 'LDK378'],,,,
9,Entrectinib,7264,9,['Entrectinib', 'RXDX-101'],,,,,
10,CEP-28122,7552,9,['CEP-28122'],,,,,,
11,BMS-754807,6880,9,['BMS-754807'],,,,,,
12,ASP3096,7554,9,['ASP3096'],,,,,,
13,Lorlatinib,7074,9,['Lorlatinib', 'PF-06463922'],,,,,
14,Dalantercept  ,7228,9,['Dalantercept  ', 'ACE-041', 'ALK1-Fc'],,,,
15,AZD3463,7292,9,['AZD3463'],,,,,,
16,ASP3026,6849,9,['ASP3026'],,,,,,
17,TAE684,7502,9,['TAE684', 'NVP-TAE684'],,,,,
18,X-376,7553,9,['X-376'],,,,,,
0,Plicamycin,4814,10,['Plicamycin', 'Mithracin', 'Mithramycin'],,,,
0,Paclitaxel,1216,14,['Paclitaxel', 'Taxol', '7-Epipaclitaxel'],,,,
1,Docetaxel,1235,14,['Docetaxel', 'Taxotere', 'Docefrez', 'Docetaxel anhydrous'],,,
2,Crolibulin,7268,14,['Crolibulin', 'EPC2407', 'microtubulin inhibitor EPC2407'],,,,
3,Plinabulin,8206,14,['Plinabulin', 'NPI-2358'],,,,,
4,Cabazitaxel,7288,14,['Cabazitaxel', 'Jevtana', 'RPR-116258A', 'XRP6258'],,,
5,ST-11,8507,14,['ST-11'],,,,,,
6,Triolimus,8274,14,['Triolimus'],,,,,,
7,ABT-751,8367,14,['ABT-751', 'E7010'],,,,,
8,BAL101553,8575,14,['BAL101553'],,,,,,
9,Vinorelbine,353,14,['Vinorelbine', 'Navelbine', 'Vinorelbin'],,,,
10,Eribulin,6781,14,['Eribulin', 'Halaven'],,,,,
0,AZD4785,8858,15,['AZD4785'],,,,,,
0,Anastrozole,1204,17,['Anastrozole', 'Arimidex', 'Anastrozol'],,,,
1,Exemestane,979,17,['Exemestane', 'Aromasin', 'Exemestano [INN-Spanish]'],,,,
2,Letrozole,995,17,['Letrozole', 'Femara', 'Letrozol'],,,,
0,KU-55933,7945,18,['KU-55933', 'KU55933'],,,,,
1,KU-60019,8188,18,['KU-60019'],,,,,,
2,Torin 2,7474,18,['Torin 2'],,,,,,
3,AZD0156,8135,18,['AZD0156'],,,,,,
0,VX-970,7811,19,['VX-970', 'M6620', 'VE-822'],,,,
1,BEZ235,6868,19,['BEZ235', 'Dactolisib', 'NVP-BEZ235'],,,,
2,VE-821,7809,19,['VE-821'],,,,,,
3,AZ20,7812,19,['AZ20'],,,,,,
4,ETP-46464,8861,19,['ETP-46464'],,,,,,
5,AZD6738,7813,19,['AZD6738'],,,,,,
6,BAY1895344,8872,19,['BAY1895344'],,,,,,
7,Torin 2,7474,19,['Torin 2'],,,,,,
8,NU6027,7810,19,['NU6027'],,,,,,
0,AMG 900,7092,20,['AMG 900', 'AMG-900', 'AMG900'],,,,
1,SNS-314,7022,20,['SNS-314'],,,,,,
2,CCT137690,7301,20,['CCT137690'],,,,,,
3,Danusertib,6895,20,['Danusertib', 'PHA-739358'],,,,,
4,CCT129202,7490,20,['CCT129202'],,,,,,
5,BI-847325,7177,20,['BI-847325', 'BI 847325', 'BI847325'],,,,
6,Tozasertib,7036,20,['Tozasertib', 'MK-0457', 'VX-680'],,,,
7,Reversine,7485,20,['Reversine'],,,,,,
8,Cenisertib,6848,20,['Cenisertib', 'AS703569'],,,,,
9,PHA-680632,7488,20,['PHA-680632', 'PHA680632'],,,,,
10,ABT-348,7082,20,['ABT-348', 'ilorasertib'],,,,,
0,AJI-214,7494,21,['AJI-214'],,,,,,
1,TY-011,8723,21,['TY-011'],,,,,,
2,JNJ-7706621,7487,21,['JNJ-7706621'],,,,,,
3,KW-2450,6930,21,['KW-2450'],,,,,,
4,TAS-119,7250,21,['TAS-119', 'TAS-2104'],,,,,
5,KW-2449,7609,21,['KW-2449'],,,,,,
6,TC-A2317,8722,21,['TC-A2317'],,,,,,
7,CYC116,6892,21,['CYC116'],,,,,,
8,MK-8745,7486,21,['MK-8745'],,,,,,
9,ENMD-2076,6903,21,['ENMD-2076'],,,,,,
10,AT9283,6852,21,['AT9283'],,,,,,
11,CD532,7300,21,['CD532'],,,,,,
12,MLN8054,7491,21,['MLN8054'],,,,,,
13,ZM447439,8118,21,['ZM447439', 'ZM 447439'],,,,,
14,Alisertib,6832,21,['Alisertib', 'MLN8237'],,,,,
15,AKI603,8336,21,['AKI603'],,,,,,
16,Aurora Kinase Inhibitor II,8643,21,['Aurora Kinase Inhibitor II', 'AI II'],,,,,
17,PF-03814735,6984,21,['PF-03814735'],,,,,,
18,AJI-100,7495,21,['AJI-100'],,,,,,
19,MK-5108,7489,21,['MK-5108', 'MK5018', 'VX-689'],,,,
20,SA16,8794,21,['SA16'],,,,,,
0,BRD-7880,8720,22,['BRD-7880'],,,,,,
1,Barasertib,6864,22,['Barasertib', 'AZD1152'],,,,,
2,Aurora Kinase Inhibitor II,8643,22,['Aurora Kinase Inhibitor II', 'AI II'],,,,,
3,ZM447439,8118,22,['ZM447439', 'ZM 447439'],,,,,
4,TAK-901,7286,22,['TAK-901'],,,,,,
5,AZD2811,8130,22,['AZD2811'],,,,,,
6,PF-03814735,6984,22,['PF-03814735'],,,,,,
7,AJI-100,7495,22,['AJI-100'],,,,,,
8,Chiauranib,7373,22,['Chiauranib', 'CS2164'],,,,,
9,TY-011,8723,22,['TY-011'],,,,,,
10,AJI-214,7494,22,['AJI-214'],,,,,,
11,CYC116,6892,22,['CYC116'],,,,,,
12,JNJ-7706621,7487,22,['JNJ-7706621'],,,,,,
13,KW-2450,6930,22,['KW-2450'],,,,,,
14,AT9283,6852,22,['AT9283'],,,,,,
15,GSK1070916,6916,22,['GSK1070916', 'GSK1070916A'],,,,,
0,GSK1070916,6916,23,['GSK1070916', 'GSK1070916A'],,,,,
1,BRD-7880,8720,23,['BRD-7880'],,,,,,
0,MGCD265,6948,24,['MGCD265', 'Glesatinib'],,,,,
1,Cabozantinib,7115,24,['Cabozantinib', 'Cometriq', 'Cabometyx', 'Cabozantinib-s-malate', 'XL184'],,
2,LY2801653,7147,24,['LY2801653', 'Merestinib'],,,,,
3,LDC1267,8612,24,['LDC1267'],,,,,,
4,Amuvatinib,6839,24,['Amuvatinib', 'HPK56', 'MP470'],,,,
5,Gilteritinib,7799,24,['Gilteritinib', 'ASP2215'],,,,,
6,R916562,8976,24,['R916562'],,,,,,
7,Bosutinib,4738,24,['Bosutinib', 'Bosulif', 'SKI-606'],,,,
8,BMS-777607,6881,24,['BMS-777607', 'ASLAN002'],,,,,
9,TP-0903,8256,24,['TP-0903'],,,,,,
10,S-49076,7450,24,['S-49076'],,,,,,
11,NPS-1034,8614,24,['NPS-1034'],,,,,,
12,BGB-324,7635,24,['BGB-324', 'BGB324'],,,,,
13,DS-1205b,8946,24,['DS-1205b'],,,,,,
14,BPI-9016M,8255,24,['BPI-9016M'],,,,,,
15,RXDX-106,8760,24,['RXDX-106'],,,,,,
16,SGI-7079,8613,24,['SGI-7079'],,,,,,
0,Navitoclax,6961,25,['Navitoclax', 'ABT-263'],,,,,
1,A-1155463,7588,25,['A-1155463'],,,,,,
2,TW-37,8010,25,['TW-37'],,,,,,
3,APG-1252,8778,25,['APG-1252', 'BM-1252'],,,,,
4,ABT-737,7337,25,['ABT-737'],,,,,,
5,A-1331852,7590,25,['A-1331852'],,,,,,
6,WEHI-539,8674,25,['WEHI-539'],,,,,,
7,BM-1197,8008,25,['BM-1197'],,,,,,
0,Obatoclax,6968,26,['Obatoclax', 'GX015-070'],,,,,
1,Sabutoclax,7589,26,['Sabutoclax', 'BI-97C1'],,,,,
2,AT-101,6850,26,['AT-101', 'R-(-)-gossypol acetic acid\xa0'],,,,,
3,Paclitaxel,1216,26,['Paclitaxel', 'Taxol', '7-Epipaclitaxel'],,,,
4,(â€“)BI97D6,8007,26,['(â€“)BI97D6'],,,,,,
5,Ch282-5,8279,26,['Ch282-5'],,,,,,
0,HA14-1,8014,27,['HA14-1'],,,,,,
1,BDA-366,8005,27,['BDA-366'],,,,,,
2,PNT2258,7592,27,['PNT2258'],,,,,,
3,BM-1197,8008,27,['BM-1197'],,,,,,
4,Oblimersen,6969,27,['Oblimersen', 'Genasense', 'augmerosen', 'G3139'],,,
5,ABT-737,7337,27,['ABT-737'],,,,,,
6,SPC2996,7591,27,['SPC2996'],,,,,,
7,TW-37,8010,27,['TW-37'],,,,,,
8,Navitoclax,6961,27,['Navitoclax', 'ABT-263'],,,,,
9,MRX34,7153,27,['MRX34'],,,,,,
10,APG-1252,8778,27,['APG-1252', 'BM-1252'],,,,,
11,Venetoclax,7284,27,['Venetoclax', 'Venclexta ', 'ABT-199', 'GDC-0199', 'RG7601'],,
0,FX1,8551,240,['FX1'],,,,,,
1,79-6,8668,240,['79-6'],,,,,,
2,RI-BPI,8450,240,['RI-BPI'],,,,,,
0,Saracatinib,7018,28,['Saracatinib', 'AZD0530'],,,,,
1,PD173955,7601,28,['PD173955'],,,,,,
2,RXDX-105,7121,28,['RXDX-105', 'AC013773', 'CEP-32496'],,,,
3,AP23464,7594,28,['AP23464'],,,,,,
4,PBA2,8311,28,['PBA2'],,,,,,
5,Dasatinib,1241,28,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
6,ON044580,7742,28,['ON044580'],,,,,,
7,Flumatinib,7966,28,['Flumatinib', 'HH-GV678'],,,,,
8,Ponatinib,6808,28,['Ponatinib', 'Iclusig', 'AP24534'],,,,
9,PD166326,7595,28,['PD166326'],,,,,,
10,XL228,7047,28,['XL228'],,,,,,
11,Imatinib mesylate,609,28,['Imatinib mesylate', 'Gleevec', 'CGP-57148B', 'STI571'],,,
12,AZD0424,7565,28,['AZD0424'],,,,,,
13,C086,7718,28,['C086'],,,,,,
14,Asciminib,7539,28,['Asciminib', 'ABL001'],,,,,
15,Bafetinib,6863,28,['Bafetinib', 'INNO-406', 'NS-187'],,,,
16,Danusertib,6895,28,['Danusertib', 'PHA-739358'],,,,,
17,Nilotinib,4655,28,['Nilotinib', 'Tasigna', 'AMN-107'],,,,
18,Tozasertib,7036,28,['Tozasertib', 'MK-0457', 'VX-680'],,,,
19,PD180970,7605,28,['PD180970'],,,,,,
20,rebastinib,7163,28,['rebastinib', 'DCC-2036'],,,,,
0,INCB054329,7759,29,['INCB054329'],,,,,,
1,ODM-207,8310,29,['ODM-207'],,,,,,
2,MT1,8566,29,['MT1'],,,,,,
3,MS417,8042,29,['MS417'],,,,,,
4,GS-5829,8138,29,['GS-5829'],,,,,,
5,TEN-010,7076,29,['TEN-010', 'JQ2', 'RG-6146', 'RO6870810'],,,
6,RVX-208,8433,29,['RVX-208'],,,,,,
7,MS436,8043,29,['MS436'],,,,,,
8,BI 894999,8843,29,['BI 894999'],,,,,,
9,JQ1,7289,29,['JQ1'],,,,,,
10,GSK525762,7066,29,['GSK525762', 'I-BET762'],,,,,
11,CPI-0610,7399,29,['CPI-0610'],,,,,,
12,hexamethylene bisacetamide,8308,29,['hexamethylene bisacetamide', 'HMBA'],,,,,
13,BAY 1238097 ,7598,29,['BAY 1238097 '],,,,,,
14,BMS986158,7758,29,['BMS986158'],,,,,,
15,OTX015,7400,29,['OTX015', 'MK-8628', 'Y-803'],,,,
16,dBET1,8296,29,['dBET1'],,,,,,
17,ABBV-075,8328,29,['ABBV-075', 'Mivebresib'],,,,,
0,ASN003,8820,31,['ASN003'],,,,,,
1,SKLB646,8283,31,['SKLB646'],,,,,,
2,PLX7904,8494,31,['PLX7904'],,,,,,
3,PLX4720,7180,31,['PLX4720'],,,,,,
4,SB590885,8396,31,['SB590885'],,,,,,
5,GDC0879,7206,31,['GDC0879'],,,,,,
6,Regorafenib,6803,31,['Regorafenib', 'Stivarga', 'BAY 73-4506'],,,,
7,Encorafenib,6936,31,['Encorafenib', 'LGX818'],,,,,
8,PLX8394,7160,31,['PLX8394'],,,,,,
9,BGB-283,8325,31,['BGB-283'],,,,,,
10,BI 882370,8216,31,['BI 882370'],,,,,,
11,RO5212054,7012,31,['RO5212054', 'PLX3603'],,,,,
12,RXDX-105,7121,31,['RXDX-105', 'AC013773', 'CEP-32496'],,,,
13,RAF265,6999,31,['RAF265'],,,,,,
14,Dabrafenib,6819,31,['Dabrafenib', 'Tafinlar', 'GSK2118436'],,,,
0,BETd-246,8725,32,['BETd-246'],,,,,,
0,BETd-246,8725,33,['BETd-246'],,,,,,
1,I-BET151,8868,33,['I-BET151', 'GSK1210151A'],,,,,
0,CPI-203,8498,34,['CPI-203'],,,,,,
1,BETd-246,8725,34,['BETd-246'],,,,,,
2,SF1126,7020,34,['SF1126'],,,,,,
3,AZD5153,8576,34,['AZD5153'],,,,,,
4,I-BET151,8868,34,['I-BET151', 'GSK1210151A'],,,,,
0,Ibrutinib,6923,36,['Ibrutinib', 'Imbruvica', 'PCI-32765'],,,,
1,CNX-774,7652,36,['CNX-774'],,,,,,
2,RXC005,8658,36,['RXC005', 'REDX08608'],,,,,
3,M7583,8849,36,['M7583'],,,,,,
4,RN486,7653,36,['RN486'],,,,,,
5,GDC-0834,7654,36,['GDC-0834'],,,,,,
6,ONO-4059,7655,36,['ONO-4059', 'ONO-GS-4059', 'ONO-WG-307'],,,,
7,CC-292,7501,36,['CC-292', 'Spebrutinib', 'AVL-292'],,,,
8,Acalabrutinib,7296,36,['Acalabrutinib', 'ACP-196'],,,,,
9,ARQ 531,8641,36,['ARQ 531'],,,,,,
10,SNS-062,8655,36,['SNS-062'],,,,,,
11,Dasatinib,1241,36,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
12,BGB-3111,7573,36,['BGB-3111'],,,,,,
13,Bosutinib,4738,36,['Bosutinib', 'Bosulif', 'SKI-606'],,,,
14,HM-71224,7656,36,['HM-71224'],,,,,,
15,LFM-A13,7651,36,['LFM-A13'],,,,,,
16,PLS-123,7657,36,['PLS-123'],,,,,,
17,CGI1746,7658,36,['CGI1746'],,,,,,
0,MYRA-A,8109,37,['MYRA-A'],,,,,,
1,Mycro3,8106,37,['Mycro3'],,,,,,
2,DCR-MYC,7950,37,['DCR-MYC'],,,,,,
3,NSC308848,8110,37,['NSC308848'],,,,,,
4,Quarfloxin,8107,37,['Quarfloxin', 'CX-3543'],,,,,
5,10058-F4,8024,37,['10058-F4'],,,,,,
6,KJ-Pyr-9,8293,37,['KJ-Pyr-9'],,,,,,
7,MRX34,7153,37,['MRX34'],,,,,,
8,JY-3-094,8108,37,['JY-3-094'],,,,,,
0,Alvocidib,6834,38,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
1,Roniciclib,6865,38,['Roniciclib', 'BAY1000394'],,,,,
2,UCN-01,7040,38,['UCN-01', '7-hydroxystaurosporine', 'sc-3510'],,,,
0,AZD5438,7684,39,['AZD5438'],,,,,,
1,R547,8100,39,['R547'],,,,,,
2,ZK 304709,7690,39,['ZK 304709'],,,,,,
3,Milciclib,7629,39,['Milciclib', 'PHA-848125AC'],,,,,
4,Dinaciclib,6896,39,['Dinaciclib', 'SCH727965'],,,,,
5,AT7519,7683,39,['AT7519', 'AT7519M'],,,,,
6,TG02,8828,39,['TG02', 'SB1317'],,,,,
7,Alvocidib,6834,39,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
8,SU 9516,7682,39,['SU 9516'],,,,,,
9,P276-00,7714,39,['P276-00'],,,,,,
10,JNJ-7706621,7487,39,['JNJ-7706621'],,,,,,
11,PHA-533533,7678,39,['PHA-533533'],,,,,,
0,PHA-533533,7678,40,['PHA-533533'],,,,,,
1,AZ6089,7870,40,['AZ6089', 'AZ12576089'],,,,,
2,JNJ-7706621,7487,40,['JNJ-7706621'],,,,,,
3,Alvocidib,6834,40,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
4,Purvalanol A,7680,40,['Purvalanol A'],,,,,,
5,Milciclib,7629,40,['Milciclib', 'PHA-848125AC'],,,,,
6,Seliciclib,7208,40,['Seliciclib', 'Roscovitine', 'CYC202'],,,,
7,SNS-032,7681,40,['SNS-032', 'BMS-387032'],,,,,
8,TG02,8828,40,['TG02', 'SB1317'],,,,,
9,SU 9516,7682,40,['SU 9516'],,,,,,
10,Dinaciclib,6896,40,['Dinaciclib', 'SCH727965'],,,,,
11,AT7519,7683,40,['AT7519', 'AT7519M'],,,,,
12,AZD5438,7684,40,['AZD5438'],,,,,,
13,R547,8100,40,['R547'],,,,,,
14,ZK 304709,7690,40,['ZK 304709'],,,,,,
0,AT7519,7683,42,['AT7519', 'AT7519M'],,,,,
1,Purvalanol A,7680,42,['Purvalanol A'],,,,,,
2,Milciclib,7629,42,['Milciclib', 'PHA-848125AC'],,,,,
3,CGP-082996,8397,42,['CGP-082996'],,,,,,
4,ZK 304709,7690,42,['ZK 304709'],,,,,,
5,SU 9516,7682,42,['SU 9516'],,,,,,
6,P276-00,7714,42,['P276-00'],,,,,,
7,Alvocidib,6834,42,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
8,ON123300,8215,42,['ON123300', '7X'],,,,,
9,R547,8100,42,['R547'],,,,,,
10,PHA-533533,7678,42,['PHA-533533'],,,,,,
0,Abemaciclib,6942,43,['Abemaciclib', 'Verzenio', 'LY2835219'],,,,
1,Voruciclib,6975,43,['Voruciclib', 'P1446A-05'],,,,,
2,FLX925  ,7560,43,['FLX925  ', 'AMG925'],,,,,
3,G1T38,8309,43,['G1T38'],,,,,,
4,Palbociclib,6979,43,['Palbociclib', 'Ibrance', 'PD0332991'],,,,
5,AT7519,7683,43,['AT7519', 'AT7519M'],,,,,
6,Trilaciclib,7926,43,['Trilaciclib', 'G1T28'],,,,,
7,Ribociclib,6826,43,['Ribociclib', 'Kisqali', 'LEE011'],,,,
0,PHA-533533,7678,44,['PHA-533533'],,,,,,
1,Seliciclib,7208,44,['Seliciclib', 'Roscovitine', 'CYC202'],,,,
2,AT7519,7683,44,['AT7519', 'AT7519M'],,,,,
3,Dinaciclib,6896,44,['Dinaciclib', 'SCH727965'],,,,,
4,Milciclib,7629,44,['Milciclib', 'PHA-848125AC'],,,,,
0,AT7519,7683,45,['AT7519', 'AT7519M'],,,,,
1,Alvocidib,6834,45,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
0,Alvocidib,6834,46,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
1,UD-017,8840,46,['UD-017'],,,,,,
2,THZ1,8297,46,['THZ1'],,,,,,
3,TG02,8828,46,['TG02', 'SB1317'],,,,,
4,ZK 304709,7690,46,['ZK 304709'],,,,,,
5,Milciclib,7629,46,['Milciclib', 'PHA-848125AC'],,,,,
6,SY-1365,8753,46,['SY-1365'],,,,,,
7,SNS-032,7681,46,['SNS-032', 'BMS-387032'],,,,,
0,Senexin A,8050,47,['Senexin A'],,,,,,
1,SEL120-34A,8741,47,['SEL120-34A'],,,,,,
2,Senexin B,8051,47,['Senexin B'],,,,,,
0,Dinaciclib,6896,48,['Dinaciclib', 'SCH727965'],,,,,
1,BAY1143572,8327,48,['BAY1143572'],,,,,,
2,AT7519,7683,48,['AT7519', 'AT7519M'],,,,,
3,SNS-032,7681,48,['SNS-032', 'BMS-387032'],,,,,
4,AZD5438,7684,48,['AZD5438'],,,,,,
5,ZK 304709,7690,48,['ZK 304709'],,,,,,
6,TG02,8828,48,['TG02', 'SB1317'],,,,,
7,Alvocidib,6834,48,['Alvocidib', 'flavopiridol', 'HMR 1275', 'L-868275'],,,
8,P276-00,7714,48,['P276-00'],,,,,,
0,Ifosfamide,1168,49,['Ifosfamide', 'Cyfos', 'Z4942'],,,,
1,EDO-S101,8916,49,['EDO-S101'],,,,,,
2,Fotemustine,8686,49,['Fotemustine'],,,,,,
3,Thiotepa,4387,49,['Thiotepa'],,,,,,
4,Temozolomide,843,49,['Temozolomide', 'Temodar', 'Methazolastone'],,,,
5,Mitomycin C,7209,49,['Mitomycin C', 'Mitozytrex'],,,,,
6,Bendamustine,7225,49,['Bendamustine', 'Treanda', 'Ribomustin', 'SDX-105', 'SyB L-0501'],,
7,Carmustine,255,49,['Carmustine', 'Becenun', 'BCNU'],,,,
8,Melphalan,1030,49,['Melphalan', 'Alkeran'],,,,,
9,Evofosfamide,7237,49,['Evofosfamide', 'TH-302'],,,,,
10,Cyclophosphamide,521,49,['Cyclophosphamide', 'Cytoxan', 'CPM'],,,,
11,Dacarbazine,841,49,['Dacarbazine', 'Deticene', 'Biocarbazine R'],,,,
0,ThermoDox,7172,50,['ThermoDox'],,,,,,
1,Amrubicin,7866,50,['Amrubicin'],,,,,,
2,Daunorubicin,684,50,['Daunorubicin', 'Cerubidine', 'Acetyladriamycin', 'daunomycin hydrochloride', 'Rubidomycin', 'rubomycin C'],
3,Idarubicin,1164,50,['Idarubicin', 'Idamycin', 'Idarubicin Hcl'],,,,
4,Daunoxome,7125,50,['Daunoxome', 'liposomal daunorubicin citrate'],,,,,
5,GPX-150,7403,50,['GPX-150'],,,,,,
6,Epirubicin,437,50,['Epirubicin', 'Ellence'],,,,,
7,Aldoxorubicin,7260,50,['Aldoxorubicin', 'doxorubicin prodrug INNO-206', 'INNO-206'],,,,
8,pegylated liposomal-doxorubicin,7126,50,['pegylated liposomal-doxorubicin', 'Doxil', 'ATI-0918', 'CAELYX'],,,
9,Valrubicin,7174,50,['Valrubicin', 'Valstar', 'AD-32', 'Antibiotic Ad 32'],,,
10,Doxorubicin,986,50,['Doxorubicin', 'Adriamycin', 'ADR', 'Adria'],,,
0,Pemetrexed,632,51,['Pemetrexed', 'Alimta', 'LY231514'],,,,
1,Gemcitabine,433,51,['Gemcitabine', 'Gemzar', 'Difluorodeoxycytidine Hydrochlorothiazide'],,,,
2,ASTX727,7333,51,['ASTX727'],,,,,,
3,Toca 511,7971,51,['Toca 511', 'T5.0002'],,,,,
4,Leucovorin,640,51,['Leucovorin', 'Wellcovorin', 'Calcium citrovorum factor', 'Calcium folinate'],,,
5,Capecitabine,1088,51,['Capecitabine', 'Xeloda', 'R340'],,,,
6,Toca FC,7972,51,['Toca FC'],,,,,,
7,Fluorouracil,534,51,['Fluorouracil', 'Adrucil', '5-FU'],,,,
8,Methotrexate,553,51,['Methotrexate', 'Abitrexate', 'Amethopterin'],,,,
9,TS-1,7256,51,['TS-1', 'S-1', 'tegafur-gimeracil-oteracil potassium'],,,,
0,Cisplatin,505,52,['Cisplatin', 'Platinol', 'CDDP'],,,,
1,NC-4016,7259,52,['NC-4016', 'DACH-platin micelle NC-4016', 'DACH-Pt/m NC-4016'],,,,
2,NC-6004,8721,52,['NC-6004', 'Nanoplatin'],,,,,
3,Carboplatin,947,52,['Carboplatin', 'Paraplatin', 'CBDCA'],,,,
4,Oxaliplatin,516,52,['Oxaliplatin', 'Eloxatin', 'Diaminocyclohexane Oxalatoplatinum'],,,,
5,PT-112,7843,52,['PT-112'],,,,,,
0,GRN1005,7409,53,['GRN1005', 'ANG1005'],,,,,
1,nab-paclitaxel,6828,53,['nab-paclitaxel', 'Abraxane', 'ABI-007'],,,,
0,AZD7762,6859,54,['AZD7762'],,,,,,
1,XL-844,7392,54,['XL-844'],,,,,,
0,GDC-0425,7394,55,['GDC-0425', 'RG7602'],,,,,
1,UCN-01,7040,55,['UCN-01', '7-hydroxystaurosporine', 'sc-3510'],,,,
2,CBP501,8480,55,['CBP501'],,,,,,
3,SRA737,8605,55,['SRA737', 'CCT245737'],,,,,
4,MU380,8934,55,['MU380'],,,,,,
5,V158411,8817,55,['V158411'],,,,,,
6,MK-8776,7393,55,['MK-8776', 'SCH900776'],,,,,
7,Prexasertib,7306,55,['Prexasertib', 'LY2606368'],,,,,
8,PF-00477736,7287,55,['PF-00477736', 'PF-477736'],,,,,
9,LY2603618,8933,55,['LY2603618'],,,,,,
10,GDC-0575,7390,55,['GDC-0575', 'ARRY-575', 'RG7741'],,,,
11,CCT244747,8510,55,['CCT244747'],,,,,,
0,C3742,7648,56,['C3742'],,,,,,
1,PV1162,8179,56,['PV1162'],,,,,,
2,VRX0466617,7564,56,['VRX0466617'],,,,,,
3,CCT241533,7563,56,['CCT241533'],,,,,,
4,NSC109555,7649,56,['NSC109555'],,,,,,
5,PV1019,7562,56,['PV1019'],,,,,,
0,RAF265,6999,57,['RAF265'],,,,,,
